cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr2D	84238	686218	Chr2D	8050701	8653654	15	0.9989333333333333
Chr2D	1651388	2167768	Chr2D	6615066	7142305	11	0.9993636363636363
Chr2D	7349672	8879954	Chr2D	19481	1566729	37	0.9988378378378379
Chr2D	2236360	215062920	Chr2D	1624646	213185074	2189	0.9989520328917314
Chr2D	217854985	226021304	Chr2D	215954110	224081709	13	0.9998461538461539
Chr2D	228439393	238204054	Chr2D	226490881	236208234	10	0.9995
Chr2D	240232637	259978877	Chr2D	238231534	257643501	32	0.9998750000000001
Chr2D	263858571	270527810	Chr2D	258277019	264925129	14	1.0
Chr2D	273178435	283308056	Chr2D	267571641	280894351	31	0.9958387096774193
Chr2D	285583565	643117389	Chr2D	283163642	637121536	3170	0.9985990536277604
Chr2D	646574517	651676873	Chr2D	642257614	646948307	93	0.9962795698924729
Chr2D	643304444	646524986	Chr2D	646997833	650252314	75	0.9976533333333333
Chr2D	652013224	656316675	Chr2D	637423718	641901039	49	0.9853265306122448
