cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr2D	12688424	183624731	Chr2D	17679977	194680001	1600	0.988521875
Chr2D	186314546	212930092	Chr2D	197369592	224753007	134	0.9928805970149254
Chr2D	215731966	223908849	Chr2D	227956361	236091967	12	0.9921666666666665
Chr2D	226334565	236124178	Chr2D	238524836	248309389	10	0.9925
Chr2D	238162860	265066747	Chr2D	250330003	277576893	42	0.9925714285714284
Chr2D	267698311	280652282	Chr2D	280184700	293622568	34	0.9930882352941177
Chr2D	282927919	463915084	Chr2D	295893119	477916500	1013	0.9909733464955578
Chr2D	466683206	582494715	Chr2D	480668471	599795829	981	0.9857624872579
Chr2D	584531119	609425275	Chr2D	600411953	627342681	134	0.944089552238806
Chr2D	619574693	635505848	Chr2D	631012235	652214395	236	0.9852838983050847
Chr2D	641000791	645758191	Chr2D	654962497	659714473	93	0.9922903225806452
