cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr3B	1311809	6805777	Chr3B	43464	4787069	89	0.9891685393258426
Chr3B	10012714	18819947	Chr3B	7236911	14066748	98	0.9838673469387756
Chr3B	23131128	30233234	Chr3B	18408292	30136931	82	0.986560975609756
Chr3B	33174173	35821190	Chr3B	34424671	38012838	29	0.9933448275862068
Chr3B	38137652	97070979	Chr3B	40163477	98642985	541	0.99424584103512
Chr3B	99457041	196629892	Chr3B	100791228	196968551	537	0.9955921787709496
Chr3B	198811657	202823600	Chr3B	197537909	201622599	33	0.9963636363636365
Chr3B	205225044	206704475	Chr3B	204085435	205619040	11	0.9982727272727272
Chr3B	209383926	219278363	Chr3B	208438458	218392673	72	0.9960833333333334
Chr3B	223825022	227125651	Chr3B	222129616	225475627	12	0.9953333333333336
Chr3B	230843333	241641396	Chr3B	229096744	240409577	50	0.99554
Chr3B	247259756	288293953	Chr3B	246151236	288016464	196	0.9949285714285716
Chr3B	295003050	296080909	Chr3B	294762729	295871341	4	0.9985
Chr3B	303571170	307711148	Chr3B	302046079	306666693	4	0.99625
Chr3B	310640808	322569052	Chr3B	310116746	322984895	16	0.9965625
Chr3B	325241568	329207761	Chr3B	325646240	330176103	5	0.9974
Chr3B	333847811	344948054	Chr3B	334834986	346447666	19	0.9928947368421054
Chr3B	352247049	353405210	Chr3B	351017685	352213315	3	0.9993333333333334
Chr3B	363586354	365856998	Chr3B	364871013	367504433	4	0.997
Chr3B	371069888	375781155	Chr3B	373218671	378031052	10	0.9959
Chr3B	378145074	416556469	Chr3B	380355713	419210115	158	0.9963670886075948
Chr3B	418922290	479798592	Chr3B	419452057	479843524	361	0.9975290858725762
Chr3B	482733323	529649040	Chr3B	483831261	530113414	269	0.998550185873606
Chr3B	534144519	851872904	Chr3B	534940534	852639267	2637	0.9955915813424346
