gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity	segment
gene:TraesCS5B02G000100	Chr5B	16235	21357	+	18796	Chr5B	2409724	2414848	-	2412286	0.998	0.981	collinear
gene:TraesCS5B02G000300	Chr5B	86983	88497	-	87740	Chr5B	2278763	2280277	+	2279520	1.0	0.995	collinear
gene:TraesCS5B02G000400	Chr5B	210112	215729	+	212920	Chr5B	2144799	2150424	-	2147611	0.998	0.996	collinear
gene:TraesCS5B02G000500	Chr5B	216278	219412	-	217845	Chr5B	2141123	2144277	+	2142700	0.992	0.974	collinear
gene:TraesCS5B02G000600	Chr5B	229215	233600	+	231407	Chr5B	2120343	2124474	-	2122408	0.999	0.997	collinear
gene:TraesCS5B02G001300	Chr5B	1579405	1579728	+	1579566	Chr5B	1564751	1565074	-	1564912	1.0	0.993	collinear
gene:TraesCS5B02G004000	Chr5B	5919690	5920013	-	5919851	Chr5B	924100	924423	-	924261	1.0	0.996	collinear
gene:TraesCS5B02G005500	Chr5B	6968208	6970169	+	6969188	Chr5B	2945773	2947740	-	2946756	1.0	0.98	collinear
gene:TraesCS5B02G005600	Chr5B	6965525	6975517	+	6970521	Chr5B	4643811	4662968	+	4653389	1.0	0.99	collinear
gene:TraesCS5B02G005700	Chr5B	7021141	7026614	-	7023877	Chr5B	4710898	4716371	-	4713634	1.0	0.999	collinear
gene:TraesCS5B02G005755	Chr5B	7068359	7071536	-	7069947	Chr5B	4757730	4760906	-	4759318	1.0	1.0	collinear
gene:TraesCS5B02G005800	Chr5B	7119761	7120042	-	7119901	Chr5B	4813030	4813311	-	4813170	1.0	1.0	collinear
gene:TraesCS5B02G005900	Chr5B	7148738	7149225	-	7148981	Chr5B	4841893	4842380	-	4842136	1.0	1.0	collinear
gene:TraesCS5B02G006000	Chr5B	7184206	7184957	-	7184581	Chr5B	4877364	4878115	-	4877739	1.0	0.996	collinear
gene:TraesCS5B02G006100	Chr5B	7304012	7304699	-	7304355	Chr5B	4996572	4997259	-	4996915	1.0	1.0	collinear
gene:TraesCS5B02G006200	Chr5B	7354948	7355435	-	7355191	Chr5B	5046976	5047463	-	5047219	1.0	1.0	collinear
gene:TraesCS5B02G006300	Chr5B	7382778	7383265	-	7383021	Chr5B	5074133	5074620	-	5074376	1.0	1.0	collinear
gene:TraesCS5B02G006400	Chr5B	7541069	7545930	-	7543499	Chr5B	5236438	5240936	-	5238687	0.97	0.97	collinear
gene:TraesCS5B02G006500	Chr5B	7706077	7709832	-	7707954	Chr5B	5399274	5403029	-	5401151	1.0	1.0	collinear
gene:TraesCS5B02G006600	Chr5B	7936224	7944965	-	7940594	Chr5B	5629018	5637766	-	5633392	1.0	0.999	collinear
gene:TraesCS5B02G006700	Chr5B	7995392	8007460	-	8001426	Chr5B	5687843	5699911	-	5693877	1.0	1.0	collinear
gene:TraesCS5B02G006800	Chr5B	8086615	8096868	+	8091741	Chr5B	5778163	5788416	+	5783289	1.0	1.0	collinear
gene:TraesCS5B02G006900	Chr5B	8171350	8176122	+	8173736	Chr5B	5875229	5880001	+	5877615	1.0	1.0	collinear
gene:TraesCS5B02G007000	Chr5B	8185879	8188188	-	8187033	Chr5B	5889298	5891607	-	5890452	1.0	1.0	collinear
gene:TraesCS5B02G007100	Chr5B	8342582	8344606	+	8343594	Chr5B	6044151	6046175	+	6045163	1.0	1.0	collinear
gene:TraesCS5B02G007200	Chr5B	8351751	8353860	+	8352805	Chr5B	6053319	6055428	+	6054373	1.0	0.999	collinear
gene:TraesCS5B02G007300	Chr5B	8374524	8379358	-	8376941	Chr5B	6076093	6080927	-	6078510	1.0	1.0	collinear
gene:TraesCS5B02G007400	Chr5B	8523932	8537816	+	8530874	Chr5B	6227518	6241403	+	6234460	1.0	1.0	collinear
gene:TraesCS5B02G007500	Chr5B	8538379	8545008	-	8541693	Chr5B	6241966	6248595	-	6245280	1.0	0.999	collinear
gene:TraesCS5B02G007600	Chr5B	8875269	8877667	-	8876468	Chr5B	6398010	6400418	-	6399214	1.0	0.999	collinear
gene:TraesCS5B02G007800	Chr5B	8905295	8919306	-	8912300	Chr5B	6428046	6442057	-	6435051	1.0	0.999	collinear
gene:TraesCS5B02G007900	Chr5B	8933272	8935785	-	8934528	Chr5B	6456019	6458532	-	6457275	1.0	1.0	collinear
gene:TraesCS5B02G008000	Chr5B	8936244	8937011	-	8936627	Chr5B	6458991	6459758	-	6459374	1.0	1.0	collinear
gene:TraesCS5B02G008100	Chr5B	8945172	8946074	-	8945623	Chr5B	6467919	6468821	-	6468370	1.0	1.0	collinear
gene:TraesCS5B02G008200	Chr5B	9009416	9010239	+	9009827	Chr5B	6532004	6532827	+	6532415	1.0	0.998	collinear
gene:TraesCS5B02G008300	Chr5B	9040754	9040975	+	9040864	Chr5B	6563342	6563563	+	6563452	1.0	1.0	collinear
gene:TraesCS5B02G008400	Chr5B	9044522	9047785	+	9046153	Chr5B	6567110	6570372	+	6568741	1.0	1.0	collinear
gene:TraesCS5B02G008500	Chr5B	9075440	9079212	+	9077326	Chr5B	6597742	6601361	+	6599551	1.0	1.0	collinear
gene:TraesCS5B02G008600	Chr5B	9222282	9225823	-	9224052	Chr5B	6739360	6742902	-	6741131	1.0	0.998	collinear
gene:TraesCS5B02G008700	Chr5B	9243595	9244008	+	9243801	Chr5B	6760741	6761154	+	6760947	1.0	1.0	collinear
gene:TraesCS5B02G008800	Chr5B	9261235	9263380	+	9262307	Chr5B	6778031	6780178	+	6779104	1.0	1.0	collinear
gene:TraesCS5B02G008900	Chr5B	9263459	9267479	-	9265469	Chr5B	6780257	6784277	-	6782267	1.0	1.0	collinear
gene:TraesCS5B02G009000	Chr5B	9284415	9286096	+	9285255	Chr5B	6869935	6871616	+	6870775	1.0	1.0	collinear
gene:TraesCS5B02G009100	Chr5B	9289491	9289916	+	9289703	Chr5B	6875011	6875436	+	6875223	1.0	1.0	collinear
gene:TraesCS5B02G009200	Chr5B	9298645	9299536	+	9299090	Chr5B	6886101	6886992	+	6886546	1.0	1.0	collinear
gene:TraesCS5B02G009300	Chr5B	9302014	9303513	+	9302763	Chr5B	6889470	6890969	+	6890219	1.0	1.0	collinear
gene:TraesCS5B02G009400	Chr5B	9332838	9334688	-	9333763	Chr5B	6920146	6921996	-	6921071	1.0	1.0	collinear
gene:TraesCS5B02G009500	Chr5B	9356180	9359093	+	9357636	Chr5B	6942745	6945658	+	6944201	1.0	1.0	collinear
gene:TraesCS5B02G009600	Chr5B	9416856	9418777	+	9417816	Chr5B	7003419	7005340	+	7004379	1.0	1.0	collinear
gene:TraesCS5B02G009800	Chr5B	9523414	9524244	-	9523829	Chr5B	7107163	7107993	-	7107578	1.0	1.0	collinear
gene:TraesCS5B02G009900	Chr5B	9539104	9539973	+	9539538	Chr5B	7122852	7123721	+	7123286	1.0	1.0	collinear
gene:TraesCS5B02G010000	Chr5B	9669444	9672795	-	9671119	Chr5B	7244470	7247821	-	7246145	1.0	1.0	collinear
gene:TraesCS5B02G010100	Chr5B	9807726	9816838	+	9812282	Chr5B	7382604	7391651	+	7387127	1.0	1.0	collinear
gene:TraesCS5B02G010200	Chr5B	10059659	10063814	-	10061736	Chr5B	7633504	7637659	-	7635581	1.0	0.999	collinear
gene:TraesCS5B02G010500	Chr5B	10346311	10347569	+	10346940	Chr5B	7795253	7796511	+	7795882	1.0	0.999	collinear
gene:TraesCS5B02G010600	Chr5B	10429378	10432090	+	10430734	Chr5B	7871538	7874203	+	7872870	1.0	0.995	collinear
