gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity
gene:TraesCS5A03G0000100	Chr5A	10126	18461	-	14293	Chr5A	4081193	4089528	+	4085360	1.0	0.999
gene:TraesCS5A03G0000200	Chr5A	20226	23967	+	22096	Chr5A	4075687	4079428	-	4077557	1.0	1.0
gene:TraesCS5A03G0000400	Chr5A	215597	216821	+	216209	Chr5A	3871714	3872938	-	3872326	1.0	1.0
gene:TraesCS5A03G0000800	Chr5A	622810	628759	+	625784	Chr5A	3458172	3464130	-	3461151	1.0	0.996
gene:TraesCS5A03G0000900	Chr5A	628951	630466	+	629708	Chr5A	3456469	3457980	-	3457224	0.997	0.997
gene:TraesCS5A03G0001000	Chr5A	637855	638799	+	638327	Chr5A	3447813	3448757	-	3448285	1.0	1.0
gene:TraesCS5A03G0001300	Chr5A	1542470	1544254	+	1543362	Chr5A	2616378	2618171	-	2617274	1.0	0.996
gene:TraesCS5A03G0001700	Chr5A	1703882	1707094	-	1705488	Chr5A	2345538	2348750	+	2347144	1.0	1.0
gene:TraesCS5A03G0001900	Chr5A	1955095	1955460	-	1955277	Chr5A	2104225	2104590	+	2104407	1.0	1.0
gene:TraesCS5A03G0002000	Chr5A	2041391	2042111	-	2041751	Chr5A	2018045	2018765	+	2018405	1.0	1.0
gene:TraesCS5A03G0002100	Chr5A	2042895	2043377	+	2043136	Chr5A	2016779	2017261	-	2017020	1.0	1.0
gene:TraesCS5A03G0002500	Chr5A	2059447	2067895	+	2063671	Chr5A	1989226	2000787	-	1995006	1.0	1.0
gene:TraesCS5A03G0002700	Chr5A	2068880	2071814	+	2070347	Chr5A	1985307	1988241	-	1986774	1.0	1.0
gene:TraesCS5A03G0002900	Chr5A	2082542	2082888	+	2082715	Chr5A	1974232	1974578	-	1974405	1.0	1.0
gene:TraesCS5A03G0003200	Chr5A	2225824	2226003	+	2225913	Chr5A	1879623	1879802	-	1879712	1.0	1.0
gene:TraesCS5A03G0003300	Chr5A	2269703	2270692	-	2270197	Chr5A	1835078	1836067	+	1835572	1.0	1.0
gene:TraesCS5A03G0003900	Chr5A	2671848	2673352	-	2672600	Chr5A	1422932	1424436	+	1423684	1.0	1.0
gene:TraesCS5A03G0004000	Chr5A	2741825	2743021	-	2742423	Chr5A	1352852	1354048	+	1353450	1.0	1.0
gene:TraesCS5A03G0004500	Chr5A	2854750	2859673	-	2857211	Chr5A	1235973	1240886	+	1238429	1.0	1.0
gene:TraesCS5A03G0004900	Chr5A	2989002	2993252	-	2991127	Chr5A	1102435	1106685	+	1104560	1.0	1.0
gene:TraesCS5A03G0005200	Chr5A	3010374	3014596	+	3012485	Chr5A	1080921	1085143	-	1083032	1.0	1.0
gene:TraesCS5A03G0005300	Chr5A	3015603	3020596	+	3018099	Chr5A	1074921	1079914	-	1077417	1.0	1.0
gene:TraesCS5A03G0005400	Chr5A	3027435	3033237	-	3030336	Chr5A	1062280	1068082	+	1065181	1.0	1.0
gene:TraesCS5A03G0005500	Chr5A	3081377	3084416	-	3082896	Chr5A	1011850	1014889	+	1013369	1.0	1.0
gene:TraesCS5A03G0006300	Chr5A	3306994	3308561	-	3307777	Chr5A	789085	790652	+	789868	1.0	1.0
gene:TraesCS5A03G0006400	Chr5A	3312509	3313435	+	3312972	Chr5A	784211	785137	-	784674	1.0	1.0
gene:TraesCS5A03G0006500	Chr5A	3315802	3317881	-	3316841	Chr5A	774025	776378	+	775201	1.0	0.993
gene:TraesCS5A03G0006600	Chr5A	3318157	3321929	-	3320043	Chr5A	769954	773749	+	771851	0.996	0.977
gene:TraesCS5A03G0006700	Chr5A	3323908	3324402	+	3324155	Chr5A	767492	767986	-	767739	1.0	0.995
gene:TraesCS5A03G0006800	Chr5A	3330540	3332847	+	3331693	Chr5A	746625	748951	-	747788	1.0	0.971
gene:TraesCS5A03G0007000	Chr5A	3335666	3337315	-	3336490	Chr5A	742150	743799	+	742974	1.0	0.993
gene:TraesCS5A03G0007500	Chr5A	3522415	3524184	-	3523299	Chr5A	701427	703195	+	702311	0.998	0.985
gene:TraesCS5A03G0007700	Chr5A	3551523	3556494	-	3554008	Chr5A	662334	667294	+	664814	0.999	0.999
gene:TraesCS5A03G0007900	Chr5A	3632961	3634579	+	3633770	Chr5A	636901	638472	-	637686	0.971	0.958
gene:TraesCS5A03G0008000	Chr5A	3769384	3773677	+	3771530	Chr5A	525536	529813	-	527674	0.994	0.992
gene:TraesCS5A03G0008100	Chr5A	3774296	3777820	-	3776058	Chr5A	521382	524917	+	523149	1.0	0.996
gene:TraesCS5A03G0008300	Chr5A	3796488	3802877	-	3799682	Chr5A	497318	503623	+	500470	0.985	0.983
gene:TraesCS5A03G0008900	Chr5A	3992185	3995626	+	3993905	Chr5A	378703	382144	-	380423	1.0	1.0
gene:TraesCS5A03G0010100	Chr5A	4264649	4265629	-	4265139	Chr5A	355380	356381	+	355880	1.0	0.958
gene:TraesCS5A03G0010300	Chr5A	4274826	4278699	-	4276762	Chr5A	323749	327625	+	325687	1.0	0.985
gene:TraesCS5A03G0010400	Chr5A	4289135	4289901	+	4289518	Chr5A	301559	302325	-	301942	1.0	0.988
gene:TraesCS5A03G0010500	Chr5A	4295044	4309997	+	4302520	Chr5A	280483	295655	-	288069	1.0	0.996
gene:TraesCS5A03G0012100	Chr5A	4601170	4603965	+	4602567	Chr5A	4163775	4166568	+	4165171	0.997	0.99
gene:TraesCS5A03G0013100	Chr5A	4904676	4905811	+	4905243	Chr5A	4398019	4399154	+	4398586	1.0	1.0
gene:TraesCS5A03G0013200	Chr5A	4919883	4925344	+	4922613	Chr5A	4413226	4418687	+	4415956	1.0	1.0
gene:TraesCS5A03G0013300	Chr5A	4930158	4933157	-	4931657	Chr5A	4442819	4445815	-	4444317	1.0	0.994
gene:TraesCS5A03G0013900	Chr5A	4955513	4957493	+	4956503	Chr5A	4481375	4483355	+	4482365	1.0	0.992
gene:TraesCS5A03G0014100	Chr5A	4985496	4986139	-	4985817	Chr5A	4510911	4511554	-	4511232	1.0	0.994
gene:TraesCS5A03G0014200	Chr5A	4993029	4993634	+	4993331	Chr5A	4518415	4519020	+	4518717	1.0	0.988
gene:TraesCS5A03G0015400	Chr5A	5201460	5203706	+	5202583	Chr5A	4723922	4726168	+	4725045	1.0	1.0
gene:TraesCS5A03G0015700	Chr5A	5513746	5517685	+	5515715	Chr5A	5046354	5050291	+	5048322	1.0	0.997
gene:TraesCS5A03G0016200	Chr5A	5595617	5601458	+	5598537	Chr5A	5114676	5120540	+	5117608	1.0	0.997
gene:TraesCS5A03G0017300	Chr5A	5963526	5964147	-	5963836	Chr5A	5159286	5159907	-	5159596	1.0	0.992
gene:TraesCS5A03G0017400	Chr5A	5969124	5969789	-	5969456	Chr5A	5164878	5165543	-	5165210	1.0	0.994
gene:TraesCS5A03G0017500	Chr5A	6014157	6019058	-	6016607	Chr5A	5201839	5206706	-	5204272	0.987	0.981
gene:TraesCS5A03G0017800	Chr5A	6121420	6125041	-	6123230	Chr5A	5327569	5331193	-	5329381	1.0	0.993
gene:TraesCS5A03G0018600	Chr5A	6449947	6462537	+	6456242	Chr5A	5736485	5749055	+	5742770	0.99	0.988
gene:TraesCS5A03G0018900	Chr5A	6859842	6878845	+	6869343	Chr5A	6159281	6178688	+	6168984	1.0	0.997
gene:TraesCS5A03G0019200	Chr5A	7127244	7130490	-	7128867	Chr5A	6413257	6416512	-	6414884	0.996	0.989
gene:TraesCS5A03G0019300	Chr5A	7146913	7157001	+	7151957	Chr5A	6432814	6445829	+	6439321	0.998	0.976
gene:TraesCS5A03G0019500	Chr5A	7302024	7303817	+	7302920	Chr5A	6639356	6641148	+	6640252	1.0	0.995
gene:TraesCS5A03G0019600	Chr5A	7304442	7323297	+	7313869	Chr5A	6641773	6656012	+	6648892	0.997	0.992
gene:TraesCS5A03G0020600	Chr5A	7409534	7412849	+	7411191	Chr5A	6725409	6729158	+	6727283	1.0	1.0
gene:TraesCS5A03G0020700	Chr5A	7443708	7446821	-	7445264	Chr5A	6759127	6762240	-	6760683	1.0	1.0
gene:TraesCS5A03G0020800	Chr5A	7567427	7569538	+	7568482	Chr5A	6882117	6884228	+	6883172	1.0	1.0
gene:TraesCS5A03G0020900	Chr5A	7578368	7580621	+	7579494	Chr5A	6893058	6895311	+	6894184	1.0	1.0
gene:TraesCS5A03G0021000	Chr5A	7595016	7596460	-	7595738	Chr5A	6909706	6911150	-	6910428	1.0	1.0
gene:TraesCS5A03G0021100	Chr5A	7601280	7605921	-	7603600	Chr5A	6915970	6920611	-	6918290	1.0	0.998
gene:TraesCS5A03G0021500	Chr5A	7650808	7656539	-	7653673	Chr5A	6957481	6962002	-	6959741	0.921	0.921
gene:TraesCS5A03G0021600	Chr5A	7658120	7662278	-	7660199	Chr5A	6964903	6969061	-	6966982	1.0	1.0
gene:TraesCS5A03G0021800	Chr5A	7691295	7692095	+	7691695	Chr5A	6996091	6996891	+	6996491	1.0	1.0
gene:TraesCS5A03G0022100	Chr5A	7735086	7738589	+	7736837	Chr5A	7038815	7042322	+	7040568	1.0	0.999
gene:TraesCS5A03G0022200	Chr5A	7767606	7779699	+	7773652	Chr5A	7071603	7083696	+	7077649	1.0	1.0
gene:TraesCS5A03G0022300	Chr5A	7782872	7788336	+	7785604	Chr5A	7086868	7092332	+	7089600	1.0	1.0
gene:TraesCS5A03G0023300	Chr5A	7870862	7882905	-	7876883	Chr5A	7158855	7171453	-	7165154	0.995	0.994
gene:TraesCS5A03G0023800	Chr5A	7940806	7941798	-	7941302	Chr5A	7222929	7223921	-	7223425	1.0	0.988
gene:TraesCS5A03G0023900	Chr5A	7965573	7966784	-	7966178	Chr5A	7411176	7412377	-	7411776	0.991	0.986
gene:TraesCS5A03G0024600	Chr5A	8147370	8148388	+	8147879	Chr5A	7586120	7587114	+	7586617	1.0	0.986
gene:TraesCS5A03G0024900	Chr5A	8268730	8270961	-	8269845	Chr5A	7674488	7676719	-	7675603	1.0	0.994
gene:TraesCS5A03G0025000	Chr5A	8330560	8331320	+	8330940	Chr5A	7724808	7725570	+	7725189	1.0	0.994
gene:TraesCS5A03G0025200	Chr5A	8352960	8358898	+	8355929	Chr5A	7755005	7760941	+	7757973	1.0	0.996
gene:TraesCS5A03G0025300	Chr5A	8522478	8524641	+	8523559	Chr5A	7897252	7899416	+	7898334	1.0	0.999
gene:TraesCS5A03G0025400	Chr5A	8524711	8528863	-	8526787	Chr5A	7899486	7903638	-	7901562	1.0	0.998
gene:TraesCS5A03G0025800	Chr5A	8648473	8649403	+	8648938	Chr5A	7955257	7956187	+	7955722	1.0	0.997
gene:TraesCS5A03G0026200	Chr5A	8665908	8667736	-	8666822	Chr5A	7973873	7975701	-	7974787	1.0	0.997
gene:TraesCS5A03G0026600	Chr5A	8730184	8733043	+	8731613	Chr5A	8037968	8040831	+	8039399	1.0	0.998
gene:TraesCS5A03G0026700	Chr5A	8778276	8780216	+	8779246	Chr5A	8072545	8074485	+	8073515	1.0	0.996
gene:TraesCS5A03G0026900	Chr5A	8814105	8814896	-	8814500	Chr5A	8108236	8109027	-	8108631	1.0	0.997
gene:TraesCS5A03G0027000	Chr5A	8838964	8840127	+	8839545	Chr5A	8133414	8134577	+	8133995	1.0	0.999
gene:TraesCS5A03G0027900	Chr5A	9677168	9677338	+	9677253	Chr5A	8776902	8777072	+	8776987	1.0	1.0
gene:TraesCS5A03G0028100	Chr5A	9690224	9692901	+	9691562	Chr5A	8788716	8791388	+	8790052	1.0	0.995
