cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr6D	43783	27630303	Chr6D	128005	28869014	528	0.9985037878787879
Chr6D	32741204	38552224	Chr6D	33680221	41259900	87	0.9960804597701148
Chr6D	41537060	46120294	Chr6D	44233459	48874981	67	0.9992089552238806
Chr6D	49876700	56759409	Chr6D	55676458	63613537	59	0.9987118644067796
Chr6D	64544097	186375773	Chr6D	72090952	194317966	947	0.9993104540654699
Chr6D	188380630	235958205	Chr6D	196300509	243053079	72	0.9998472222222223
Chr6D	238222872	248745870	Chr6D	244535219	255035272	15	0.9994000000000001
Chr6D	253451229	261093398	Chr6D	259737899	267367003	12	0.9999166666666667
Chr6D	263489417	302615547	Chr6D	269761449	310617385	144	0.9990069444444445
Chr6D	304859324	436495956	Chr6D	312857477	444374409	1031	0.9996925315227934
Chr6D	439160889	491263382	Chr6D	447033264	501277919	769	0.9966983094928479
