gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity	segment
gene:TraesCS1D02G000100	Chr1D	72507	77965	-	75236	Chr1D	2375204	2380662	+	2377933	1.0	1.0	collinear
gene:TraesCS1D02G000200	Chr1D	84681	85607	+	85144	Chr1D	2367562	2368488	-	2368025	1.0	1.0	collinear
gene:TraesCS1D02G000300	Chr1D	99355	100422	+	99888	Chr1D	2352748	2353815	-	2353281	1.0	1.0	collinear
gene:TraesCS1D02G000400	Chr1D	111463	112058	-	111760	Chr1D	2341109	2341704	+	2341406	1.0	1.0	collinear
gene:TraesCS1D02G000500	Chr1D	121980	122198	-	122089	Chr1D	2330968	2331186	+	2331077	1.0	1.0	collinear
gene:TraesCS1D02G000524	Chr1D	133936	134199	+	134067	Chr1D	2319229	2319492	-	2319360	1.0	1.0	collinear
gene:TraesCS1D02G000600	Chr1D	208450	208668	-	208559	Chr1D	2246792	2247010	+	2246901	1.0	1.0	collinear
gene:TraesCS1D02G000700	Chr1D	209608	210213	-	209910	Chr1D	2245247	2245852	+	2245549	1.0	1.0	collinear
gene:TraesCS1D02G000900	Chr1D	216924	217245	+	217084	Chr1D	2238483	2238804	-	2238643	1.0	1.0	collinear
gene:TraesCS1D02G000800	Chr1D	216466	219484	-	217975	Chr1D	2236244	2239262	+	2237753	1.0	1.0	collinear
gene:TraesCS1D02G000906	Chr1D	232648	233202	-	232925	Chr1D	2222526	2223080	+	2222803	1.0	1.0	collinear
gene:TraesCS1D02G001000	Chr1D	250463	251359	-	250911	Chr1D	2206173	2207069	+	2206621	1.0	0.998	collinear
gene:TraesCS1D02G001100	Chr1D	259657	260544	-	260100	Chr1D	2197066	2197953	+	2197509	1.0	0.998	collinear
gene:TraesCS1D02G001200	Chr1D	321910	322893	-	322401	Chr1D	2135159	2136142	+	2135650	1.0	0.998	collinear
gene:TraesCS1D02G001300	Chr1D	339837	340811	-	340324	Chr1D	2117452	2118426	+	2117939	1.0	1.0	collinear
gene:TraesCS1D02G001500	Chr1D	392359	395787	+	394073	Chr1D	2061862	2065371	-	2063616	1.0	0.976	collinear
gene:TraesCS1D02G001600	Chr1D	415385	418153	+	416769	Chr1D	2039822	2042588	-	2041205	0.999	0.999	collinear
gene:TraesCS1D02G001700	Chr1D	447129	462647	+	454888	Chr1D	1935278	1951083	-	1943180	1.0	1.0	collinear
gene:TraesCS1D02G001800	Chr1D	458727	460352	+	459539	Chr1D	1937573	1939477	-	1938525	1.0	1.0	collinear
gene:TraesCS1D02G001900	Chr1D	463242	464905	-	464073	Chr1D	1933020	1934683	+	1933851	1.0	1.0	collinear
gene:TraesCS1D02G002000	Chr1D	469277	472378	+	470827	Chr1D	1925762	1928863	-	1927312	1.0	1.0	collinear
gene:TraesCS1D02G002100	Chr1D	509821	510750	+	510285	Chr1D	1882006	1882935	-	1882470	1.0	1.0	collinear
gene:TraesCS1D02G002200	Chr1D	512104	515096	-	513600	Chr1D	1877659	1880652	+	1879155	1.0	0.999	collinear
gene:TraesCS1D02G002300	Chr1D	548169	554637	-	551403	Chr1D	1838339	1844808	+	1841573	1.0	1.0	collinear
gene:TraesCS1D02G002400	Chr1D	568769	574727	+	571748	Chr1D	1818959	1824917	-	1821938	1.0	0.999	collinear
gene:TraesCS1D02G002500	Chr1D	577240	584788	-	581014	Chr1D	1808898	1816446	+	1812672	1.0	0.999	collinear
gene:TraesCS1D02G003700	Chr1D	2066324	2067459	+	2066891	Chr1D	79321	80456	+	79888	1.0	1.0	collinear
gene:TraesCS1D02G003800	Chr1D	2074711	2076549	+	2075630	Chr1D	87708	89546	+	88627	1.0	1.0	collinear
gene:TraesCS1D02G003900	Chr1D	2076917	2080837	-	2078877	Chr1D	89914	93834	-	91874	1.0	0.999	collinear
gene:TraesCS1D02G004000	Chr1D	2081281	2084780	-	2083030	Chr1D	94278	97777	-	96027	1.0	1.0	collinear
gene:TraesCS1D02G004100	Chr1D	2087759	2094728	+	2091243	Chr1D	100756	107829	+	104292	1.0	1.0	collinear
gene:TraesCS1D02G004200	Chr1D	2101598	2103387	+	2102492	Chr1D	114650	116439	+	115544	1.0	1.0	collinear
gene:TraesCS1D02G004300	Chr1D	2108471	2112601	+	2110536	Chr1D	121230	125444	+	123337	1.0	0.972	collinear
gene:TraesCS1D02G004400	Chr1D	2113015	2116037	-	2114526	Chr1D	125859	128881	-	127370	1.0	1.0	collinear
gene:TraesCS1D02G004500	Chr1D	2119146	2122106	-	2120626	Chr1D	131990	134949	-	133469	1.0	1.0	collinear
gene:TraesCS1D02G004600	Chr1D	2124693	2127355	-	2126024	Chr1D	137536	140199	-	138867	1.0	1.0	collinear
gene:TraesCS1D02G004700	Chr1D	2139321	2145297	-	2142309	Chr1D	151788	157764	-	154776	1.0	1.0	collinear
gene:TraesCS1D02G004800	Chr1D	2164355	2167632	+	2165993	Chr1D	176550	179827	+	178188	1.0	1.0	collinear
gene:TraesCS1D02G004900	Chr1D	2218698	2230622	-	2224660	Chr1D	230551	242370	-	236460	1.0	1.0	collinear
gene:TraesCS1D02G005100	Chr1D	2458987	2461044	-	2460015	Chr1D	466187	468244	-	467215	1.0	1.0	collinear
gene:TraesCS1D02G005200	Chr1D	2468451	2472420	-	2470435	Chr1D	475335	479304	-	477319	1.0	1.0	collinear
gene:TraesCS1D02G005300	Chr1D	2482275	2489362	+	2485818	Chr1D	489159	496090	+	492624	1.0	0.951	collinear
gene:TraesCS1D02G005400	Chr1D	2495367	2499785	-	2497576	Chr1D	500762	505180	-	502971	1.0	1.0	collinear
gene:TraesCS1D02G005500	Chr1D	2505660	2509566	+	2507613	Chr1D	511056	514672	+	512864	1.0	1.0	collinear
