gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity	segment
gene:TraesCS4A02G000100	Chr4A	82124	83278	-	82701	Chr4A	543651	544805	-	544228	1.0	1.0	collinear
gene:TraesCS4A02G000200	Chr4A	189541	192767	+	191154	Chr4A	649158	652384	+	650771	1.0	1.0	collinear
gene:TraesCS4A02G000300	Chr4A	192937	194561	-	193749	Chr4A	652555	654179	-	653367	1.0	0.999	collinear
gene:TraesCS4A02G000400	Chr4A	195787	197105	-	196446	Chr4A	655405	656723	-	656064	1.0	1.0	collinear
gene:TraesCS4A02G000500	Chr4A	207440	212052	+	209746	Chr4A	667052	671684	+	669368	1.0	1.0	collinear
gene:TraesCS4A02G000600	Chr4A	469193	478687	+	473940	Chr4A	926876	936120	+	931498	0.992	0.992	collinear
gene:TraesCS4A02G000700	Chr4A	533491	534126	-	533808	Chr4A	989909	990544	-	990226	1.0	0.995	collinear
gene:TraesCS4A02G000800	Chr4A	731622	737622	-	734622	Chr4A	1177180	1183248	-	1180214	1.0	1.0	collinear
gene:TraesCS4A02G000900	Chr4A	745038	750274	-	747656	Chr4A	1190572	1195808	-	1193190	1.0	0.999	collinear
gene:TraesCS4A02G001000	Chr4A	887662	888188	+	887925	Chr4A	1323264	1323790	+	1323527	1.0	1.0	collinear
gene:TraesCS4A02G001100	Chr4A	898756	902187	+	900471	Chr4A	1334347	1337770	+	1336058	0.997	0.997	collinear
gene:TraesCS4A02G001200	Chr4A	907552	908326	+	907939	Chr4A	1342954	1343728	+	1343341	1.0	1.0	collinear
gene:TraesCS4A02G001300	Chr4A	932349	933682	-	933015	Chr4A	1367608	1368941	-	1368274	1.0	1.0	collinear
gene:TraesCS4A02G001400	Chr4A	1076557	1076952	+	1076754	Chr4A	1498420	1498815	+	1498617	1.0	1.0	collinear
