cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr1B	170123	22897803	Chr1B	168650	24910303	315	0.9881873015873016
Chr1B	24998735	31339892	Chr1B	20258865	32041843	53	0.986433962264151
Chr1B	34045861	38402288	Chr1B	33325857	38081431	29	0.9921379310344827
Chr1B	40611674	81974218	Chr1B	39286097	80266215	253	0.9902845849802373
Chr1B	86636879	91210816	Chr1B	85359518	89913586	15	0.9868
Chr1B	93460686	224268457	Chr1B	92064633	222560399	583	0.9976003430531732
Chr1B	229233324	235383337	Chr1B	232747073	238893657	8	0.99675
Chr1B	243006512	244692138	Chr1B	241394023	243000636	5	1.0
Chr1B	246841035	249142619	Chr1B	247921724	250295522	6	0.9998333333333335
Chr1B	251958660	272283175	Chr1B	257037677	278277225	50	0.9988400000000002
Chr1B	274419536	296088628	Chr1B	280398754	302112865	79	0.9976582278481012
Chr1B	298738700	298817103	Chr1B	304727139	304813932	5	0.9945999999999999
Chr1B	301350787	324212763	Chr1B	307287044	334563007	86	0.9861162790697676
Chr1B	328393948	691844083	Chr1B	335270933	705260241	2705	0.9951733826247691
Chr1B	692429531	700379038	Chr1B	692275042	699130805	67	0.988865671641791
