cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr4A	54084528	58094644	Chr4A	62627905	66757739	21	0.9959999999999999
Chr4A	75809354	78736365	Chr4A	67059307	70043534	19	0.9966842105263158
Chr4A	64962344	70298466	Chr4A	75534216	80790930	40	0.99415
Chr4A	255891836	264172555	Chr4A	299514010	307748675	14	0.9993571428571429
Chr4A	266692038	291455005	Chr4A	245784828	326647161	37	0.9986756756756757
Chr4A	293591696	312125594	Chr4A	255875751	274411401	26	0.9994615384615385
Chr4A	317950774	326248331	Chr4A	280203229	288491066	54	0.9992222222222222
Chr4A	81328	52597423	Chr4A	120592	52390378	562	0.9970836298932384
Chr4A	58214553	63117812	Chr4A	57620213	62521799	47	0.9938085106382979
Chr4A	70786719	75426387	Chr4A	70404251	75059245	36	0.9931666666666664
Chr4A	81244931	130332624	Chr4A	81159572	130334464	281	0.9957046263345196
Chr4A	132517055	192330869	Chr4A	132375698	191904260	258	0.99865503875969
Chr4A	194997349	219652885	Chr4A	194572298	219142492	45	0.9994444444444445
Chr4A	221731546	222175913	Chr4A	221220839	221682082	3	1.0
Chr4A	224910983	226677182	Chr4A	224400613	226160701	4	1.0
Chr4A	229114346	242431315	Chr4A	228541229	241886134	21	0.999952380952381
Chr4A	328283933	333487928	Chr4A	328364707	333560114	6	0.9994999999999999
Chr4A	337968373	349413639	Chr4A	338028310	349336305	23	0.9998260869565219
Chr4A	351426691	353020297	Chr4A	351468483	353062259	4	1.0
Chr4A	355676988	358739297	Chr4A	355713555	358755717	6	0.9996666666666667
Chr4A	361169426	364704441	Chr4A	361185994	364734164	5	1.0
Chr4A	372955440	386206032	Chr4A	374588348	387805057	15	0.9996666666666667
Chr4A	388345576	389986218	Chr4A	389929509	391554727	3	1.0
Chr4A	394095303	397542408	Chr4A	395659596	399101843	6	0.9996666666666667
Chr4A	399782828	400323386	Chr4A	401330483	401881623	3	0.999
Chr4A	406605144	419576751	Chr4A	408127966	421012967	17	0.9996470588235294
Chr4A	421807811	507495678	Chr4A	423242411	508454004	417	0.9981630695443645
Chr4A	509609425	641040255	Chr4A	510565874	645398081	1480	0.9976398648648649
Chr4A	664152825	668416468	Chr4A	665165796	670585833	34	0.9886176470588233
Chr4A	688562054	691306039	Chr4A	694428834	697053053	18	0.9997222222222223
Chr4A	748830970	754073777	Chr4A	750982390	759179880	34	0.9683529411764705
