gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity
gene:TraesCS5B03G0000300	Chr5B	16033	21153	+	18593	Chr5B	1545572	1550696	-	1548134	0.998	0.981
gene:TraesCS5B03G0000800	Chr5B	85900	87414	-	86657	Chr5B	1167435	1168960	-	1168197	1.0	0.994
gene:TraesCS5B03G0000900	Chr5B	208601	214218	+	211409	Chr5B	1272342	1277968	+	1275155	1.0	0.999
gene:TraesCS5B03G0001100	Chr5B	214767	217901	-	216334	Chr5B	1278517	1281657	-	1280087	1.0	0.998
gene:TraesCS5B03G0001300	Chr5B	606261	606584	-	606422	Chr5B	765035	765358	+	765196	1.0	1.0
gene:TraesCS5B03G0001600	Chr5B	1005121	1009642	+	1007381	Chr5B	2121381	2125856	-	2123618	1.0	0.984
gene:TraesCS5B03G0001800	Chr5B	1110422	1112273	-	1111347	Chr5B	1995882	1997735	+	1996808	1.0	0.994
gene:TraesCS5B03G0001900	Chr5B	1209448	1212378	+	1210913	Chr5B	1979631	1982570	-	1981100	1.0	0.989
gene:TraesCS5B03G0002900	Chr5B	2118597	2118959	-	2118778	Chr5B	7861626	7861988	-	7861807	1.0	1.0
gene:TraesCS5B03G0003000	Chr5B	2119731	2120270	+	2120000	Chr5B	7862760	7863299	+	7863029	1.0	1.0
gene:TraesCS5B03G0003200	Chr5B	2256442	2262369	+	2259405	Chr5B	8001199	8007126	+	8004162	1.0	1.0
gene:TraesCS5B03G0003500	Chr5B	2311597	2312335	+	2311966	Chr5B	8057043	8057781	+	8057412	1.0	1.0
gene:TraesCS5B03G0003700	Chr5B	2316821	2328979	+	2322900	Chr5B	8062267	8074959	+	8068613	1.0	1.0
gene:TraesCS5B03G0003800	Chr5B	2702541	2703727	-	2703134	Chr5B	8452145	8453331	-	8452738	1.0	1.0
gene:TraesCS5B03G0003900	Chr5B	2728736	2729284	+	2729010	Chr5B	8478333	8478881	+	8478607	1.0	1.0
gene:TraesCS5B03G0004100	Chr5B	3293517	3295022	-	3294269	Chr5B	9024179	9025684	-	9024931	1.0	1.0
gene:TraesCS5B03G0004200	Chr5B	3371571	3373018	-	3372294	Chr5B	9101589	9103036	-	9102312	1.0	1.0
gene:TraesCS5B03G0004400	Chr5B	3564118	3565596	+	3564857	Chr5B	9291299	9292777	+	9292038	1.0	1.0
gene:TraesCS5B03G0004500	Chr5B	3593228	3597197	-	3595212	Chr5B	9320915	9324884	-	9322899	1.0	1.0
gene:TraesCS5B03G0004600	Chr5B	3603885	3607681	+	3605783	Chr5B	9331574	9335368	+	9333471	1.0	1.0
gene:TraesCS5B03G0004800	Chr5B	4221282	4227412	-	4224347	Chr5B	7580460	7586588	-	7583524	1.0	1.0
gene:TraesCS5B03G0005300	Chr5B	4269528	4272513	-	4271020	Chr5B	7628689	7631674	-	7630181	1.0	1.0
gene:TraesCS5B03G0005500	Chr5B	4505697	4508188	+	4506942	Chr5B	6888292	6890783	+	6889537	1.0	0.999
gene:TraesCS5B03G0005800	Chr5B	4542237	4546889	-	4544563	Chr5B	6925151	6929803	-	6927477	1.0	1.0
