cs_chr	Fielder_tgt_chr	n_anchors	Fielder_mean_anchor_gap_Mb	Fielder_interp_type	n_segments	Fielder_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A+Chr1A	4066	0.067	linear+pchip+linear+linear	4	0.956
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B	4241	0.144	linear+linear+linear+pchip+pchip_inverted+pchip+linear+pchip_inverted	8	0.928
Chr1D	Chr1D+Chr1D+Chr1D	4377	0.078	linear+pchip_inverted+pchip_inverted	3	0.983
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5149	0.52	pchip_inverted+linear+linear+pchip_inverted+pchip_inverted+linear+pchip_inverted+linear	8	0.899
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5369	0.188	linear+linear+linear+linear+pchip+pchip_inverted+pchip+linear	8	0.906
Chr2D	Chr2D+Chr2D+Chr2D+Chr2D+Chr2D	5221	0.088	linear+pchip_inverted+pchip_inverted+pchip_inverted+linear	5	0.94
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	4992	0.115	linear+pchip_inverted+linear+pchip+pchip	5	0.972
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B+Chr3B+Chr3B+Chr3B+Chr3B	5442	0.088	linear+pchip_inverted+linear+pchip_inverted+pchip_inverted+linear+linear+linear	8	0.935
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D+Chr3D+Chr3D+Chr3D	5079	0.124	linear+pchip_inverted+pchip_inverted+linear+pchip_inverted+pchip_inverted+pchip_inverted	7	0.976
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4458	0.321	pchip_inverted+pchip_inverted+linear+pchip_inverted+pchip+linear+pchip+linear+linear+linear+linear	11	0.956
Chr4B	Chr4B+Chr4B+Chr4B+Chr4B+Chr4B+Chr4B+Chr4B	3747	0.435	pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+linear+pchip_inverted+linear	7	0.978
Chr4D	Chr4D+Chr4D	3546	0.101	linear+pchip	2	0.993
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A+Chr5A	5243	0.17	pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+linear	5	0.967
Chr5B	Chr5B+Chr5B	5108	0.115	pchip_inverted+linear	2	0.919
Chr5D	Chr5D+Chr5D+Chr5D	5337	0.087	linear+linear+pchip	3	0.966
Chr6A	Chr6A+Chr6A+Chr6A	3806	0.095	linear+linear+linear	3	0.962
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3841	0.211	pchip_inverted+pchip_inverted+linear+pchip_inverted+pchip_inverted	5	0.751
Chr6D	Chr6D+Chr6D+Chr6D	3558	0.098	pchip+pchip_inverted+linear	3	0.95
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	5123	0.093	pchip_inverted+linear+pchip+pchip_inverted+linear+pchip_inverted+linear	7	0.957
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B	3772	0.139	linear+pchip_inverted+linear+pchip	4	0.687
Chr7D	Chr7D+Chr7D+Chr7D	5241	0.077	linear+linear+pchip_inverted	3	0.975
