cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	215460	143802522	1421	0.999484869809993
Chr4D	143939177	159173700	Chr4D	146463165	161666337	18	0.9994444444444444
Chr4D	163710731	183649096	Chr4D	166218022	186712120	27	0.9997777777777778
Chr4D	188969484	192971731	Chr4D	193648450	197632473	6	0.9996666666666666
Chr4D	195239705	198785582	Chr4D	199900778	203437647	7	0.9997142857142858
Chr4D	201663396	212424003	Chr4D	206719261	219835714	27	0.9997037037037038
Chr4D	214566503	228344802	Chr4D	221965747	235731065	23	0.9988695652173916
Chr4D	230503918	238850566	Chr4D	237934748	246240788	11	0.9993636363636365
Chr4D	241150325	249170093	Chr4D	248521072	257383246	18	0.9996666666666668
Chr4D	251744642	256746015	Chr4D	259952548	264958218	7	0.9988571428571428
Chr4D	259082246	261473317	Chr4D	267272774	269670771	6	0.9998333333333336
Chr4D	264155329	268258812	Chr4D	272349555	276439916	7	0.9984285714285714
Chr4D	270831155	284417863	Chr4D	279026623	292563476	19	0.9975263157894736
Chr4D	286726699	329466878	Chr4D	294833463	337789580	222	0.9993108108108107
Chr4D	331779306	375686787	Chr4D	340070951	384158166	302	0.9997185430463577
Chr4D	377775997	410310201	Chr4D	386291746	422049522	235	0.9994595744680852
Chr4D	412602740	514856841	Chr4D	424836276	531429376	1191	0.9993727959697732
