cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr6A	12818581	13168236	Chr6A	5634765	5986493	8	1.0
Chr6A	19427304	165560133	Chr6A	17382183	162070241	1187	0.9953454085930917
Chr6A	169123596	174751019	Chr6A	165650721	171354423	30	0.9985666666666667
Chr6A	177010402	237636332	Chr6A	173620187	234016597	202	0.998351485148515
Chr6A	243810148	244731119	Chr6A	240153894	240981477	3	0.9946666666666667
Chr6A	251103689	255370132	Chr6A	247320079	251576571	8	0.99125
Chr6A	257566273	264313435	Chr6A	253696441	260473533	20	0.9949500000000002
Chr6A	266482395	275860435	Chr6A	262687505	272344029	22	0.9927272727272727
Chr6A	278883582	286419844	Chr6A	275602943	283253723	10	0.9984
Chr6A	288816070	290338890	Chr6A	285889067	287628712	4	0.99525
Chr6A	293863739	319731587	Chr6A	292443208	319962163	28	0.9979642857142856
Chr6A	323819925	326827584	Chr6A	324088458	327072515	8	0.9938750000000001
Chr6A	328915123	332571498	Chr6A	329231761	332866735	6	0.997
Chr6A	334687288	346665213	Chr6A	334927404	347250025	16	0.9964999999999999
Chr6A	349035941	349057392	Chr6A	349678078	349702356	3	0.9986666666666667
Chr6A	354380382	355885891	Chr6A	355096218	356636957	4	0.99575
Chr6A	357954045	410556392	Chr6A	358631830	410842734	144	0.9966875
Chr6A	425770714	430037973	Chr6A	423556240	427726179	21	0.9969523809523809
Chr6A	442130717	528672379	Chr6A	441801004	528594012	591	0.997622673434856
Chr6A	531482801	622584375	Chr6A	528626446	620133783	1159	0.9929732528041415
