cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr5A	2672600	3799682	Chr5A	17835	1049297	21	0.9956666666666666
Chr5A	238592814	247013515	Chr5A	251456743	259810674	25	0.99972
Chr5A	14293	62409843	Chr5A	1452570	63419787	513	0.9954093567251462
Chr5A	65256920	152899436	Chr5A	66069194	153997375	397	0.9965239294710327
Chr5A	156754150	160718182	Chr5A	157786480	161736804	13	1.0
Chr5A	163084098	182449906	Chr5A	164089946	182993608	37	0.9994594594594596
Chr5A	184871905	187078746	Chr5A	185399284	187594397	4	1.0
Chr5A	192446609	200581324	Chr5A	192883202	200960714	16	0.9988125
Chr5A	204816399	224020772	Chr5A	205196597	224303562	33	0.9996969696969698
Chr5A	226098410	238494644	Chr5A	226380790	238290047	28	0.9981785714285715
Chr5A	247866626	251028605	Chr5A	245995360	250601359	8	0.998625
Chr5A	259606122	428812755	Chr5A	260207423	427569016	902	0.9983592017738359
Chr5A	431918117	497231246	Chr5A	427866828	492254690	706	0.996888101983003
Chr5A	501242756	713328361	Chr5A	493185578	701003767	2551	0.9976256370050961
