gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	Chuanmai104_tgt_strand	Chuanmai104_tgt_midpoint	Chuanmai104_coverage	Chuanmai104_identity	segment
gene:TraesCS3D02G000200	Chr3D	328329	328952	+	328640	Chr3D	9556807	9557430	-	9557118	1.0	1.0	collinear
gene:TraesCS3D02G000400	Chr3D	356416	357339	-	356877	Chr3D	9533114	9534036	+	9533575	1.0	0.982	collinear
gene:TraesCS3D02G000500	Chr3D	390450	391973	-	391211	Chr3D	9516654	9518177	+	9517415	1.0	0.998	collinear
gene:TraesCS3D02G000600	Chr3D	476642	477785	-	477213	Chr3D	9460081	9461226	+	9460653	1.0	0.987	collinear
gene:TraesCS3D02G000700	Chr3D	478316	479781	-	479048	Chr3D	9458239	9459727	+	9458983	1.0	0.992	collinear
gene:TraesCS3D02G000800	Chr3D	494126	496511	+	495318	Chr3D	9421426	9423810	-	9422618	1.0	0.991	collinear
gene:TraesCS3D02G000900	Chr3D	507597	508251	-	507924	Chr3D	9417060	9417724	+	9417392	0.989	0.968	collinear
gene:TraesCS3D02G001400	Chr3D	707880	709355	+	708617	Chr3D	9275341	9276816	-	9276078	1.0	0.997	collinear
gene:TraesCS3D02G001500	Chr3D	770364	773698	+	772031	Chr3D	9211297	9214631	-	9212964	1.0	1.0	collinear
gene:TraesCS3D02G001600	Chr3D	774041	778387	-	776214	Chr3D	9206608	9210954	+	9208781	1.0	1.0	collinear
gene:TraesCS3D02G001700	Chr3D	843836	846634	-	845235	Chr3D	9139174	9141972	+	9140573	1.0	1.0	collinear
gene:TraesCS3D02G001800	Chr3D	853402	855095	+	854248	Chr3D	9130713	9132406	-	9131559	1.0	1.0	collinear
gene:TraesCS3D02G001900	Chr3D	865996	870567	-	868281	Chr3D	9115240	9119811	+	9117525	1.0	1.0	collinear
gene:TraesCS3D02G002000	Chr3D	925863	930264	-	928063	Chr3D	9055614	9060016	+	9057815	1.0	0.999	collinear
gene:TraesCS3D02G002100	Chr3D	950970	952775	+	951872	Chr3D	9033598	9035403	-	9034500	1.0	1.0	collinear
gene:TraesCS3D02G002200	Chr3D	1016389	1018081	-	1017235	Chr3D	8969418	8971110	+	8970264	1.0	0.999	collinear
gene:TraesCS3D02G002300	Chr3D	1109698	1110822	+	1110260	Chr3D	8877415	8878539	-	8877977	1.0	1.0	collinear
gene:TraesCS3D02G002400	Chr3D	1112780	1122933	+	1117856	Chr3D	8865518	8875457	-	8870487	1.0	1.0	collinear
gene:TraesCS3D02G002500	Chr3D	1138991	1145797	-	1142394	Chr3D	8845005	8851811	+	8848408	1.0	1.0	collinear
gene:TraesCS3D02G002600	Chr3D	1195709	1196983	-	1196346	Chr3D	8793964	8795238	+	8794601	1.0	1.0	collinear
gene:TraesCS3D02G002700	Chr3D	1252991	1257142	-	1255066	Chr3D	8735253	8739183	+	8737218	1.0	1.0	collinear
gene:TraesCS3D02G002800	Chr3D	1263500	1272210	+	1267855	Chr3D	8720190	8728896	-	8724543	1.0	1.0	collinear
gene:TraesCS3D02G002900	Chr3D	1279421	1281425	+	1280423	Chr3D	8711013	8713016	-	8712014	1.0	1.0	collinear
gene:TraesCS3D02G003000	Chr3D	1296966	1297936	-	1297451	Chr3D	8694503	8695473	+	8694988	1.0	1.0	collinear
gene:TraesCS3D02G003100	Chr3D	1314751	1316071	-	1315411	Chr3D	8677026	8678346	+	8677686	1.0	1.0	collinear
gene:TraesCS3D02G003200	Chr3D	1337527	1339579	+	1338553	Chr3D	8654108	8656160	-	8655134	1.0	1.0	collinear
gene:TraesCS3D02G003300	Chr3D	1345628	1347413	-	1346520	Chr3D	8646275	8648060	+	8647167	1.0	0.998	collinear
gene:TraesCS3D02G003400	Chr3D	1496410	1498407	-	1497408	Chr3D	8496705	8498702	+	8497703	1.0	1.0	collinear
gene:TraesCS3D02G003500	Chr3D	1602462	1602965	-	1602713	Chr3D	8393154	8393657	+	8393405	1.0	1.0	collinear
gene:TraesCS3D02G003600	Chr3D	1606509	1608807	-	1607658	Chr3D	8385078	8387376	+	8386227	1.0	1.0	collinear
