gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity	segment
gene:TraesCS1B02G035800	Chr1B	17067047	17068871	+	17067959	Chr1B	9799742	9801824	-	9800783	0.998	0.973	rearrangement:Chr1B_block1
gene:TraesCS1B02G036000	Chr1B	17250861	17251768	+	17251314	Chr1B	9104751	9105657	-	9105204	1.0	0.981	rearrangement:Chr1B_block1
gene:TraesCS1B02G042600	Chr1B	22161620	22162595	-	22162107	Chr1B	7769921	7770896	-	7770408	1.0	0.99	rearrangement:Chr1B_block1
gene:TraesCS1B02G043000	Chr1B	22453533	22454744	-	22454138	Chr1B	8766500	8767711	-	8767105	1.0	0.941	rearrangement:Chr1B_block1
gene:TraesCS1B02G043300	Chr1B	22713428	22714746	-	22714087	Chr1B	8742407	8743718	-	8743062	0.993	0.94	rearrangement:Chr1B_block1
gene:TraesCS1B02G050200	Chr1B	30393964	30397094	+	30395529	Chr1B	24078735	24081872	+	24080303	0.991	0.98	rearrangement:Chr1B_block2
gene:TraesCS1B02G050400	Chr1B	30543633	30547236	+	30545434	Chr1B	24209155	24212757	+	24210956	0.999	0.995	rearrangement:Chr1B_block2
gene:TraesCS1B02G050500	Chr1B	30723311	30726962	+	30725136	Chr1B	24382312	24385739	+	24384025	1.0	1.0	rearrangement:Chr1B_block2
gene:TraesCS1B02G050600	Chr1B	30730083	30731757	-	30730920	Chr1B	24388860	24390534	-	24389697	1.0	1.0	rearrangement:Chr1B_block2
gene:TraesCS1B02G050700	Chr1B	30796056	30797339	-	30796697	Chr1B	24452123	24453406	-	24452764	1.0	1.0	rearrangement:Chr1B_block2
gene:TraesCS1B02G050800	Chr1B	30844359	30845297	+	30844828	Chr1B	24499958	24500896	+	24500427	1.0	1.0	rearrangement:Chr1B_block2
gene:TraesCS1B02G050900	Chr1B	30846307	30847158	-	30846732	Chr1B	24501692	24502543	-	24502117	1.0	0.998	rearrangement:Chr1B_block2
gene:TraesCS1B02G051000	Chr1B	30847183	30847674	-	30847428	Chr1B	24502568	24503059	-	24502813	1.0	1.0	rearrangement:Chr1B_block2
gene:TraesCS1B02G051100	Chr1B	30879167	30883218	-	30881192	Chr1B	24534142	24538193	-	24536167	1.0	1.0	rearrangement:Chr1B_block2
gene:TraesCS1B02G149300	Chr1B	222285838	222286286	-	222286062	Chr1B	233935373	233935821	-	233935597	1.0	1.0	rearrangement:Chr1B_block4
gene:TraesCS1B02G149400	Chr1B	222292655	222313898	+	222303276	Chr1B	233942190	233963340	+	233952765	1.0	0.999	rearrangement:Chr1B_block4
gene:TraesCS1B02G149500	Chr1B	223132574	223144645	+	223138609	Chr1B	234773199	234785020	+	234779109	1.0	1.0	rearrangement:Chr1B_block4
gene:TraesCS1B02G149600	Chr1B	223145467	223150923	-	223148195	Chr1B	234785842	234791299	-	234788570	1.0	1.0	rearrangement:Chr1B_block4
gene:TraesCS1B02G149700	Chr1B	223788809	223801565	+	223795187	Chr1B	235422698	235435452	+	235429075	1.0	1.0	rearrangement:Chr1B_block4
gene:TraesCS1B02G150900	Chr1B	234251618	234254193	-	234252905	Chr1B	225220979	225223554	+	225222266	1.0	1.0	rearrangement:Chr1B_block3
gene:TraesCS1B02G151000	Chr1B	235382390	235382758	+	235382574	Chr1B	224030869	224031237	-	224031053	1.0	0.996	rearrangement:Chr1B_block3
gene:TraesCS1B02G151100	Chr1B	235898002	235898295	+	235898148	Chr1B	223526171	223526464	-	223526317	1.0	0.991	rearrangement:Chr1B_block3
gene:TraesCS1B02G151200	Chr1B	236953155	236954928	+	236954041	Chr1B	222471518	222473291	-	222472404	1.0	1.0	rearrangement:Chr1B_block3
gene:TraesCS1B02G151300	Chr1B	236955835	236963068	-	236959451	Chr1B	222463378	222470611	+	222466994	1.0	1.0	rearrangement:Chr1B_block3
gene:TraesCS1B02G151500	Chr1B	236991986	237011195	-	237001590	Chr1B	222416591	222435410	+	222426000	1.0	1.0	rearrangement:Chr1B_block3
gene:TraesCS1B02G151700	Chr1B	237374483	237376361	-	237375422	Chr1B	222075509	222077387	+	222076448	1.0	1.0	rearrangement:Chr1B_block3
gene:TraesCS1B02G151800	Chr1B	238672976	238675576	-	238674276	Chr1B	220798851	220801451	+	220800151	1.0	1.0	rearrangement:Chr1B_block3
gene:TraesCS1B02G171400	Chr1B	305153392	305156967	+	305155179	Chr1B	313603002	313606577	-	313604789	1.0	1.0	rearrangement:Chr1B_block5
gene:TraesCS1B02G171500	Chr1B	305169562	305173976	-	305171769	Chr1B	313585918	313590332	+	313588125	1.0	0.999	rearrangement:Chr1B_block5
