gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity	segment
gene:TraesCS3A03G0000100	Chr3A	26146	30400	+	28273	Chr3A	1107809	1111542	+	1109675	0.999	0.975	collinear
gene:TraesCS3A03G0000200	Chr3A	53676	57493	-	55584	Chr3A	1144153	1147913	-	1146033	0.964	0.917	collinear
gene:TraesCS3A03G0002600	Chr3A	730535	733253	-	731894	Chr3A	1282037	1284786	-	1283411	1.0	0.958	collinear
gene:TraesCS3A03G0002700	Chr3A	747197	753779	+	750488	Chr3A	1331366	1337360	+	1334363	0.954	0.905	collinear
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	1451263	1454335	+	1452799	1.0	0.991	collinear
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	1533342	1536628	+	1534985	1.0	0.996	collinear
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	1608534	1610503	+	1609518	1.0	0.984	collinear
gene:TraesCS3A03G0004600	Chr3A	1117240	1120441	+	1118840	Chr3A	1697614	1700813	+	1699213	1.0	0.989	collinear
gene:TraesCS3A03G0004800	Chr3A	1608981	1609485	+	1609233	Chr3A	2300256	2300762	+	2300509	0.998	0.97	collinear
gene:TraesCS3A03G0004900	Chr3A	1614046	1614462	+	1614254	Chr3A	2306200	2306616	+	2306408	1.0	0.995	collinear
gene:TraesCS3A03G0005300	Chr3A	1686660	1687091	+	1686875	Chr3A	2208909	2209332	+	2209120	0.981	0.962	collinear
gene:TraesCS3A03G0006800	Chr3A	1872412	1874269	+	1873340	Chr3A	2523227	2525084	+	2524155	1.0	0.979	collinear
gene:TraesCS3A03G0007300	Chr3A	1881511	1881988	+	1881749	Chr3A	2542329	2542806	+	2542567	1.0	0.989	collinear
gene:TraesCS3A03G0007800	Chr3A	1975660	1976366	+	1976013	Chr3A	2559451	2560157	+	2559804	1.0	0.981	collinear
gene:TraesCS3A03G0007900	Chr3A	1986188	1988425	-	1987306	Chr3A	2575385	2577640	-	2576512	0.997	0.938	collinear
gene:TraesCS3A03G0008400	Chr3A	2008922	2012376	+	2010649	Chr3A	2590395	2593834	+	2592114	1.0	0.996	collinear
gene:TraesCS3A03G0008500	Chr3A	2013683	2017892	-	2015787	Chr3A	2595021	2599378	-	2597199	0.986	0.913	collinear
gene:TraesCS3A03G0013800	Chr3A	6965742	6973314	-	6969528	Chr3A	2701022	2705462	-	2703242	0.934	0.912	collinear
gene:TraesCS3A03G0014100	Chr3A	7195252	7195989	-	7195620	Chr3A	2823597	2824322	-	2823959	0.983	0.967	collinear
gene:TraesCS3A03G0014500	Chr3A	7235692	7236321	+	7236006	Chr3A	2840638	2841267	+	2840952	1.0	0.982	collinear
gene:TraesCS3A03G0014600	Chr3A	7271218	7272481	-	7271849	Chr3A	2855553	2856815	-	2856184	0.999	0.996	collinear
gene:TraesCS3A03G0014700	Chr3A	7285296	7286069	-	7285682	Chr3A	2878074	2878847	-	2878460	1.0	0.998	collinear
gene:TraesCS3A03G0014800	Chr3A	7323919	7329828	+	7326873	Chr3A	2915963	2921875	+	2918919	1.0	0.995	collinear
gene:TraesCS3A03G0015200	Chr3A	7342556	7344335	-	7343445	Chr3A	2934603	2936382	-	2935492	1.0	0.999	collinear
gene:TraesCS3A03G0015300	Chr3A	7348215	7349429	-	7348822	Chr3A	2940262	2941476	-	2940869	1.0	1.0	collinear
gene:TraesCS3A03G0015600	Chr3A	7363585	7366969	+	7365277	Chr3A	2955652	2959047	+	2957349	1.0	1.0	collinear
gene:TraesCS3A03G0015800	Chr3A	7380064	7383852	-	7381958	Chr3A	2972144	2975928	-	2974036	0.997	0.991	collinear
gene:TraesCS3A03G0016000	Chr3A	7452849	7457127	-	7454988	Chr3A	3041055	3045429	-	3043242	0.996	0.949	collinear
gene:TraesCS3A03G0016300	Chr3A	7500062	7500565	-	7500313	Chr3A	3108054	3108557	-	3108305	1.0	0.998	collinear
gene:TraesCS3A03G0016400	Chr3A	7504661	7506864	-	7505762	Chr3A	3140345	3142548	-	3141446	1.0	1.0	collinear
gene:TraesCS3A03G0016700	Chr3A	7536839	7541137	-	7538988	Chr3A	3172546	3176844	-	3174695	1.0	1.0	collinear
gene:TraesCS3A03G0016800	Chr3A	7541942	7543943	-	7542942	Chr3A	3177649	3179650	-	3178649	1.0	1.0	collinear
gene:TraesCS3A03G0017000	Chr3A	7564464	7567367	-	7565915	Chr3A	3200172	3203075	-	3201623	1.0	1.0	collinear
gene:TraesCS3A03G0017200	Chr3A	7711376	7711747	+	7711561	Chr3A	3347124	3347495	+	3347309	1.0	1.0	collinear
gene:TraesCS3A03G0017400	Chr3A	7713418	7714814	+	7714116	Chr3A	3349166	3350562	+	3349864	1.0	1.0	collinear
gene:TraesCS3A03G0017500	Chr3A	7835763	7836658	+	7836210	Chr3A	3471573	3472468	+	3472020	1.0	1.0	collinear
gene:TraesCS3A03G0017600	Chr3A	7843174	7845911	-	7844542	Chr3A	3478998	3481736	-	3480367	1.0	1.0	collinear
gene:TraesCS3A03G0017800	Chr3A	7873298	7874889	+	7874093	Chr3A	3509102	3510693	+	3509897	1.0	1.0	collinear
gene:TraesCS3A03G0018000	Chr3A	7971289	7981899	-	7976594	Chr3A	3607159	3617771	-	3612465	1.0	0.999	collinear
gene:TraesCS3A03G0018100	Chr3A	8000243	8004061	+	8002152	Chr3A	3636113	3639931	+	3638022	1.0	0.998	collinear
gene:TraesCS3A03G0018500	Chr3A	8083909	8091399	+	8087654	Chr3A	3719835	3727325	+	3723580	1.0	0.999	collinear
gene:TraesCS3A03G0018600	Chr3A	8114927	8118282	+	8116604	Chr3A	3750397	3753752	+	3752074	1.0	0.998	collinear
gene:TraesCS3A03G0018900	Chr3A	8203442	8203990	-	8203716	Chr3A	3835878	3836426	-	3836152	1.0	1.0	collinear
gene:TraesCS3A03G0019100	Chr3A	8214105	8215239	+	8214672	Chr3A	3846542	3847676	+	3847109	1.0	1.0	collinear
gene:TraesCS3A03G0019200	Chr3A	8216747	8228758	-	8222752	Chr3A	3849184	3861195	-	3855189	1.0	0.999	collinear
gene:TraesCS3A03G0019300	Chr3A	8264742	8266092	-	8265417	Chr3A	3904233	3905583	-	3904908	1.0	1.0	collinear
gene:TraesCS3A03G0019400	Chr3A	8307059	8308734	+	8307896	Chr3A	3945046	3946721	+	3945883	1.0	1.0	collinear
gene:TraesCS3A03G0019500	Chr3A	8312029	8313781	+	8312905	Chr3A	3949674	3951426	+	3950550	1.0	1.0	collinear
gene:TraesCS3A03G0019700	Chr3A	8346895	8348759	+	8347827	Chr3A	3984489	3986353	+	3985421	1.0	1.0	collinear
gene:TraesCS3A03G0019800	Chr3A	8367335	8369021	-	8368178	Chr3A	4004932	4006618	-	4005775	1.0	1.0	collinear
gene:TraesCS3A03G0019900	Chr3A	8375625	8381694	-	8378659	Chr3A	4013226	4019295	-	4016260	1.0	1.0	collinear
gene:TraesCS3A03G0020000	Chr3A	8630226	8631203	+	8630714	Chr3A	4267894	4268871	+	4268382	1.0	0.998	collinear
gene:TraesCS3A03G0021100	Chr3A	8815764	8817443	-	8816603	Chr3A	4297809	4299488	-	4298648	1.0	1.0	collinear
gene:TraesCS3A03G0021300	Chr3A	8871318	8877341	-	8874329	Chr3A	4353348	4359371	-	4356359	1.0	1.0	collinear
gene:TraesCS3A03G0021400	Chr3A	8913508	8916672	+	8915090	Chr3A	4438704	4441868	+	4440286	1.0	1.0	collinear
gene:TraesCS3A03G0021500	Chr3A	8936932	8941473	+	8939202	Chr3A	4462134	4466677	+	4464405	0.998	0.998	collinear
gene:TraesCS3A03G0021700	Chr3A	8941709	8945367	-	8943538	Chr3A	4466913	4470571	-	4468742	1.0	1.0	collinear
