cs_chr	CS_IAAS_tgt_chr	n_anchors	CS_IAAS_mean_anchor_gap_Mb	CS_IAAS_interp_type	n_segments	CS_IAAS_mean_anchor_fraction
Chr1A	Chr1A	4333	0.138	linear	1	0.993
Chr1B	Chr1B	4636	0.149	linear	1	0.984
Chr1D	Chr1D	4417	0.113	linear	1	0.985
Chr2A	Chr2A	5723	0.137	linear	1	0.979
Chr2B	Chr2B	6103	0.133	linear	1	0.977
Chr2D	Chr2D	5854	0.112	pchip	1	0.991
Chr3A	Chr3A	5209	0.145	linear	1	0.996
Chr3B	Chr3B	5854	0.146	linear	1	0.977
Chr3D	Chr3D	4791	0.125	linear	1	0.963
Chr4A	Chr4A	4713	0.16	linear	1	0.888
Chr4B	Chr4B	3852	0.175	linear	1	0.993
Chr4D	Chr4D	3564	0.144	pchip	1	0.993
Chr5A	Chr5A	5425	0.132	linear	1	0.996
Chr5B	Chr5B	5520	0.129	linear	1	0.988
Chr5D	Chr5D	5500	0.104	linear	1	0.989
Chr6A	Chr6A	4124	0.151	pchip	1	0.995
Chr6B	Chr6B	4595	0.159	linear	1	0.988
Chr6D	Chr6D	3998	0.124	linear	1	0.998
Chr7A	Chr7A	5518	0.135	linear	1	0.993
Chr7B	Chr7B	4772	0.16	linear	1	0.943
Chr7D	Chr7D	5177	0.122	linear	1	0.977
