gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	Fielder_tgt_strand	Fielder_tgt_midpoint	Fielder_coverage	Fielder_identity	segment
gene:TraesCS3D02G003500	Chr3D	1602462	1602965	-	1602713	Chr3D	7555375	7555887	+	7555631	1.0	0.939	rearrangement:Chr3D_block1
gene:TraesCS3D02G003600	Chr3D	1606509	1608807	-	1607658	Chr3D	7549863	7552167	+	7551015	0.988	0.947	rearrangement:Chr3D_block1
gene:TraesCS3D02G003700	Chr3D	1634040	1636188	-	1635114	Chr3D	7532701	7534846	+	7533773	0.998	0.956	rearrangement:Chr3D_block1
gene:TraesCS3D02G003800	Chr3D	1638722	1640647	-	1639684	Chr3D	7528247	7530110	+	7529178	0.937	0.912	rearrangement:Chr3D_block1
gene:TraesCS3D02G003900	Chr3D	1655945	1659437	+	1657691	Chr3D	7465996	7469539	-	7467767	0.988	0.907	rearrangement:Chr3D_block1
gene:TraesCS3D02G004100	Chr3D	1733084	1736612	-	1734848	Chr3D	7454143	7457941	+	7456042	0.97	0.922	rearrangement:Chr3D_block1
gene:TraesCS3D02G004300	Chr3D	1748596	1750441	+	1749518	Chr3D	7443723	7445563	-	7444643	0.991	0.936	rearrangement:Chr3D_block1
gene:TraesCS3D02G004800	Chr3D	1882953	1883660	+	1883306	Chr3D	6951555	6952261	-	6951908	0.998	0.956	rearrangement:Chr3D_block1
gene:TraesCS3D02G004900	Chr3D	1889301	1890762	+	1890031	Chr3D	6945140	6946601	-	6945870	0.998	0.979	rearrangement:Chr3D_block1
gene:TraesCS3D02G010700	Chr3D	3986954	3990965	-	3988959	Chr3D	9058570	9061955	-	9060262	0.979	0.915	rearrangement:Chr3D_block1
gene:TraesCS3D02G010900	Chr3D	4012104	4013109	+	4012606	Chr3D	9079584	9080590	+	9080087	0.996	0.965	rearrangement:Chr3D_block1
gene:TraesCS3D02G011100	Chr3D	4045939	4046830	+	4046384	Chr3D	9085749	9086639	+	9086194	0.998	0.922	rearrangement:Chr3D_block1
gene:TraesCS3D02G011200	Chr3D	4066322	4069230	-	4067776	Chr3D	9104987	9107887	-	9106437	0.991	0.936	rearrangement:Chr3D_block1
gene:TraesCS3D02G012000	Chr3D	4179986	4182963	-	4181474	Chr3D	9267882	9270906	-	9269394	1.0	0.952	rearrangement:Chr3D_block1
gene:TraesCS3D02G013100	Chr3D	4504881	4506056	+	4505468	Chr3D	9682333	9683488	-	9682910	0.983	0.906	rearrangement:Chr3D_block1
gene:TraesCS3D02G013500	Chr3D	4866164	4866673	-	4866418	Chr3D	9756499	9757008	-	9756753	1.0	0.901	rearrangement:Chr3D_block1
gene:TraesCS3D02G013700	Chr3D	4956998	4957663	-	4957330	Chr3D	10278400	10279064	-	10278732	1.0	0.958	rearrangement:Chr3D_block1
gene:TraesCS3D02G015200	Chr3D	5372968	5376568	-	5374768	Chr3D	10743077	10746678	+	10744877	1.0	0.949	rearrangement:Chr3D_block1
gene:TraesCS3D02G015300	Chr3D	5406391	5410203	-	5408297	Chr3D	10934713	10938462	-	10936587	0.988	0.906	rearrangement:Chr3D_block1
gene:TraesCS3D02G015400	Chr3D	5411900	5412617	+	5412258	Chr3D	11086643	11087362	+	11087002	1.0	0.957	rearrangement:Chr3D_block1
gene:TraesCS3D02G016600	Chr3D	5802877	5804191	+	5803534	Chr3D	11168191	11169506	+	11168848	1.0	0.998	rearrangement:Chr3D_block1
gene:TraesCS3D02G016700	Chr3D	5810253	5811188	+	5810720	Chr3D	11175189	11176124	+	11175656	1.0	1.0	rearrangement:Chr3D_block1
gene:TraesCS3D02G016800	Chr3D	5812552	5813779	-	5813165	Chr3D	11177488	11178715	-	11178101	1.0	0.998	rearrangement:Chr3D_block1
