cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr4D	410678	140903099	Chr4D	278704	142873694	1427	0.9995711282410651
Chr4D	143579930	155648423	Chr4D	145535248	157519396	16	0.9999375
Chr4D	163412513	183387226	Chr4D	165277432	185791697	26	1.0
Chr4D	188710899	192736636	Chr4D	191707324	195701669	6	1.0
Chr4D	195017915	198583229	Chr4D	197964556	201501568	7	1.0
Chr4D	201443437	212157624	Chr4D	204810476	216045411	28	0.9995357142857142
Chr4D	214312396	228145178	Chr4D	218183544	231953949	23	1.0
Chr4D	230482531	238626311	Chr4D	234116253	242429583	11	0.9996363636363637
Chr4D	240933419	248933627	Chr4D	244719816	253560404	19	1.0
Chr4D	251524682	256552996	Chr4D	256130613	261125088	7	0.9951428571428572
Chr4D	258897131	261254698	Chr4D	263448402	265832544	6	1.0
Chr4D	263946972	268074619	Chr4D	268511127	272600104	7	1.0
Chr4D	270654719	329311457	Chr4D	275173372	333977936	243	0.9994279835390946
Chr4D	331638064	375735889	Chr4D	336282651	380348345	303	0.9997458745874588
Chr4D	377828182	410407878	Chr4D	382473459	416810546	238	0.9996848739495798
Chr4D	412715801	509853899	Chr4D	419595411	518917937	1165	0.9995021459227469
