gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity
gene:TraesCS1D03G0000100	Chr1D	20638	21773	+	21205	Chr1D	110226	111361	+	110793	1.0	1.0
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	130333	132171	+	131252	1.0	1.0
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	132539	136460	-	134499	1.0	0.999
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	136904	140404	-	138654	1.0	0.999
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	143383	150548	+	146965	1.0	1.0
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	157191	158980	+	158085	1.0	1.0
gene:TraesCS1D03G0001000	Chr1D	62405	66535	+	64470	Chr1D	163717	167847	+	165782	1.0	1.0
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	168261	171283	-	169772	1.0	1.0
gene:TraesCS1D03G0001300	Chr1D	73080	76040	-	74560	Chr1D	174392	177351	-	175871	1.0	1.0
gene:TraesCS1D03G0001400	Chr1D	78627	81289	-	79958	Chr1D	179938	182600	-	181269	1.0	1.0
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	194214	200190	-	197202	1.0	1.0
gene:TraesCS1D03G0001600	Chr1D	117511	120788	+	119149	Chr1D	218887	222164	+	220525	1.0	1.0
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	272894	284669	-	278781	1.0	1.0
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	487864	500352	-	494108	1.0	0.999
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	510509	512566	-	511537	1.0	0.999
gene:TraesCS1D03G0002600	Chr1D	418798	422767	-	420782	Chr1D	519730	523699	-	521714	1.0	1.0
gene:TraesCS1D03G0002800	Chr1D	432621	439371	+	435996	Chr1D	533553	540305	+	536929	1.0	0.999
gene:TraesCS1D03G0002900	Chr1D	444052	448470	-	446261	Chr1D	544986	549404	-	547195	1.0	1.0
gene:TraesCS1D03G0003000	Chr1D	454345	457932	+	456138	Chr1D	555279	558873	+	557076	1.0	1.0
gene:TraesCS1D03G0003200	Chr1D	465036	466154	-	465595	Chr1D	565977	567095	-	566536	1.0	0.997
gene:TraesCS1D03G0003300	Chr1D	588197	590502	-	589349	Chr1D	748430	750673	-	749551	0.993	0.978
gene:TraesCS1D03G0003500	Chr1D	670994	672152	+	671573	Chr1D	820631	821791	+	821211	1.0	0.993
gene:TraesCS1D03G0004700	Chr1D	885654	889258	-	887456	Chr1D	1050488	1054082	-	1052285	0.996	0.986
gene:TraesCS1D03G0008200	Chr1D	2648853	2656401	+	2652627	Chr1D	1940929	1948477	+	1944703	1.0	0.999
gene:TraesCS1D03G0008400	Chr1D	2658914	2664872	-	2661893	Chr1D	1950990	1956948	-	1953969	1.0	1.0
gene:TraesCS1D03G0008500	Chr1D	2679004	2685472	+	2682238	Chr1D	1970314	1976782	+	1973548	1.0	1.0
gene:TraesCS1D03G0008600	Chr1D	2718545	2721537	+	2720041	Chr1D	2009646	2012639	+	2011142	1.0	0.999
gene:TraesCS1D03G0008800	Chr1D	2722891	2723820	-	2723355	Chr1D	2013993	2014913	-	2014453	0.985	0.985
gene:TraesCS1D03G0009100	Chr1D	2796340	2799441	-	2797890	Chr1D	2087507	2090608	-	2089057	1.0	1.0
gene:TraesCS1D03G0009200	Chr1D	2803813	2805476	+	2804644	Chr1D	2094614	2096277	+	2095445	1.0	1.0
gene:TraesCS1D03G0009300	Chr1D	2808366	2809991	-	2809178	Chr1D	2099167	2100720	-	2099943	0.953	0.953
gene:TraesCS1D03G0009400	Chr1D	2818068	2821589	-	2819828	Chr1D	2106822	2110343	-	2108582	1.0	0.99
gene:TraesCS1D03G0009500	Chr1D	2850565	2852033	-	2851299	Chr1D	2200754	2202222	-	2201488	1.0	0.997
gene:TraesCS1D03G0009900	Chr1D	2927907	2928881	+	2928394	Chr1D	2254735	2255718	+	2255226	1.0	0.987
gene:TraesCS1D03G0010000	Chr1D	2945825	2946808	+	2946316	Chr1D	2272402	2273385	+	2272893	1.0	0.994
gene:TraesCS1D03G0010400	Chr1D	3008174	3009061	+	3008617	Chr1D	2338887	2339783	+	2339335	1.0	0.988
gene:TraesCS1D03G0010500	Chr1D	3017359	3018255	+	3017807	Chr1D	2347823	2348719	+	2348271	1.0	0.994
gene:TraesCS1D03G0010600	Chr1D	3035516	3036070	+	3035793	Chr1D	2362120	2362674	+	2362397	1.0	0.998
gene:TraesCS1D03G0010900	Chr1D	3049234	3052252	+	3050743	Chr1D	2376224	2379461	+	2377842	1.0	0.992
gene:TraesCS1D03G0011000	Chr1D	3051473	3051794	-	3051633	Chr1D	2378680	2379001	-	2378840	1.0	0.995
gene:TraesCS1D03G0011200	Chr1D	3058505	3059110	+	3058807	Chr1D	2385441	2386046	+	2385743	1.0	0.998
gene:TraesCS1D03G0011900	Chr1D	3146520	3146738	+	3146629	Chr1D	2554691	2554909	+	2554800	1.0	0.995
gene:TraesCS1D03G0012000	Chr1D	3156660	3157255	+	3156957	Chr1D	2629520	2630132	+	2629826	0.996	0.944
gene:TraesCS1D03G0012300	Chr1D	3168296	3169363	-	3168829	Chr1D	2639714	2640781	-	2640247	1.0	0.992
gene:TraesCS1D03G0012400	Chr1D	3168296	3169363	-	3168829	Chr1D	2639714	2640781	-	2640247	1.0	0.993
gene:TraesCS1D03G0012700	Chr1D	3317114	3318407	+	3317760	Chr1D	3767484	3768768	+	3768126	0.996	0.96
gene:TraesCS1D03G0013000	Chr1D	3377746	3382876	+	3380311	Chr1D	2722239	2727369	+	2724804	1.0	0.993
gene:TraesCS1D03G0013100	Chr1D	3429890	3431151	+	3430520	Chr1D	2765173	2766454	+	2765813	1.0	0.977
gene:TraesCS1D03G0014100	Chr1D	3654017	3654448	+	3654232	Chr1D	2997826	2998257	+	2998041	1.0	0.965
gene:TraesCS1D03G0014200	Chr1D	3667788	3668400	+	3668094	Chr1D	3011297	3011909	+	3011603	1.0	0.996
gene:TraesCS1D03G0014300	Chr1D	3673182	3675464	-	3674323	Chr1D	3016972	3019250	-	3018111	1.0	0.995
gene:TraesCS1D03G0014700	Chr1D	3726798	3728037	+	3727417	Chr1D	3070421	3071660	+	3071040	1.0	1.0
gene:TraesCS1D03G0014900	Chr1D	3787854	3789079	-	3788466	Chr1D	3130700	3131925	-	3131312	1.0	1.0
gene:TraesCS1D03G0015100	Chr1D	3821069	3822598	+	3821833	Chr1D	3163223	3164752	+	3163987	1.0	1.0
gene:TraesCS1D03G0015200	Chr1D	3916114	3917013	-	3916563	Chr1D	4808152	4809051	+	4808601	1.0	1.0
gene:TraesCS1D03G0015300	Chr1D	3943302	3944607	-	3943954	Chr1D	4781132	4782437	+	4781784	1.0	1.0
gene:TraesCS1D03G0015500	Chr1D	4008439	4008696	+	4008567	Chr1D	4718044	4718301	-	4718172	1.0	1.0
