cs_chr	CS_CAU_tgt_chr	n_anchors	CS_CAU_mean_anchor_gap_Mb	CS_CAU_interp_type	n_segments	CS_CAU_mean_anchor_fraction
Chr1A	Chr1A	4326	0.138	pchip	1	0.99
Chr1B	Chr1B	4606	0.152	linear	1	0.96
Chr1D	Chr1D	4426	0.113	linear	1	0.984
Chr2A	Chr2A	5785	0.136	linear	1	0.983
Chr2B	Chr2B	6087	0.134	linear	1	0.98
Chr2D	Chr2D	5847	0.112	linear	1	0.991
Chr3A	Chr3A	5200	0.145	linear	1	0.994
Chr3B	Chr3B	5876	0.145	linear	1	0.987
Chr3D	Chr3D	4786	0.125	linear	1	0.962
Chr4A	Chr4A	4284	0.176	linear	1	0.826
Chr4B	Chr4B	3846	0.175	linear	1	0.992
Chr4D	Chr4D	3559	0.145	pchip	1	0.992
Chr5A	Chr5A	5415	0.131	linear	1	0.994
Chr5B	Chr5B	5468	0.131	linear	1	0.956
Chr5D	Chr5D	5526	0.103	linear	1	0.991
Chr6A	Chr6A	4118	0.151	pchip	1	0.992
Chr6B	Chr6B	4468	0.164	linear	1	0.889
Chr6D	Chr6D	3962	0.125	linear	1	0.992
Chr7A	Chr7A	5521	0.135	linear	1	0.992
Chr7B	Chr7B	4773	0.16	linear	1	0.942
Chr7D	Chr7D	5372	0.12	linear	1	0.991
