gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	Fielder_tgt_strand	Fielder_tgt_midpoint	Fielder_coverage	Fielder_identity	segment
gene:TraesCS2A02G229400	Chr2A	258345594	258361280	-	258353437	Chr2A	257747148	257762835	+	257754991	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A02G229500	Chr2A	260548158	260549304	+	260548731	Chr2A	255439178	255440324	-	255439751	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G229600	Chr2A	261172024	261184591	-	261178307	Chr2A	254776589	254788934	+	254782761	0.999	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A02G229800	Chr2A	262039521	262040567	-	262040044	Chr2A	253905011	253906057	+	253905534	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G229900	Chr2A	262117287	262118772	-	262118029	Chr2A	253827260	253828745	+	253828002	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G230000	Chr2A	262160820	262170997	-	262165908	Chr2A	253771503	253786759	+	253779131	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G230100	Chr2A	262573269	262577316	+	262575292	Chr2A	253346514	253350561	-	253348537	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A02G230200	Chr2A	262577875	262581256	-	262579565	Chr2A	253342574	253345955	+	253344264	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G230400	Chr2A	265273670	265275471	-	265274570	Chr2A	252145306	252147107	+	252146206	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G230500	Chr2A	265332236	265332517	+	265332376	Chr2A	252100646	252100927	-	252100786	1.0	0.996	rearrangement:Chr2A_block1
gene:TraesCS2A02G230600	Chr2A	266906809	266907210	-	266907009	Chr2A	250390970	250391371	+	250391170	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A02G230700	Chr2A	267884761	267896324	-	267890542	Chr2A	249397457	249409037	+	249403247	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A02G230800	Chr2A	267981192	267982130	+	267981661	Chr2A	249303593	249304531	-	249304062	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G230900	Chr2A	268558751	268560646	-	268559698	Chr2A	248714097	248715992	+	248715044	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A02G231000	Chr2A	268985970	268995536	+	268990753	Chr2A	248283831	248293537	-	248288684	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A02G231100	Chr2A	269267246	269268081	-	269267663	Chr2A	248025612	248026447	+	248026029	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G231200	Chr2A	270290708	270299576	-	270295142	Chr2A	246976588	246985454	+	246981021	1.0	0.992	rearrangement:Chr2A_block1
gene:TraesCS2A02G231300	Chr2A	270464249	270470226	+	270467237	Chr2A	246797128	246803026	-	246800077	0.929	0.927	rearrangement:Chr2A_block1
gene:TraesCS2A02G231400	Chr2A	271879174	271881476	-	271880325	Chr2A	245019110	245021412	+	245020261	1.0	0.992	rearrangement:Chr2A_block1
gene:TraesCS2A02G231500	Chr2A	271893131	271909842	+	271901486	Chr2A	244991441	245007905	-	244999673	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G231600	Chr2A	271909726	271912201	-	271910963	Chr2A	244989062	244991557	+	244990309	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A02G231700	Chr2A	272926478	272929988	-	272928233	Chr2A	243896408	243899913	+	243898160	1.0	0.991	rearrangement:Chr2A_block1
gene:TraesCS2A02G231800	Chr2A	273047719	273049603	+	273048661	Chr2A	243764592	243766476	-	243765534	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G231900	Chr2A	273287626	273302359	-	273294992	Chr2A	243493547	243508120	+	243500833	0.996	0.995	rearrangement:Chr2A_block1
gene:TraesCS2A02G232000	Chr2A	275352218	275352580	+	275352399	Chr2A	241339155	241339517	-	241339336	1.0	0.991	rearrangement:Chr2A_block1
gene:TraesCS2A02G232100	Chr2A	275352365	275352616	-	275352490	Chr2A	241339119	241339370	+	241339244	1.0	0.996	rearrangement:Chr2A_block1
gene:TraesCS2A02G232200	Chr2A	275928473	275935089	-	275931781	Chr2A	240772664	240779280	+	240775972	1.0	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A02G232300	Chr2A	276273181	276273787	+	276273484	Chr2A	240400214	240400820	-	240400517	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A02G232400	Chr2A	276276336	276279155	-	276277745	Chr2A	240395135	240397958	+	240396546	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A02G232500	Chr2A	276441802	276442053	+	276441927	Chr2A	240230278	240230529	-	240230403	1.0	0.996	rearrangement:Chr2A_block1
gene:TraesCS2A02G232600	Chr2A	276442206	276442322	+	276442264	Chr2A	240230008	240230124	-	240230066	1.0	0.991	rearrangement:Chr2A_block1
gene:TraesCS2A02G232700	Chr2A	276858833	276859271	+	276859052	Chr2A	239807367	239807805	-	239807586	1.0	0.99	rearrangement:Chr2A_block1
gene:TraesCS2A02G232800	Chr2A	277136651	277138793	-	277137722	Chr2A	239533516	239535658	+	239534587	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G232900	Chr2A	277598060	277604074	+	277601067	Chr2A	239073951	239079969	-	239076960	1.0	0.998	rearrangement:Chr2A_block1
