gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity
gene:TraesCS4D03G0000100	Chr4D	409970	411319	-	410644	Chr4D	250550	251899	-	251224	1.0	1.0
gene:TraesCS4D03G0000200	Chr4D	459723	463379	+	461551	Chr4D	300307	303963	+	302135	1.0	1.0
gene:TraesCS4D03G0000300	Chr4D	463559	465496	-	464527	Chr4D	304143	306080	-	305111	1.0	1.0
gene:TraesCS4D03G0000500	Chr4D	465900	467545	-	466722	Chr4D	306484	308129	-	307306	1.0	1.0
gene:TraesCS4D03G0000700	Chr4D	475371	480193	+	477782	Chr4D	315955	320445	+	318200	1.0	1.0
gene:TraesCS4D03G0000800	Chr4D	536039	548069	+	542054	Chr4D	376079	388109	+	382094	1.0	1.0
gene:TraesCS4D03G0000900	Chr4D	603219	607023	-	605121	Chr4D	443286	447090	-	445188	1.0	1.0
gene:TraesCS4D03G0001000	Chr4D	607335	608738	+	608036	Chr4D	447402	448805	+	448103	1.0	1.0
gene:TraesCS4D03G0001200	Chr4D	610012	615059	-	612535	Chr4D	450079	455126	-	452602	1.0	1.0
gene:TraesCS4D03G0001300	Chr4D	624082	627372	+	625727	Chr4D	464156	467446	+	465801	1.0	1.0
gene:TraesCS4D03G0001400	Chr4D	658413	659236	+	658824	Chr4D	498112	498935	+	498523	1.0	1.0
gene:TraesCS4D03G0001700	Chr4D	734129	734515	+	734322	Chr4D	572569	572955	+	572762	1.0	1.0
gene:TraesCS4D03G0001800	Chr4D	757227	759482	-	758354	Chr4D	594687	596942	-	595814	1.0	1.0
gene:TraesCS4D03G0002200	Chr4D	1179628	1183031	+	1181329	Chr4D	1018371	1021774	+	1020072	1.0	1.0
gene:TraesCS4D03G0002300	Chr4D	1192267	1194439	+	1193353	Chr4D	1031011	1033183	+	1032097	1.0	1.0
gene:TraesCS4D03G0002500	Chr4D	1196998	1198699	-	1197848	Chr4D	1035742	1037443	-	1036592	1.0	1.0
gene:TraesCS4D03G0002600	Chr4D	1200365	1201407	+	1200886	Chr4D	1039109	1040151	+	1039630	1.0	1.0
gene:TraesCS4D03G0002700	Chr4D	1224901	1226574	+	1225737	Chr4D	1063659	1065332	+	1064495	1.0	1.0
gene:TraesCS4D03G0002800	Chr4D	1233656	1234699	+	1234177	Chr4D	1072416	1073459	+	1072937	1.0	1.0
gene:TraesCS4D03G0002900	Chr4D	1235849	1238078	+	1236963	Chr4D	1074609	1076838	+	1075723	1.0	1.0
