assembly	cs_chr	Jagger_tgt_chr	n_anchors	Jagger_mean_anchor_gap_Mb	Jagger_interp_type	n_segments	Jagger_mean_anchor_fraction	Lancer_tgt_chr	Lancer_mean_anchor_gap_Mb	Lancer_interp_type	Lancer_mean_anchor_fraction	ArinaLrFor_tgt_chr	ArinaLrFor_mean_anchor_gap_Mb	ArinaLrFor_interp_type	ArinaLrFor_mean_anchor_fraction	Stanley_tgt_chr	Stanley_mean_anchor_gap_Mb	Stanley_interp_type	Stanley_mean_anchor_fraction	Spelt_tgt_chr	Spelt_mean_anchor_gap_Mb	Spelt_interp_type	Spelt_mean_anchor_fraction	Mace_tgt_chr	Mace_mean_anchor_gap_Mb	Mace_interp_type	Mace_mean_anchor_fraction	SY_Mattis_tgt_chr	SY_Mattis_mean_anchor_gap_Mb	SY_Mattis_interp_type	SY_Mattis_mean_anchor_fraction	Julius_tgt_chr	Julius_mean_anchor_gap_Mb	Julius_interp_type	Julius_mean_anchor_fraction	Landmark_tgt_chr	Landmark_mean_anchor_gap_Mb	Landmark_interp_type	Landmark_mean_anchor_fraction	Norin61_tgt_chr	Norin61_mean_anchor_gap_Mb	Norin61_interp_type	Norin61_mean_anchor_fraction	Aikang58_tgt_chr	Aikang58_mean_anchor_gap_Mb	Aikang58_interp_type	Aikang58_mean_anchor_fraction	Chuanmai104_tgt_chr	Chuanmai104_mean_anchor_gap_Mb	Chuanmai104_interp_type	Chuanmai104_mean_anchor_fraction	CS_IAAS_tgt_chr	CS_IAAS_mean_anchor_gap_Mb	CS_IAAS_interp_type	CS_IAAS_mean_anchor_fraction	CS_CAU_tgt_chr	CS_CAU_mean_anchor_gap_Mb	CS_CAU_interp_type	CS_CAU_mean_anchor_fraction	Sumai3_tgt_chr	Sumai3_mean_anchor_gap_Mb	Sumai3_interp_type	Sumai3_mean_anchor_fraction	JIN50_tgt_chr	JIN50_mean_anchor_gap_Mb	JIN50_interp_type	JIN50_mean_anchor_fraction	MOV_tgt_chr	MOV_mean_anchor_gap_Mb	MOV_interp_type	MOV_mean_anchor_fraction	CS_v1_tgt_chr	CS_v1_mean_anchor_gap_Mb	CS_v1_interp_type	CS_v1_mean_anchor_fraction	Fielder_tgt_chr	Fielder_mean_anchor_gap_Mb	Fielder_interp_type	Fielder_mean_anchor_fraction	Kariega_tgt_chr	Kariega_mean_anchor_gap_Mb	Kariega_interp_type	Kariega_mean_anchor_fraction	Attraktion_tgt_chr	Attraktion_mean_anchor_gap_Mb	Attraktion_interp_type	Attraktion_mean_anchor_fraction	Renan_v2_tgt_chr	Renan_v2_mean_anchor_gap_Mb	Renan_v2_interp_type	Renan_v2_mean_anchor_fraction	Paragon_v3_tgt_chr	Paragon_v3_mean_anchor_gap_Mb	Paragon_v3_interp_type	Paragon_v3_mean_anchor_fraction	Cadenza_v2_tgt_chr	Cadenza_v2_mean_anchor_gap_Mb	Cadenza_v2_interp_type	Cadenza_v2_mean_anchor_fraction
Jagger	Chr1A	Chr1A	4021	0.149	linear	1	0.931																																																																																												
Jagger	Chr1B	Chr1B	4157	0.168	linear	1	0.907																																																																																												
Jagger	Chr1D	Chr1D	4150	0.12	linear	1	0.943																																																																																												
Jagger	Chr2A	Chr2A	4924	0.159	linear	1	0.908																																																																																												
Jagger	Chr2B	Chr2B	5237	0.155	linear	1	0.883																																																																																												
Jagger	Chr2D	Chr2D	5255	0.125	linear	1	0.927																																																																																												
Jagger	Chr3A	Chr3A	4894	0.154	linear	1	0.924																																																																																												
Jagger	Chr3B	Chr3B	4492	0.189	linear	1	0.718																																																																																												
Jagger	Chr3D	Chr3D	4980	0.124	linear	1	0.937																																																																																												
Jagger	Chr4A	Chr4A	3948	0.191	linear	1	0.776																																																																																												
Jagger	Chr4B	Chr4B	3640	0.185	linear	1	0.94																																																																																												
Jagger	Chr4D	Chr4D	3419	0.149	linear	1	0.957																																																																																												
Jagger	Chr5A	Chr5A	5071	0.141	linear	1	0.925																																																																																												
Jagger	Chr5B	Chr5B	4998	0.143	linear	1	0.874																																																																																												
Jagger	Chr5D	Chr5D	5127	0.111	linear	1	0.915																																																																																												
Jagger	Chr6A	Chr6A	3566	0.175	linear	1	0.913																																																																																												
Jagger	Chr6B	Chr6B	3739	0.195	linear	1	0.769																																																																																												
Jagger	Chr6D	Chr6D	3589	0.138	linear	1	0.909																																																																																												
Jagger	Chr7A	Chr7A	4661	0.158	linear	1	0.894																																																																																												
Jagger	Chr7B	Chr7B	4225	0.179	linear	1	0.844																																																																																												
Jagger	Chr7D	Chr7D	5207	0.123	linear	1	0.966																																																																																												
Lancer	Chr1A		3905			1		Chr1A	0.153	linear	0.934																																																																																								
Lancer	Chr1B		4250			1		Chr1B	0.165	linear	0.915																																																																																								
Lancer	Chr1D		4283			1		Chr1D	0.116	linear	0.962																																																																																								
Lancer	Chr2A		5226			1		Chr2A	0.149	linear	0.872																																																																																								
Lancer	Chr2B		4516			1		Chr2B	0.18	linear	0.732																																																																																								
Lancer	Chr2D		5378			1		Chr2D	0.119	linear	0.949																																																																																								
Lancer	Chr3A		4905			1		Chr3A	0.153	linear	0.959																																																																																								
Lancer	Chr3B		5147			1		Chr3B	0.164	linear	0.899																																																																																								
Lancer	Chr3D		4847			1		Chr3D	0.124	linear	0.951																																																																																								
Lancer	Chr4A		3607			1		Chr4A	0.209	linear	0.751																																																																																								
Lancer	Chr4B		3561			1		Chr4B	0.189	linear	0.798																																																																																								
Lancer	Chr4D		3428			1		Chr4D	0.147	linear	0.964																																																																																								
Lancer	Chr5A		5112			1		Chr5A	0.139	linear	0.937																																																																																								
Lancer	Chr5B		5123			1		Chr5B	0.14	linear	0.897																																																																																								
Lancer	Chr5D		5395			1		Chr5D	0.106	linear	0.974																																																																																								
Lancer	Chr6A		3809			1		Chr6A	0.163	linear	0.961																																																																																								
Lancer	Chr6B		3652			1		Chr6B	0.199	linear	0.748																																																																																								
