cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr3A	28273	140281429	Chr3A	969230	138010061	1375	0.9954254545454546
Chr3A	142385461	192745740	Chr3A	140108959	189992951	217	0.9984976958525346
Chr3A	195861474	263087799	Chr3A	193096552	260796716	205	0.999380487804878
Chr3A	270762150	278734659	Chr3A	268384436	276378062	12	0.9976666666666668
Chr3A	280899243	284859700	Chr3A	278545708	282453206	6	0.9996666666666667
Chr3A	286968946	294756278	Chr3A	284578007	292326925	7	0.9998571428571428
Chr3A	300173801	305236714	Chr3A	298407521	303426611	6	0.9991666666666666
Chr3A	307569651	328087198	Chr3A	305766020	326195357	26	0.9995769230769231
Chr3A	331805909	349096037	Chr3A	333439862	350636040	30	0.9991
Chr3A	351562540	354510700	Chr3A	353035040	355968935	8	0.9995
Chr3A	357146906	360275758	Chr3A	358602578	361725132	6	0.9998333333333335
Chr3A	362401176	754027567	Chr3A	363830064	758405888	3082	0.9970266060999352
Chr3A	654053634	654971269	Chr3A	649922744	650918230	12	0.9895833333333334
