gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity	segment
gene:TraesCS4A02G147500	Chr4A	266933518	266961994	-	266947756	Chr4A	290616942	290644730	-	290630836	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G147600	Chr4A	270322769	270328154	-	270325461	Chr4A	296665045	296670430	+	296667737	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G147700	Chr4A	271792802	271804984	-	271798893	Chr4A	295363517	295375699	+	295369608	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G147800	Chr4A	273720870	273739646	+	273730258	Chr4A	300139580	300158356	+	300148968	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G147900	Chr4A	274733669	274772773	+	274753221	Chr4A	301120601	301159423	+	301140012	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G148000	Chr4A	275123404	275123718	-	275123561	Chr4A	301515661	301515975	-	301515818	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G148100	Chr4A	275496391	275497784	+	275497087	Chr4A	301882629	301884022	+	301883325	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G148200	Chr4A	276909772	276917630	+	276913701	Chr4A	303281331	303289189	+	303285260	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G148300	Chr4A	277888072	277890517	+	277889294	Chr4A	304246600	304249045	+	304247822	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G148400	Chr4A	279467861	279470964	+	279469412	Chr4A	305808057	305811160	+	305809608	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G148500	Chr4A	279471583	279472574	-	279472078	Chr4A	305811779	305812770	-	305812274	1.0	1.0	rearrangement:Chr4A_block2
