cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr7D	26382650	27244226	Chr7D	21646747	22511281	18	0.9998888888888889
Chr7D	210218	277735513	Chr7D	59380	279386709	2609	0.998189344576466
Chr7D	282874482	285683864	Chr7D	284521280	287359902	5	0.9865999999999999
Chr7D	287902401	307163278	Chr7D	289563958	311609727	41	0.9991707317073171
Chr7D	309504249	313709460	Chr7D	313941136	318119849	11	1.0
Chr7D	318812712	321972400	Chr7D	320287735	323418331	6	1.0
Chr7D	324339077	340299388	Chr7D	325774419	341807631	19	0.9995789473684211
Chr7D	342405820	637695014	Chr7D	343934941	640762326	2484	0.999074074074074
Chr7D	631685822	633055049	Chr7D	640819001	642172415	35	0.9994857142857143
Chr7D	638188034	638667898	Chr7D	635393438	635862027	15	0.9998666666666668
