cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr6A	1663668	5862495	Chr6A	7140635	12663744	72	0.9874027777777776
Chr6A	12421266	162912229	Chr6A	18221335	167912269	1252	0.9946964856230033
Chr6A	166503285	172174207	Chr6A	171453729	177104574	30	0.9994666666666667
Chr6A	174450789	233957452	Chr6A	179361964	238427905	206	0.999106796116505
Chr6A	241266065	242194840	Chr6A	245662600	246578904	3	1.0
Chr6A	248542355	252837117	Chr6A	252997236	257256857	8	1.0
Chr6A	254937051	261705155	Chr6A	259460048	266205832	21	0.9993333333333334
Chr6A	263891514	273262995	Chr6A	268374873	277876987	21	0.9984285714285713
Chr6A	276303162	290261504	Chr6A	281527774	297441293	20	0.9998000000000001
Chr6A	297918322	317154843	Chr6A	304013324	323060833	21	0.9997619047619049
Chr6A	321270304	324290097	Chr6A	327134017	330101298	8	0.9995
Chr6A	326393120	330049812	Chr6A	332183088	335831882	6	1.0
Chr6A	332183472	344185082	Chr6A	337955877	349876620	16	0.9955
Chr6A	346572929	346594380	Chr6A	352250533	352271984	3	1.0
Chr6A	351830716	353340072	Chr6A	357566003	359068174	4	0.999
Chr6A	355403353	526163009	Chr6A	361120324	530987149	861	0.9983321718931475
Chr6A	528356098	617928339	Chr6A	533156063	626256708	1117	0.9938675022381378
