cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr1A	55218	159522669	Chr1A	22835	159583120	1124	0.9947526690391458
Chr1A	161671479	177468995	Chr1A	161763098	177456377	30	0.9974000000000001
Chr1A	179530042	182122609	Chr1A	179565677	182161047	6	0.9996666666666667
Chr1A	184934985	193518233	Chr1A	184986650	193568652	12	0.9999166666666667
Chr1A	200578799	202086777	Chr1A	200752081	202232469	4	1.0
Chr1A	204319371	209358469	Chr1A	204468854	209506304	7	0.9998571428571429
Chr1A	213918065	410154980	Chr1A	213044236	409984302	904	0.9959568584070796
Chr1A	412459137	420515127	Chr1A	412395740	421061776	23	0.9934347826086956
Chr1A	423163477	570048969	Chr1A	422906085	570945755	1522	0.9945019710906701
Chr1A	573691652	593997588	Chr1A	572518821	595190493	231	0.9934891774891775
Chr1A	570136134	573637265	Chr1A	577400136	580905046	60	0.9941833333333333
Chr1A	584374267	584682179	Chr1A	588530261	588848836	8	0.995375
Chr1A	587769826	589501439	Chr1A	593388235	595053909	23	0.9936521739130433
