cs_chr	cs_start	cs_end	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	n_anchors	mean_identity
Chr5B	18593	81040995	Chr5B	1220823	85354787	585	0.9918991452991452
Chr5B	84789446	150623157	Chr5B	85652703	151859431	353	0.997815864022663
Chr5B	155174226	156551532	Chr5B	154620456	157119488	6	0.9985
Chr5B	158568371	169148558	Chr7B	429741862	440223814	18	0.9980555555555556
Chr5B	193712534	194129805	Chr7B	464227122	464654255	3	0.9986666666666667
Chr5B	222313523	239465934	Chr7B	493509703	511059948	70	0.9941142857142856
Chr5B	241488361	344742710	Chr7B	512877444	615872411	578	0.9975795847750865
Chr5B	346985936	386215007	Chr7B	618090500	657404695	215	0.9978837209302325
Chr5B	389314561	487627654	Chr7B	657708610	758334635	811	0.9956461159062885
Chr5B	501064227	714671459	Chr7B	772357079	977010453	2154	0.9900742804085422
