gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	Stanley_tgt_strand	Stanley_tgt_midpoint	Stanley_coverage	Stanley_identity	segment
gene:TraesCS6A03G0000400	Chr6A	117718	120689	-	119203	Chr6A	3178681	3181649	+	3180165	0.998	0.994	collinear
gene:TraesCS6A03G0000500	Chr6A	120701	122577	-	121639	Chr6A	3176794	3178669	+	3177731	0.999	0.996	collinear
gene:TraesCS6A03G0000900	Chr6A	298705	305357	-	302031	Chr6A	2983325	2989826	+	2986575	1.0	0.994	collinear
gene:TraesCS6A03G0001000	Chr6A	350333	351902	-	351117	Chr6A	2937592	2939161	+	2938376	1.0	0.997	collinear
gene:TraesCS6A03G0001100	Chr6A	1025042	1029912	+	1027477	Chr6A	202087	208263	+	205175	0.999	0.989	collinear
gene:TraesCS6A03G0001200	Chr6A	1092697	1097130	+	1094913	Chr6A	98460	102849	-	100654	0.963	0.943	collinear
gene:TraesCS6A03G0001400	Chr6A	1270594	1272612	-	1271603	Chr6A	699997	702059	-	701028	1.0	0.969	collinear
gene:TraesCS6A03G0001500	Chr6A	1298952	1300428	-	1299690	Chr6A	728546	730022	-	729284	1.0	0.996	collinear
gene:TraesCS6A03G0001600	Chr6A	1304914	1305519	-	1305216	Chr6A	734508	735113	-	734810	1.0	0.993	collinear
gene:TraesCS6A03G0001800	Chr6A	1330327	1332348	+	1331337	Chr6A	813671	815687	+	814679	0.997	0.992	collinear
gene:TraesCS6A03G0002000	Chr6A	1392825	1393762	+	1393293	Chr6A	877035	877971	+	877503	1.0	0.993	collinear
gene:TraesCS6A03G0002100	Chr6A	1401147	1405507	-	1403327	Chr6A	887865	892288	-	890076	0.986	0.965	collinear
gene:TraesCS6A03G0002200	Chr6A	1413772	1418469	+	1416120	Chr6A	950136	954648	+	952392	1.0	0.993	collinear
gene:TraesCS6A03G0002300	Chr6A	1427419	1428465	-	1427942	Chr6A	962815	963861	-	963338	1.0	0.993	collinear
gene:TraesCS6A03G0002400	Chr6A	1434457	1434844	+	1434650	Chr6A	969751	970138	+	969944	1.0	1.0	collinear
gene:TraesCS6A03G0002600	Chr6A	1442347	1442844	-	1442595	Chr6A	977536	978033	-	977784	1.0	0.996	collinear
gene:TraesCS6A03G0002700	Chr6A	1444853	1445827	+	1445340	Chr6A	980022	980996	+	980509	0.987	0.959	collinear
gene:TraesCS6A03G0003000	Chr6A	1535307	1542220	+	1538763	Chr6A	1000961	1007866	+	1004413	1.0	0.994	collinear
gene:TraesCS6A03G0003100	Chr6A	1544392	1548820	-	1546606	Chr6A	1013863	1018312	-	1016087	0.999	0.997	collinear
gene:TraesCS6A03G0003300	Chr6A	1558341	1564627	+	1561484	Chr6A	1027593	1033871	+	1030732	0.997	0.979	collinear
gene:TraesCS6A03G0003500	Chr6A	1571628	1573212	-	1572420	Chr6A	1041217	1042801	-	1042009	1.0	0.998	collinear
gene:TraesCS6A03G0003600	Chr6A	1584804	1587503	+	1586153	Chr6A	1053869	1056801	+	1055335	1.0	0.998	collinear
gene:TraesCS6A03G0004300	Chr6A	1712278	1718977	+	1715627	Chr6A	1220098	1226685	+	1223391	0.995	0.978	collinear
gene:TraesCS6A03G0004400	Chr6A	1717372	1719718	-	1718545	Chr6A	1225073	1227411	-	1226242	0.978	0.949	collinear
gene:TraesCS6A03G0004500	Chr6A	1720510	1722005	-	1721257	Chr6A	1228232	1229769	-	1229000	1.0	0.991	collinear
gene:TraesCS6A03G0004800	Chr6A	1722453	1727315	-	1724884	Chr6A	1230254	1235172	-	1232713	0.996	0.958	collinear
