gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity	segment
gene:TraesCS3D03G0095400	Chr3D	21213997	21214317	-	21214157	Chr3D	28251609	28251929	-	28251769	1.0	1.0	collinear
gene:TraesCS3D03G0095800	Chr3D	21260500	21261032	-	21260766	Chr3D	28298176	28298708	-	28298442	1.0	1.0	collinear
gene:TraesCS3D03G0096000	Chr3D	21336911	21337662	-	21337286	Chr3D	28374089	28374836	-	28374462	1.0	1.0	collinear
gene:TraesCS3D03G0096300	Chr3D	21772332	21773589	-	21772960	Chr3D	29330607	29331865	-	29331236	1.0	1.0	collinear
gene:TraesCS3D03G0096400	Chr3D	21796592	21798779	+	21797685	Chr3D	29354865	29357052	+	29355958	1.0	1.0	collinear
gene:TraesCS3D03G0096600	Chr3D	21891750	21892811	+	21892280	Chr3D	29448451	29449512	+	29448981	1.0	1.0	collinear
gene:TraesCS3D03G0096900	Chr3D	21897618	21898567	+	21898092	Chr3D	29454319	29455020	+	29454669	1.0	0.998	collinear
gene:TraesCS3D03G0097100	Chr3D	21899382	21899525	-	21899453	Chr3D	29455835	29455978	-	29455906	1.0	1.0	collinear
gene:TraesCS3D03G0097200	Chr3D	21899630	21899746	-	21899688	Chr3D	29456083	29456199	-	29456141	1.0	1.0	collinear
gene:TraesCS3D03G0097400	Chr3D	21899899	21900150	-	21900024	Chr3D	29456352	29456603	-	29456477	1.0	1.0	collinear
gene:TraesCS3D03G0097600	Chr3D	21901302	21901397	+	21901349	Chr3D	29457755	29457850	+	29457802	1.0	1.0	collinear
gene:TraesCS3D03G0097900	Chr3D	21903008	21903208	+	21903108	Chr3D	29459461	29459661	+	29459561	1.0	1.0	collinear
gene:TraesCS3D03G0098000	Chr3D	21903478	21903990	+	21903734	Chr3D	29459931	29460443	+	29460187	1.0	1.0	collinear
gene:TraesCS3D03G0098100	Chr3D	21904153	21904512	-	21904332	Chr3D	29460606	29460965	-	29460785	1.0	1.0	collinear
gene:TraesCS3D03G0098300	Chr3D	21905997	21906647	-	21906322	Chr3D	29461913	29462563	-	29462238	1.0	1.0	collinear
gene:TraesCS3D03G0098400	Chr3D	21907250	21908670	+	21907960	Chr3D	29463166	29464587	+	29463876	1.0	0.999	collinear
gene:TraesCS3D03G0098500	Chr3D	21908834	21908950	+	21908892	Chr3D	29464751	29464867	+	29464809	1.0	1.0	collinear
gene:TraesCS3D03G0098700	Chr3D	22049282	22054560	-	22051921	Chr3D	29607550	29612828	-	29610189	1.0	1.0	collinear
gene:TraesCS3D03G0098900	Chr3D	22086168	22094049	+	22090108	Chr3D	29644446	29652331	+	29648388	1.0	1.0	collinear
gene:TraesCS3D03G0099000	Chr3D	22130478	22130898	-	22130688	Chr3D	29688746	29689166	-	29688956	1.0	1.0	collinear
gene:TraesCS3D03G0099800	Chr3D	22223292	22224989	+	22224140	Chr3D	29781571	29783268	+	29782419	1.0	0.988	collinear
gene:TraesCS3D03G0100100	Chr3D	22271797	22273444	+	22272620	Chr3D	29830159	29831806	+	29830982	1.0	1.0	collinear
gene:TraesCS3D03G0100200	Chr3D	22275335	22279685	+	22277510	Chr3D	29833701	29838051	+	29835876	1.0	1.0	collinear
gene:TraesCS3D03G0100300	Chr3D	22279964	22284122	-	22282043	Chr3D	29838330	29842488	-	29840409	1.0	1.0	collinear
gene:TraesCS3D03G0100700	Chr3D	22326877	22330418	-	22328647	Chr3D	29885254	29888795	-	29887024	1.0	1.0	collinear
gene:TraesCS3D03G0100800	Chr3D	22362429	22367701	+	22365065	Chr3D	29920796	29926068	+	29923432	1.0	1.0	collinear
gene:TraesCS3D03G0100900	Chr3D	22365767	22366717	-	22366242	Chr3D	29924134	29925084	-	29924609	1.0	1.0	collinear
gene:TraesCS3D03G0101000	Chr3D	22367619	22372527	-	22370073	Chr3D	29925986	29930894	-	29928440	1.0	1.0	collinear
gene:TraesCS3D03G0101200	Chr3D	22373968	22376581	+	22375274	Chr3D	29932335	29934948	+	29933641	1.0	1.0	collinear
gene:TraesCS3D03G0101300	Chr3D	22381332	22385165	+	22383248	Chr3D	29939700	29943538	+	29941619	1.0	0.999	collinear
gene:TraesCS3D03G0101600	Chr3D	22674791	22677510	+	22676150	Chr3D	30233209	30235928	+	30234568	1.0	1.0	collinear
gene:TraesCS3D03G0101900	Chr3D	22723383	22724441	-	22723912	Chr3D	30281834	30282896	-	30282365	1.0	0.996	collinear
gene:TraesCS3D03G0102200	Chr3D	22924555	22925568	+	22925061	Chr3D	30483151	30484081	+	30483616	1.0	1.0	collinear
gene:TraesCS3D03G0102700	Chr3D	23049628	23052085	+	23050856	Chr3D	30605705	30608162	+	30606933	1.0	1.0	collinear
gene:TraesCS3D03G0102800	Chr3D	23053202	23056905	+	23055053	Chr3D	30609279	30612982	+	30611130	1.0	1.0	collinear
gene:TraesCS3D03G0102900	Chr3D	23057202	23060599	-	23058900	Chr3D	30613279	30616676	-	30614977	1.0	1.0	collinear
gene:TraesCS3D03G0103200	Chr3D	23071603	23072961	-	23072282	Chr3D	30627377	30628735	-	30628056	1.0	1.0	collinear
gene:TraesCS3D03G0103300	Chr3D	23077192	23081106	-	23079149	Chr3D	30632966	30636883	-	30634924	1.0	1.0	collinear
