cs_chr	Stanley_tgt_chr	n_anchors	mean_anchor_gap_Mb	interp_type	n_synteny_blocks
Chr1A	Chr1A	3915	0.151	linear	10
Chr1B	Chr1B	4193	0.165	linear	14
Chr1D	Chr1D	4259	0.117	linear	4
Chr2A	Chr2A	4977	0.158	linear	17
Chr2B	Chr2B	5392	0.15	linear	16
Chr2D	Chr2D	5647	0.116	linear	7
Chr3A	Chr3A	4915	0.153	linear	12
Chr3B	Chr3B	5063	0.168	linear	23
Chr3D	Chr3D	4150	0.147	linear	13
Chr4A	Chr4A	3913	0.193	linear	24
Chr4B	Chr4B	3503	0.192	linear	10
Chr4D	Chr4D	3294	0.151	linear	17
Chr5A	Chr5A	5142	0.139	linear	12
Chr5B	Chr5B	4942	0.144	linear	11
Chr5D	Chr5D	5432	0.105	linear	4
Chr6A	Chr6A	3682	0.169	linear	20
Chr6B	Chr6B	3754	0.195	linear	19
Chr6D	Chr6D	3701	0.133	linear	11
Chr7A	Chr7A	4547	0.164	linear	12
Chr7B	Chr7B	4112	0.184	linear	14
Chr7D	Chr7D	5218	0.123	linear	8
