cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr6D	38565372	40060987	Chr6D	28982394	30447639	11	1.0
Chr6D	46902857	47664304	Chr6D	49441330	50193127	9	0.9915555555555555
Chr6D	52823618	54267397	Chr6D	42918089	44350399	17	0.9914117647058823
Chr6D	5724913	27422338	Chr6D	10684	26417125	434	0.9992258064516129
Chr6D	42933120	52724703	Chr6D	38373835	49316162	87	0.9998045977011495
Chr6D	55105672	164765103	Chr6D	50395448	159699786	830	0.9993433734939758
Chr6D	166779487	214550301	Chr6D	161664781	208361337	75	0.9988933333333333
Chr6D	216846232	227401287	Chr6D	210827125	221313504	14	0.9987142857142857
Chr6D	232122220	239805311	Chr6D	226012036	233607402	12	0.9940833333333333
Chr6D	242219199	280904417	Chr6D	236006174	276001804	142	0.9986267605633803
Chr6D	283156017	346074522	Chr6D	278231073	340703420	423	0.999598108747045
Chr6D	348652621	353356176	Chr6D	342632080	347317637	38	0.9995526315789472
Chr6D	355857046	415028218	Chr6D	350397102	408808382	529	0.9995746691871455
Chr6D	417690848	472568654	Chr6D	411447990	465544146	905	0.9955270718232044
Chr6D	346099970	348279719	Chr6D	347690461	349857936	25	0.9999600000000001
Chr6D	353635072	355242742	Chr6D	340765442	342357059	14	0.9994285714285714
