gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity
gene:TraesCS4D03G0000100	Chr4D	409970	411319	-	410644	Chr4D	414739	416088	-	415413	1.0	1.0
gene:TraesCS4D03G0000200	Chr4D	459723	463379	+	461551	Chr4D	464454	468113	+	466283	1.0	0.997
gene:TraesCS4D03G0000300	Chr4D	463559	465496	-	464527	Chr4D	468293	470230	-	469261	1.0	1.0
gene:TraesCS4D03G0000500	Chr4D	465900	467545	-	466722	Chr4D	470634	472282	-	471458	1.0	1.0
gene:TraesCS4D03G0000700	Chr4D	475371	480193	+	477782	Chr4D	475794	480256	+	478025	0.989	0.957
gene:TraesCS4D03G0000800	Chr4D	536039	548069	+	542054	Chr4D	535828	547858	+	541843	1.0	1.0
gene:TraesCS4D03G0000900	Chr4D	603219	607023	-	605121	Chr4D	602939	606743	-	604841	1.0	0.998
gene:TraesCS4D03G0001000	Chr4D	607335	608738	+	608036	Chr4D	607055	608458	+	607756	1.0	0.994
gene:TraesCS4D03G0001200	Chr4D	610012	615059	-	612535	Chr4D	609732	614781	-	612256	0.996	0.985
gene:TraesCS4D03G0001400	Chr4D	658413	659236	+	658824	Chr4D	658757	659580	+	659168	1.0	1.0
gene:TraesCS4D03G0001800	Chr4D	757227	759482	-	758354	Chr4D	756449	758679	-	757564	0.981	0.949
gene:TraesCS4D03G0002200	Chr4D	1179628	1183031	+	1181329	Chr4D	1105928	1109331	+	1107629	1.0	1.0
gene:TraesCS4D03G0002300	Chr4D	1192267	1194439	+	1193353	Chr4D	1118563	1120735	+	1119649	1.0	1.0
gene:TraesCS4D03G0002500	Chr4D	1196998	1198699	-	1197848	Chr4D	1123294	1124995	-	1124144	1.0	0.981
gene:TraesCS4D03G0002600	Chr4D	1200365	1201407	+	1200886	Chr4D	1126661	1127703	+	1127182	1.0	1.0
