gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity	segment
gene:TraesCS5B02G119900	Chr5B	212629864	212634220	+	212632042	Chr5B	204052765	204057112	-	204054938	0.999	0.992	rearrangement:Chr5B_block2
gene:TraesCS5B02G120000	Chr5B	212634917	212636332	-	212635624	Chr5B	204050653	204052068	+	204051360	1.0	0.998	rearrangement:Chr5B_block2
gene:TraesCS5B02G120100	Chr5B	212784069	212797800	+	212790934	Chr5B	203895992	203909428	-	203902710	1.0	0.985	rearrangement:Chr5B_block2
gene:TraesCS5B02G120200	Chr5B	212790249	212801266	-	212795757	Chr5B	203892833	203903310	+	203898071	0.999	0.981	rearrangement:Chr5B_block2
gene:TraesCS5B02G120300	Chr5B	213248360	213252780	+	213250570	Chr5B	203552394	203556808	-	203554601	0.998	0.995	rearrangement:Chr5B_block2
gene:TraesCS5B02G120400	Chr5B	213252280	213258565	-	213255422	Chr5B	203546609	203552894	+	203549751	1.0	0.996	rearrangement:Chr5B_block2
gene:TraesCS5B02G120500	Chr5B	213471491	213478696	-	213475093	Chr5B	203340227	203347445	+	203343836	1.0	0.989	rearrangement:Chr5B_block2
gene:TraesCS5B02G121000	Chr5B	215872825	215890731	+	215881778	Chr5B	200940172	200957607	-	200948889	0.998	0.993	rearrangement:Chr5B_block1
gene:TraesCS5B02G121100	Chr5B	216392658	216393155	+	216392906	Chr5B	200429700	200430197	-	200429948	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G121200	Chr5B	216394244	216399179	-	216396711	Chr5B	200423677	200428611	+	200426144	1.0	0.998	rearrangement:Chr5B_block1
gene:TraesCS5B02G121300	Chr5B	216399368	216404020	+	216401694	Chr5B	200418838	200423488	-	200421163	0.998	0.991	rearrangement:Chr5B_block1
gene:TraesCS5B02G121400	Chr5B	216649842	216653719	+	216651780	Chr5B	200173904	200177758	-	200175831	1.0	0.996	rearrangement:Chr5B_block1
gene:TraesCS5B02G121500	Chr5B	216653222	216659535	-	216656378	Chr5B	200168108	200174401	+	200171254	1.0	0.994	rearrangement:Chr5B_block1
gene:TraesCS5B02G121600	Chr5B	216829243	216863351	-	216846297	Chr5B	199964171	199998241	+	199981206	0.998	0.981	rearrangement:Chr5B_block1
gene:TraesCS5B02G000100	Chr5B	16235	21357	+	18796	Chr5B	5864246	5869383	-	5866814	0.998	0.985	collinear
gene:TraesCS5B02G000300	Chr5B	86983	88497	-	87740	Chr5B	63280	64795	-	64037	1.0	0.995	collinear
gene:TraesCS5B02G000400	Chr5B	210112	215729	+	212920	Chr5B	5690938	5696561	-	5693749	0.998	0.996	collinear
gene:TraesCS5B02G000500	Chr5B	216278	219412	-	217845	Chr5B	5687262	5690416	+	5688839	0.991	0.972	collinear
gene:TraesCS5B02G000600	Chr5B	229215	233600	+	231407	Chr5B	5666496	5670613	-	5668554	0.999	0.997	collinear
gene:TraesCS5B02G000800	Chr5B	655778	658708	-	657243	Chr5B	6550314	6553253	-	6551783	1.0	0.989	collinear
gene:TraesCS5B02G000900	Chr5B	756821	758672	+	757746	Chr5B	6566569	6568412	+	6567490	1.0	0.991	collinear
gene:TraesCS5B02G001100	Chr5B	860861	865647	-	863254	Chr5B	6690730	6695209	-	6692969	1.0	0.985	collinear
gene:TraesCS5B02G001300	Chr5B	1579405	1579728	+	1579566	Chr5B	5127879	5128202	-	5128040	1.0	0.993	collinear
gene:TraesCS5B02G001600	Chr5B	2558977	2563902	-	2561439	Chr5B	666606	671359	-	668982	0.997	0.995	collinear
gene:TraesCS5B02G001700	Chr5B	2570828	2574624	-	2572726	Chr5B	678283	682077	-	680180	1.0	0.99	collinear
gene:TraesCS5B02G001800	Chr5B	2581312	2585281	+	2583296	Chr5B	688765	692735	+	690750	1.0	0.989	collinear
gene:TraesCS5B02G001900	Chr5B	2612913	2614391	-	2613652	Chr5B	720034	721512	-	720773	1.0	1.0	collinear
gene:TraesCS5B02G002000	Chr5B	2805491	2806938	+	2806214	Chr5B	912145	913598	+	912871	0.997	0.962	collinear
gene:TraesCS5B02G002100	Chr5B	2883487	2884992	+	2884239	Chr5B	989340	990845	+	990092	1.0	1.0	collinear
gene:TraesCS5B02G002200	Chr5B	3449225	3449773	-	3449499	Chr5B	1517913	1518459	-	1518186	0.993	0.987	collinear
gene:TraesCS5B02G002400	Chr5B	3849532	3862578	-	3856055	Chr5B	1916866	1928992	-	1922929	1.0	0.997	collinear
gene:TraesCS5B02G002500	Chr5B	3867064	3867802	-	3867433	Chr5B	1933482	1934220	-	1933851	1.0	1.0	collinear
gene:TraesCS5B02G002600	Chr5B	3917424	3923351	-	3920387	Chr5B	1983416	1989343	-	1986379	1.0	0.989	collinear
gene:TraesCS5B02G002700	Chr5B	4059784	4060323	-	4060053	Chr5B	2125490	2126029	-	2125759	1.0	1.0	collinear
gene:TraesCS5B02G002800	Chr5B	4061095	4061457	+	4061276	Chr5B	2126803	2127165	+	2126984	1.0	0.997	collinear
gene:TraesCS5B02G002900	Chr5B	4546069	4552406	-	4549237	Chr5B	2523862	2529908	-	2526885	0.994	0.973	collinear
gene:TraesCS5B02G003000	Chr5B	4594584	4597569	-	4596076	Chr5B	2572019	2575023	-	2573521	0.997	0.956	collinear
gene:TraesCS5B02G003100	Chr5B	4831068	4833559	+	4832313	Chr5B	2847034	2849525	+	2848279	1.0	0.996	collinear
gene:TraesCS5B02G003200	Chr5B	4867071	4871723	-	4869397	Chr5B	2883259	2887911	-	2885585	1.0	1.0	collinear
gene:TraesCS5B02G003300	Chr5B	5045123	5051057	+	5048090	Chr5B	3058815	3064734	+	3061774	0.999	0.998	collinear
gene:TraesCS5B02G003400	Chr5B	5052970	5056002	-	5054486	Chr5B	3066503	3069535	-	3068019	1.0	1.0	collinear
gene:TraesCS5B02G003500	Chr5B	5057454	5057948	+	5057701	Chr5B	3070987	3071481	+	3071234	1.0	1.0	collinear
gene:TraesCS5B02G003600	Chr5B	5062881	5065255	+	5064068	Chr5B	3076261	3078635	+	3077448	1.0	1.0	collinear
gene:TraesCS5B02G003700	Chr5B	5071378	5072952	-	5072165	Chr5B	3084749	3086323	-	3085536	1.0	1.0	collinear
gene:TraesCS5B02G003900	Chr5B	5417279	5421527	+	5419403	Chr5B	3685663	3689909	+	3687786	1.0	0.998	collinear
gene:TraesCS5B02G004000	Chr5B	5919690	5920013	-	5919851	Chr5B	4496456	4496779	-	4496617	1.0	0.996	collinear
gene:TraesCS5B02G004200	Chr5B	6217631	6220820	-	6219225	Chr5B	7509289	7512621	-	7510955	1.0	0.984	collinear
gene:TraesCS5B02G004300	Chr5B	6364821	6368699	-	6366760	Chr5B	7622395	7626269	-	7624332	1.0	0.988	collinear
