cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr6D	7344778	27452901	Chr6D	7828320	27368349	373	0.9993860589812331
Chr6D	46902857	49450861	Chr6D	63132627	65684677	31	0.9973870967741935
Chr6D	49849091	50179900	Chr6D	62400792	62736372	5	0.9997999999999999
Chr6D	43783	3075752	Chr6D	4603440	7739740	71	0.9962957746478874
Chr6D	26351226	31480900	Chr6D	32021265	39923446	91	0.9985824175824175
Chr6D	36581551	38226300	Chr6D	43201180	44866926	28	0.9977142857142857
Chr6D	42933120	46873994	Chr6D	53735112	57661223	34	0.999735294117647
Chr6D	50605266	164765103	Chr6D	58334336	176340351	863	0.9989073001158749
Chr6D	166779487	196358739	Chr6D	178294288	207853751	49	0.9967346938775511
Chr6D	198602298	211669349	Chr6D	210103028	223088485	22	0.9998636363636364
Chr6D	216846232	226784359	Chr6D	226281461	236215008	14	0.9987857142857143
Chr6D	232744583	239805311	Chr6D	242138825	249180543	11	0.9935454545454546
Chr6D	242219199	280904417	Chr6D	251587215	291241049	141	0.9987304964539007
Chr6D	283156017	346074522	Chr6D	293477752	356134456	421	0.9995130641330167
Chr6D	348652621	353100016	Chr6D	358344021	362773105	36	0.9998888888888889
Chr6D	355858510	415028218	Chr6D	365912741	425069235	530	0.9994924528301886
Chr6D	417690848	473516145	Chr6D	427761816	483788639	916	0.9957347161572053
Chr6D	346099970	348279719	Chr6D	363151680	365333266	25	0.9999600000000001
Chr6D	353349723	355242742	Chr6D	356198275	358086509	16	0.9928750000000001
