cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr4A	54108293	56510369	Chr4A	64306592	66757739	14	0.9975714285714286
Chr4A	78161520	78765803	Chr4A	67059307	67694696	6	0.9975
Chr4A	64957558	68958858	Chr4A	76851232	80790930	30	0.9930999999999999
Chr4A	79053091	80857577	Chr4A	53803579	55692831	8	0.999
Chr4A	270325461	282083530	Chr4A	294678475	307748675	16	0.99975
Chr4A	284630458	300457856	Chr4A	271744677	322467503	18	0.9994444444444444
Chr4A	306317948	314684131	Chr4A	280203229	288491066	54	0.9992222222222222
Chr4A	320272231	327753355	Chr4A	245784828	253206755	14	0.9978571428571429
Chr4A	82701	52611541	Chr4A	120592	52390378	562	0.9967651245551602
Chr4A	57165163	64573687	Chr4A	56085917	63595017	66	0.9949393939393941
Chr4A	69268831	77442732	Chr4A	68431062	76542115	59	0.9946610169491525
Chr4A	81276884	130504034	Chr4A	81159572	130334464	281	0.9954306049822065
Chr4A	132701921	192628546	Chr4A	132375698	191904260	258	0.998794573643411
Chr4A	195313531	220022826	Chr4A	194572298	219142492	45	0.9980222222222223
Chr4A	222107768	222562036	Chr4A	221220839	221682082	3	1.0
Chr4A	225313869	227091476	Chr4A	224400613	226160701	4	1.0
Chr4A	229493172	242884659	Chr4A	228541229	241886134	21	1.0
Chr4A	245258976	246711649	Chr4A	244234999	253742893	9	0.9991111111111111
Chr4A	248831802	263897149	Chr4A	255875751	270837571	21	0.9991428571428571
Chr4A	317080714	319832516	Chr4A	323892799	326647161	3	1.0
Chr4A	329170186	334268011	Chr4A	328364707	333560114	6	0.9994999999999999
Chr4A	338745706	350244063	Chr4A	338028310	349336305	23	0.9998260869565219
Chr4A	352270324	353874280	Chr4A	351468483	353062259	4	1.0
Chr4A	356554191	359638234	Chr4A	355713555	358755717	6	0.9998333333333335
Chr4A	362089683	365639149	Chr4A	361185994	364734164	5	1.0
Chr4A	373805571	387104269	Chr4A	374589157	387805057	15	0.9996666666666667
Chr4A	389242085	390892975	Chr4A	389929509	391554727	3	1.0
Chr4A	395027325	398506001	Chr4A	395659596	399101843	6	0.9996666666666667
Chr4A	400757887	401303656	Chr4A	401330483	401881623	3	0.999
Chr4A	407610912	420517232	Chr4A	408127966	421012967	17	0.9997647058823529
Chr4A	422761993	508494353	Chr4A	423242411	508454004	414	0.998072463768116
Chr4A	510639254	641610833	Chr4A	510565874	645398081	1478	0.9975507442489852
Chr4A	660754344	668645602	Chr4A	663058575	673015040	93	0.9882150537634409
Chr4A	686530004	708915244	Chr4A	694428834	721375231	196	0.9996122448979592
Chr4A	642186467	660654633	Chr4A	673132249	693915593	114	0.998736842105263
Chr4A	669044550	669457227	Chr4A	725793654	726200086	9	0.9996666666666667
Chr4A	668749335	686385415	Chr4A	645472584	662955409	223	0.9994663677130046
Chr4A	706498212	744433514	Chr4A	719386565	759179880	424	0.9901698113207547
