gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity	segment
gene:TraesCS7A02G000100	Chr7A	238043	241215	+	239629	Chr7A	3340079	3343251	+	3341665	1.0	1.0	collinear
gene:TraesCS7A02G000200	Chr7A	242359	246258	-	244308	Chr7A	3344395	3348292	-	3346343	1.0	1.0	collinear
gene:TraesCS7A02G000300	Chr7A	250565	253987	+	252276	Chr7A	3352596	3356018	+	3354307	1.0	0.999	collinear
gene:TraesCS7A02G000400	Chr7A	289316	290626	+	289971	Chr7A	3388877	3390190	+	3389533	1.0	1.0	collinear
gene:TraesCS7A02G000600	Chr7A	331413	332217	+	331815	Chr7A	3430232	3431036	+	3430634	1.0	1.0	collinear
gene:TraesCS7A02G000700	Chr7A	342962	346248	-	344605	Chr7A	3441350	3444636	-	3442993	1.0	1.0	collinear
gene:TraesCS7A02G000800	Chr7A	463692	465671	-	464681	Chr7A	3559724	3561703	-	3560713	1.0	1.0	collinear
gene:TraesCS7A02G000900	Chr7A	631804	635718	+	633761	Chr7A	3735677	3739591	+	3737634	1.0	0.999	collinear
gene:TraesCS7A02G000936	Chr7A	643174	655611	-	649392	Chr7A	3747046	3759483	-	3753264	1.0	0.999	collinear
gene:TraesCS7A02G001000	Chr7A	665160	680522	-	672841	Chr7A	3769033	3782000	-	3775516	1.0	1.0	collinear
gene:TraesCS7A02G001100	Chr7A	760723	764116	-	762419	Chr7A	3861680	3865073	-	3863376	1.0	1.0	collinear
gene:TraesCS7A02G001121	Chr7A	785611	786054	-	785832	Chr7A	3885840	3886283	-	3886061	1.0	1.0	collinear
gene:TraesCS7A02G001200	Chr7A	976470	983181	+	979825	Chr7A	4074718	4081429	+	4078073	1.0	1.0	collinear
gene:TraesCS7A02G001300	Chr7A	1128397	1129068	+	1128732	Chr7A	4225640	4226311	+	4225975	1.0	1.0	collinear
gene:TraesCS7A02G001400	Chr7A	1180399	1182394	+	1181396	Chr7A	4264714	4266709	+	4265711	1.0	0.999	collinear
gene:TraesCS7A02G001500	Chr7A	1273203	1274422	+	1273812	Chr7A	4358343	4359562	+	4358952	1.0	1.0	collinear
gene:TraesCS7A02G001600	Chr7A	1277396	1277831	-	1277613	Chr7A	4362536	4362971	-	4362753	1.0	1.0	collinear
gene:TraesCS7A02G001700	Chr7A	1280349	1295461	-	1287905	Chr7A	4365489	4380508	-	4372998	1.0	0.999	collinear
gene:TraesCS7A02G001800	Chr7A	1316001	1316821	-	1316411	Chr7A	4400602	4401422	-	4401012	1.0	1.0	collinear
gene:TraesCS7A02G001900	Chr7A	1320275	1322055	-	1321165	Chr7A	4404876	4406656	-	4405766	1.0	1.0	collinear
gene:TraesCS7A02G002600	Chr7A	1521562	1524436	+	1522999	Chr7A	4461049	4463923	+	4462486	1.0	1.0	collinear
gene:TraesCS7A02G002700	Chr7A	1690697	1692368	+	1691532	Chr7A	4676280	4677951	+	4677115	1.0	1.0	collinear
gene:TraesCS7A02G002800	Chr7A	1695250	1700497	+	1697873	Chr7A	4680833	4685967	+	4683400	1.0	0.996	collinear
gene:TraesCS7A02G003000	Chr7A	1712778	1718449	+	1715613	Chr7A	4690366	4695939	+	4693152	0.984	0.975	collinear
gene:TraesCS7A02G003100	Chr7A	1718979	1724204	-	1721591	Chr7A	4696469	4701715	-	4699092	1.0	0.995	collinear
gene:TraesCS7A02G003200	Chr7A	1742688	1748575	-	1745631	Chr7A	4719167	4725162	-	4722164	1.0	0.994	collinear
gene:TraesCS7A02G003300	Chr7A	1780541	1782994	-	1781767	Chr7A	4843747	4846200	-	4844973	1.0	1.0	collinear
gene:TraesCS7A02G003500	Chr7A	1841972	1847563	-	1844767	Chr7A	4864342	4869933	-	4867137	0.999	0.992	collinear
gene:TraesCS7A02G003700	Chr7A	1856666	1859059	+	1857862	Chr7A	4876426	4878748	+	4877587	0.999	0.932	collinear
gene:TraesCS7A02G003800	Chr7A	1859674	1863710	-	1861692	Chr7A	4879366	4883395	-	4881380	0.992	0.985	collinear
gene:TraesCS7A02G003900	Chr7A	1921361	1926772	+	1924066	Chr7A	4948858	4954226	+	4951542	0.98	0.973	collinear
gene:TraesCS7A02G004000	Chr7A	1982279	1991986	+	1987132	Chr7A	5046837	5056552	+	5051694	0.991	0.987	collinear
gene:TraesCS7A02G004400	Chr7A	2551358	2554208	-	2552783	Chr7A	7023140	7026167	-	7024653	0.995	0.925	collinear
gene:TraesCS7A02G004900	Chr7A	2673772	2678182	+	2675977	Chr7A	6803821	6808133	+	6805977	0.957	0.939	collinear
