cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr3A	43283	1926689	Chr3A	444311	2776219	28	0.9737500000000001
Chr3A	6895728	107758334	Chr3A	2883486	103089773	1112	0.9952715827338129
Chr3A	114422120	117832154	Chr3A	107724582	111153746	25	0.99932
Chr3A	123049840	128718501	Chr3A	118005926	123842739	46	0.9969347826086957
Chr3A	130835529	181088605	Chr3A	125985030	175797890	215	0.9980325581395348
Chr3A	184214632	251342423	Chr3A	178970002	246427593	204	0.9995441176470587
Chr3A	259064196	267056348	Chr3A	254190886	262397004	12	0.9978333333333333
Chr3A	269215500	273159995	Chr3A	264335530	268293565	6	0.9994999999999999
Chr3A	275284207	283103162	Chr3A	270484535	278215374	7	0.9998571428571428
Chr3A	288539387	293589663	Chr3A	284343359	289461370	6	0.9991666666666666
Chr3A	295949198	314620161	Chr3A	291822843	310328725	24	0.99975
Chr3A	321109384	337881732	Chr3A	319631571	337500625	29	0.999551724137931
Chr3A	340259729	343231466	Chr3A	339932549	342896245	8	0.99625
Chr3A	345871376	349014829	Chr3A	345567325	348751091	6	0.9998333333333335
Chr3A	352872143	545153837	Chr3A	352520349	544491515	970	0.9978360824742268
Chr3A	556260652	750618114	Chr3A	556141178	756614635	2078	0.9960668912415783
Chr3A	545257989	547981226	Chr3A	103121518	105899315	30	0.9979666666666667
Chr3A	549266231	549625025	Chr3A	107188850	107494124	9	0.9963333333333332
Chr3A	549904896	555697701	Chr3A	111969917	117702222	37	0.9952972972972973
