cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr4A	82701	52611541	Chr4A	561796	52924541	565	0.9971840707964602
Chr4A	57165163	64573687	Chr4A	56648268	64265549	66	0.9956363636363637
Chr4A	69268831	78765803	Chr4A	67722697	77203966	66	0.9949696969696971
Chr4A	81276884	130504034	Chr4A	81831389	130612013	284	0.9970669014084508
Chr4A	132701921	192628546	Chr4A	132799488	192519248	262	0.9996793893129771
Chr4A	195313531	220022826	Chr4A	195184433	219730774	45	0.9980444444444446
Chr4A	222107768	222562036	Chr4A	221803789	222248075	3	1.0
Chr4A	225313869	227091476	Chr4A	224959119	226710715	4	0.99975
Chr4A	229493172	242884659	Chr4A	229139029	242450806	21	0.999904761904762
Chr4A	245258976	246711649	Chr4A	244806754	254287555	9	0.9975555555555555
Chr4A	248831802	263897149	Chr4A	256420246	271306034	21	0.9996666666666668
Chr4A	317080714	319832516	Chr4A	324686894	327419898	3	1.0
Chr4A	329170186	334268011	Chr4A	329246825	334448335	6	1.0
Chr4A	338745706	350244063	Chr4A	338915393	350195982	23	0.9997391304347826
Chr4A	352270324	353874280	Chr4A	352333429	353926740	4	1.0
Chr4A	356554191	359638234	Chr4A	356582588	359644960	6	0.9991666666666666
Chr4A	362089683	365639149	Chr4A	362075287	365682461	5	1.0
Chr4A	373805571	387104269	Chr4A	375504823	388681231	15	0.9996666666666667
Chr4A	389242085	390892975	Chr4A	390807844	392433008	3	1.0
Chr4A	395027325	398506001	Chr4A	396492907	399922752	6	1.0
Chr4A	400757887	401303656	Chr4A	402141516	402692626	3	0.9986666666666667
Chr4A	407610912	420517232	Chr4A	408920559	421958000	17	0.9997647058823531
Chr4A	422761993	508494353	Chr4A	424172131	509419982	412	0.9982985436893204
Chr4A	510639254	641610833	Chr4A	511547213	646107536	1474	0.9977781546811397
Chr4A	659127353	668306450	Chr4A	664336483	674848211	92	0.9910652173913043
Chr4A	686530004	694861888	Chr4A	699675257	710451507	75	0.9988133333333333
