gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	Sumai3_tgt_strand	Sumai3_tgt_midpoint	Sumai3_coverage	Sumai3_identity	segment
gene:TraesCS6A02G000100	Chr6A	56821	58390	+	57605	Chr6A	860520	862089	+	861304	1.0	0.999	collinear
gene:TraesCS6A02G000200	Chr6A	103455	110107	+	106781	Chr6A	907065	913717	+	910391	1.0	1.0	collinear
gene:TraesCS6A02G000300	Chr6A	286171	288047	+	287109	Chr6A	1089948	1091824	+	1090886	1.0	1.0	collinear
gene:TraesCS6A02G000400	Chr6A	288059	291030	+	289544	Chr6A	1091836	1094807	+	1093321	1.0	1.0	collinear
gene:TraesCS6A02G000500	Chr6A	571479	575107	-	573293	Chr6A	1643165	1646793	+	1644979	1.0	1.0	collinear
gene:TraesCS6A02G000600	Chr6A	610042	615530	+	612786	Chr6A	1601297	1606785	-	1604041	1.0	1.0	collinear
gene:TraesCS6A02G000700	Chr6A	616773	620979	-	618876	Chr6A	1595848	1600054	+	1597951	1.0	1.0	collinear
gene:TraesCS6A02G000800	Chr6A	629428	634290	+	631859	Chr6A	1582508	1587370	-	1584939	1.0	1.0	collinear
gene:TraesCS6A02G000900	Chr6A	634738	636233	+	635485	Chr6A	1580565	1582060	-	1581312	1.0	1.0	collinear
gene:TraesCS6A02G001000	Chr6A	637025	639371	+	638198	Chr6A	1577427	1579773	-	1578600	1.0	1.0	collinear
gene:TraesCS6A02G001100	Chr6A	637766	644465	-	641115	Chr6A	1572333	1579032	+	1575682	1.0	1.0	collinear
gene:TraesCS6A02G001200	Chr6A	734214	735473	-	734843	Chr6A	1483674	1484573	+	1484123	0.996	0.995	collinear
gene:TraesCS6A02G001300	Chr6A	766648	769202	+	767925	Chr6A	1450080	1452634	-	1451357	1.0	1.0	collinear
gene:TraesCS6A02G001400	Chr6A	771942	774641	-	773291	Chr6A	1444641	1447340	+	1445990	1.0	1.0	collinear
gene:TraesCS6A02G001500	Chr6A	786731	788315	+	787523	Chr6A	1431475	1433059	-	1432267	1.0	0.999	collinear
gene:TraesCS6A02G001600	Chr6A	795316	801602	-	798459	Chr6A	1418189	1424475	+	1421332	1.0	1.0	collinear
gene:TraesCS6A02G001700	Chr6A	811604	816032	+	813818	Chr6A	1404223	1408651	-	1406437	1.0	1.0	collinear
gene:TraesCS6A02G001800	Chr6A	818204	825117	-	821660	Chr6A	1395138	1402051	+	1398594	1.0	1.0	collinear
gene:TraesCS6A02G001900	Chr6A	860722	867161	-	863941	Chr6A	1353414	1359854	+	1356634	1.0	1.0	collinear
gene:TraesCS6A02G002000	Chr6A	914925	915899	-	915412	Chr6A	1304674	1305648	+	1305161	1.0	1.0	collinear
gene:TraesCS6A02G002100	Chr6A	917908	918405	+	918156	Chr6A	1302168	1302665	-	1302416	1.0	1.0	collinear
gene:TraesCS6A02G002200	Chr6A	925885	926272	-	926078	Chr6A	1294264	1294651	+	1294457	1.0	1.0	collinear
gene:TraesCS6A02G002300	Chr6A	932264	933310	+	932787	Chr6A	1287226	1288272	-	1287749	1.0	1.0	collinear
gene:TraesCS6A02G002400	Chr6A	942509	947206	-	944857	Chr6A	1273579	1278276	+	1275927	1.0	1.0	collinear
gene:TraesCS6A02G002500	Chr6A	955213	960217	+	957715	Chr6A	1260947	1265307	-	1263127	0.912	0.912	collinear
gene:TraesCS6A02G002600	Chr6A	967860	968797	-	968328	Chr6A	1252627	1253564	+	1253095	1.0	1.0	collinear
gene:TraesCS6A02G002700	Chr6A	1029778	1031799	-	1030788	Chr6A	20365	22386	-	21375	1.0	1.0	collinear
gene:TraesCS6A02G002800	Chr6A	1056980	1057585	+	1057282	Chr6A	49353	49958	+	49655	1.0	1.0	collinear
gene:TraesCS6A02G002900	Chr6A	1062071	1063547	+	1062809	Chr6A	54444	55920	+	55182	1.0	1.0	collinear
gene:TraesCS6A02G003000	Chr6A	1090568	1092586	+	1091577	Chr6A	82269	84287	+	83278	1.0	1.0	collinear
gene:TraesCS6A02G003100	Chr6A	1267353	1271786	-	1269569	Chr6A	257703	262136	-	259919	1.0	1.0	collinear
gene:TraesCS6A02G003150	Chr6A	1334641	1339511	-	1337076	Chr6A	316768	321638	-	319203	1.0	0.999	collinear
gene:TraesCS6A02G003200	Chr6A	1430060	1431649	-	1430854	Chr6A	1861474	1863063	-	1862268	1.0	1.0	collinear
gene:TraesCS6A02G003300	Chr6A	1494577	1504714	-	1499645	Chr6A	1924755	1934678	-	1929716	1.0	0.999	collinear
gene:TraesCS6A02G003400	Chr6A	1590045	1590678	+	1590361	Chr6A	2018803	2019436	+	2019119	1.0	1.0	collinear
gene:TraesCS6A02G003500	Chr6A	1624440	1625144	+	1624792	Chr6A	2052608	2053312	+	2052960	1.0	1.0	collinear
gene:TraesCS6A02G003600	Chr6A	1650398	1650967	+	1650682	Chr6A	2078305	2078874	+	2078589	1.0	1.0	collinear
gene:TraesCS6A02G003700	Chr6A	1659193	1668144	-	1663668	Chr6A	2087100	2096051	-	2091575	1.0	1.0	collinear
