cs_chr	Attraktion_tgt_chr	n_anchors	Attraktion_mean_anchor_gap_Mb	Attraktion_interp_type	n_segments	Attraktion_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A+Chr1A+Chr1A	3779	0.094	linear+linear+linear+pchip_inverted+linear	5	0.927
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B	4192	0.183	linear+linear+linear+linear+linear+linear+linear	7	0.917
Chr1D	Chr1D	4314	0.116	linear	1	0.965
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A	5370	0.215	linear+pchip_inverted+linear+linear	4	0.921
Chr2B	Chr2B	5170	0.157	linear	1	0.885
Chr2D	Chr2D	5425	0.121	linear	1	0.943
Chr3A	Chr3A	4993	0.151	linear	1	0.966
Chr3B	Chr3B+Chr3B	5254	0.593	linear+linear	2	0.898
Chr3D	Chr3D	5106	0.121	linear	1	0.974
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A	4150	0.391	linear+linear+pchip_inverted+linear	4	0.926
Chr4B	Chr4B+Chr4B+Chr4B+Chr4B	3439	0.269	linear+linear+linear+linear	4	0.853
Chr4D	Chr4D+Chr4D	3485	0.102	linear+linear	2	0.976
Chr5A	Chr5A+Chr5A	5187	0.107	linear+linear	2	0.954
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B	4905	0.124	linear+linear+pchip+pchip	4	0.854
Chr5D	Chr5D+Chr5D	5387	0.068	linear+pchip_inverted	2	0.975
Chr6A	Chr6A+Chr6A+Chr6A+Chr6A	3755	0.093	linear+linear+pchip_inverted+pchip_inverted	4	0.953
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3793	0.254	linear+linear+linear+pchip_inverted+linear+linear+linear+pchip_inverted+pchip_inverted+linear+pchip_inverted	11	0.842
Chr6D	Chr6D+Chr6D	3807	0.123	linear+linear	2	0.968
Chr7A	Chr7A+Chr7A+Chr7A	4919	0.098	linear+linear+linear	3	0.93
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4283	0.192	linear+linear+linear+linear+linear	5	0.83
Chr7D	Chr7D	5191	0.124	linear	1	0.966
