cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr2B	21238	202920401	Chr2B	14754	204835737	1792	0.9920485491071428
Chr2B	206113490	240314058	Chr2B	205387858	239770435	202	0.995539603960396
Chr2B	242536523	270216010	Chr2B	242233989	275041199	127	0.9955118110236221
Chr2B	272550652	303097333	Chr2B	277374524	307917342	43	0.9979767441860466
Chr2B	305321036	318205778	Chr2B	310136039	323176038	16	0.9886875
Chr2B	320343927	333044217	Chr2B	325327066	338006303	21	0.999904761904762
Chr2B	335510269	342279112	Chr2B	340486025	347201916	9	1.0
Chr2B	346670378	361286666	Chr2B	350804018	369537694	55	0.9991272727272726
Chr2B	363920507	374802272	Chr2B	369712032	380595240	46	0.9983260869565218
Chr2B	379832912	519185944	Chr2B	383297003	522220547	857	0.998610268378063
Chr2B	521331875	701097746	Chr2B	524361940	690376231	1187	0.9892114574557708
Chr2B	703800058	801254636	Chr2B	691169718	785426238	794	0.9755541561712847
