cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr4B	233162	86155240	Chr4B	754465	85319222	811	0.9968249075215783
Chr4B	88370406	155154630	Chr4B	87584551	154982033	384	0.9991093750000001
Chr4B	157172475	164642854	Chr4B	156975489	164437262	12	0.9982500000000001
Chr4B	167236891	207224234	Chr4B	167029913	208155072	177	0.9983728813559322
Chr4B	212453315	226695727	Chr4B	213391825	227810629	37	0.9994864864864865
Chr4B	229815313	233299063	Chr4B	230982365	234499028	4	0.9995
Chr4B	239041518	244739403	Chr4B	242346240	248133860	8	0.9998750000000001
Chr4B	294688008	296591676	Chr4B	300096784	301880290	4	1.0
Chr4B	299196258	302476126	Chr4B	304565698	308893367	5	0.999
Chr4B	305087497	317325008	Chr4B	309648172	322011076	33	0.9995757575757577
Chr4B	322209821	324516341	Chr4B	332864456	335175702	6	0.9993333333333333
Chr4B	326650034	330229225	Chr4B	337191930	340786231	8	0.9998750000000001
Chr4B	332805993	335355652	Chr4B	343445225	346031882	5	0.999
Chr4B	337825898	351612341	Chr4B	348538061	362106965	21	0.9997142857142859
Chr4B	357330117	428374125	Chr4B	367070470	438683326	335	0.9978776119402984
Chr4B	430804721	673727606	Chr4B	441096080	687286933	1804	0.9961446784922395
