gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity	segment
gene:TraesCS2A03G0000200	Chr2A	250369	258919	+	254644	Chr2A	261522	270070	+	265796	0.999	0.999	collinear
gene:TraesCS2A03G0000300	Chr2A	259362	263505	-	261433	Chr2A	270513	274656	-	272584	1.0	1.0	collinear
gene:TraesCS2A03G0000600	Chr2A	272656	273599	-	273127	Chr2A	283815	284758	-	284286	1.0	0.998	collinear
gene:TraesCS2A03G0000700	Chr2A	279352	289424	+	284388	Chr2A	290516	300481	+	295498	1.0	1.0	collinear
gene:TraesCS2A03G0001000	Chr2A	326315	327315	-	326815	Chr2A	337374	338373	-	337873	1.0	1.0	collinear
gene:TraesCS2A03G0001200	Chr2A	389113	391290	+	390201	Chr2A	400144	402321	+	401232	1.0	0.999	collinear
gene:TraesCS2A03G0001400	Chr2A	396069	400877	-	398473	Chr2A	407095	411891	-	409493	0.995	0.995	collinear
gene:TraesCS2A03G0001500	Chr2A	471994	473071	-	472532	Chr2A	483013	484078	-	483545	1.0	1.0	collinear
gene:TraesCS2A03G0001600	Chr2A	498907	502516	+	500711	Chr2A	509909	513518	+	511713	1.0	1.0	collinear
gene:TraesCS2A03G0001800	Chr2A	511382	514968	+	513175	Chr2A	522384	525970	+	524177	1.0	0.999	collinear
gene:TraesCS2A03G0001900	Chr2A	523708	527051	+	525379	Chr2A	534721	538064	+	536392	1.0	0.999	collinear
gene:TraesCS2A03G0002000	Chr2A	527668	531424	-	529546	Chr2A	538681	542433	-	540557	1.0	1.0	collinear
gene:TraesCS2A03G0002200	Chr2A	531622	534531	+	533076	Chr2A	545015	547924	+	546469	1.0	1.0	collinear
gene:TraesCS2A03G0002500	Chr2A	560892	563807	-	562349	Chr2A	574355	577270	-	575812	1.0	1.0	collinear
gene:TraesCS2A03G0002600	Chr2A	578869	583401	-	581135	Chr2A	592332	596864	-	594598	1.0	1.0	collinear
gene:TraesCS2A03G0003200	Chr2A	723635	725724	+	724679	Chr2A	668205	670294	+	669249	1.0	0.999	collinear
gene:TraesCS2A03G0003300	Chr2A	728142	730497	+	729319	Chr2A	672713	675068	+	673890	1.0	1.0	collinear
gene:TraesCS2A03G0003600	Chr2A	780091	780912	+	780501	Chr2A	724657	725478	+	725067	1.0	0.997	collinear
gene:TraesCS2A03G0003700	Chr2A	811926	812799	+	812362	Chr2A	756505	757378	+	756941	1.0	1.0	collinear
gene:TraesCS2A03G0003900	Chr2A	884928	885681	+	885304	Chr2A	829556	830309	+	829932	1.0	0.998	collinear
gene:TraesCS2A03G0004500	Chr2A	1228280	1229883	-	1229081	Chr2A	1150611	1152214	-	1151412	1.0	0.999	collinear
gene:TraesCS2A03G0005600	Chr2A	1423029	1424057	-	1423543	Chr2A	1322836	1323873	-	1323354	1.0	0.99	collinear
gene:TraesCS2A03G0005800	Chr2A	1428836	1440401	-	1434618	Chr2A	1328683	1340304	-	1334493	0.999	0.983	collinear
gene:TraesCS2A03G0006300	Chr2A	1665722	1666219	+	1665970	Chr2A	1698761	1699258	+	1699009	1.0	0.995	collinear
gene:TraesCS2A03G0006500	Chr2A	1751281	1752992	+	1752136	Chr2A	1835668	1837379	+	1836523	1.0	0.999	collinear
gene:TraesCS2A03G0006600	Chr2A	1841287	1843264	+	1842275	Chr2A	1925815	1927792	+	1926803	1.0	1.0	collinear
gene:TraesCS2A03G0006700	Chr2A	1848046	1849956	-	1849001	Chr2A	1932578	1934488	-	1933533	1.0	1.0	collinear
gene:TraesCS2A03G0006900	Chr2A	1921768	1927033	-	1924400	Chr2A	2006401	2011667	-	2009034	1.0	0.999	collinear
gene:TraesCS2A03G0007100	Chr2A	1935100	1941200	+	1938150	Chr2A	2339642	2345733	+	2342687	1.0	0.999	collinear
gene:TraesCS2A03G0008200	Chr2A	2335769	2337055	-	2336412	Chr2A	3177546	3178832	-	3178189	1.0	0.997	collinear
gene:TraesCS2A03G0008500	Chr2A	2383732	2387967	+	2385849	Chr2A	3222799	3227034	+	3224916	0.999	0.998	collinear
gene:TraesCS2A03G0008600	Chr2A	2393912	2399518	+	2396715	Chr2A	3232979	3238586	+	3235782	1.0	1.0	collinear
gene:TraesCS2A03G0008800	Chr2A	2414503	2415411	-	2414957	Chr2A	3300362	3301270	-	3300816	1.0	1.0	collinear
gene:TraesCS2A03G0009300	Chr2A	2428724	2429761	+	2429242	Chr2A	3314802	3315839	+	3315320	1.0	0.999	collinear
gene:TraesCS2A03G0008900	Chr2A	2418285	2444786	+	2431535	Chr2A	3304169	3330869	+	3317519	1.0	0.999	collinear
gene:TraesCS2A03G0009400	Chr2A	2435620	2439903	-	2437761	Chr2A	3321698	3325981	-	3323839	1.0	0.999	collinear
