gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity	segment
gene:TraesCS6B03G0004500	Chr6B	1356705	1358539	+	1357622	Chr6B	2244917	2246751	-	2245834	1.0	1.0	collinear
gene:TraesCS6B03G0004800	Chr6B	1449770	1452891	-	1451330	Chr6B	2149614	2152735	+	2151174	1.0	1.0	collinear
gene:TraesCS6B03G0004900	Chr6B	1463243	1464019	+	1463631	Chr6B	2138544	2139320	-	2138932	1.0	1.0	collinear
gene:TraesCS6B03G0005700	Chr6B	1553584	1555369	-	1554476	Chr6B	2052901	2054686	+	2053793	1.0	1.0	collinear
gene:TraesCS6B03G0006000	Chr6B	1585204	1589474	-	1587339	Chr6B	2018760	2023030	+	2020895	1.0	1.0	collinear
gene:TraesCS6B03G0006900	Chr6B	1960140	1964803	+	1962471	Chr6B	1681826	1686489	-	1684157	1.0	0.999	collinear
gene:TraesCS6B03G0007000	Chr6B	2097695	2158332	-	2128013	Chr6B	1487796	1548467	+	1518131	1.0	1.0	collinear
gene:TraesCS6B03G0007100	Chr6B	2163047	2165544	-	2164295	Chr6B	1480581	1483078	+	1481829	1.0	1.0	collinear
gene:TraesCS6B03G0007700	Chr6B	2507209	2508578	-	2507893	Chr6B	1257543	1258912	+	1258227	1.0	1.0	collinear
gene:TraesCS6B03G0007800	Chr6B	2515997	2524753	-	2520375	Chr6B	1241409	1250165	+	1245787	1.0	1.0	collinear
gene:TraesCS6B03G0008100	Chr6B	2581651	2582883	-	2582267	Chr6B	1183227	1184459	+	1183843	1.0	1.0	collinear
gene:TraesCS6B03G0008800	Chr6B	2813922	2817170	-	2815546	Chr6B	1006956	1010204	+	1008580	1.0	0.999	collinear
gene:TraesCS6B03G0008900	Chr6B	2844462	2845888	-	2845175	Chr6B	978241	979667	+	978954	1.0	1.0	collinear
gene:TraesCS6B03G0009000	Chr6B	2856556	2859543	-	2858049	Chr6B	964587	967574	+	966080	1.0	1.0	collinear
gene:TraesCS6B03G0009100	Chr6B	2860011	2862961	-	2861486	Chr6B	961169	964119	+	962644	1.0	1.0	collinear
gene:TraesCS6B03G0009200	Chr6B	2883247	2888162	-	2885704	Chr6B	936317	941232	+	938774	1.0	1.0	collinear
gene:TraesCS6B03G0009400	Chr6B	2919691	2921230	-	2920460	Chr6B	903981	905520	+	904750	1.0	1.0	collinear
gene:TraesCS6B03G0009600	Chr6B	2938021	2939165	+	2938593	Chr6B	886300	887444	-	886872	1.0	1.0	collinear
gene:TraesCS6B03G0009700	Chr6B	3189981	3196826	-	3193403	Chr6B	847427	854206	+	850816	1.0	1.0	collinear
gene:TraesCS6B03G0010200	Chr6B	3324499	3325296	+	3324897	Chr6B	724156	724953	-	724554	1.0	1.0	collinear
gene:TraesCS6B03G0010300	Chr6B	3344064	3356232	-	3350148	Chr6B	692098	704417	+	698257	1.0	1.0	collinear
gene:TraesCS6B03G0010400	Chr6B	3511477	3514314	+	3512895	Chr6B	538828	541665	-	540246	1.0	1.0	collinear
gene:TraesCS6B03G0010600	Chr6B	3668366	3668803	-	3668584	Chr6B	456635	457072	+	456853	1.0	1.0	collinear
gene:TraesCS6B03G0011000	Chr6B	3849139	3850517	-	3849828	Chr6B	277700	279078	+	278389	1.0	1.0	collinear
gene:TraesCS6B03G0011100	Chr6B	3878854	3880441	+	3879647	Chr6B	248003	249590	-	248796	1.0	0.992	collinear
gene:TraesCS6B03G0011200	Chr6B	3920814	3922484	+	3921649	Chr6B	206690	208360	-	207525	1.0	1.0	collinear
gene:TraesCS6B03G0011300	Chr6B	3978765	3980409	+	3979587	Chr6B	149529	151173	-	150351	1.0	1.0	collinear
gene:TraesCS6B03G0011400	Chr6B	4007165	4008627	-	4007896	Chr6B	121482	122944	+	122213	1.0	0.998	collinear
gene:TraesCS6B03G0011500	Chr6B	4061981	4062939	+	4062460	Chr6B	67925	68883	-	68404	1.0	1.0	collinear
gene:TraesCS6B03G0011600	Chr6B	4066472	4067398	+	4066935	Chr6B	63636	64562	-	64099	1.0	1.0	collinear
gene:TraesCS6B03G0011900	Chr6B	4074231	4078635	-	4076433	Chr6B	52399	56803	+	54601	1.0	1.0	collinear
gene:TraesCS6B03G0012000	Chr6B	4088101	4092324	+	4090212	Chr6B	38795	43037	-	40916	1.0	0.982	collinear
gene:TraesCS6B03G0012100	Chr6B	4094308	4095305	-	4094806	Chr6B	35814	36811	+	36312	1.0	1.0	collinear
gene:TraesCS6B03G0014000	Chr6B	4455874	4461863	+	4458868	Chr6B	16048	22037	-	19042	1.0	1.0	collinear
gene:TraesCS6B03G0014100	Chr6B	4463885	4465277	+	4464581	Chr6B	12634	14026	-	13330	1.0	1.0	collinear
gene:TraesCS6B03G0014800	Chr6B	4784208	4787302	+	4785755	Chr6B	3628457	3631551	+	3630004	1.0	1.0	collinear
gene:TraesCS6B03G0014900	Chr6B	4848885	4871693	-	4860289	Chr6B	3693104	3716061	-	3704582	1.0	1.0	collinear
gene:TraesCS6B03G0015900	Chr6B	4988145	4990408	+	4989276	Chr6B	3834272	3836535	+	3835403	1.0	1.0	collinear
gene:TraesCS6B03G0016100	Chr6B	4998295	4999616	+	4998955	Chr6B	3844422	3845743	+	3845082	1.0	1.0	collinear
gene:TraesCS6B03G0016400	Chr6B	5017617	5021758	+	5019687	Chr6B	3863727	3867868	+	3865797	1.0	1.0	collinear
gene:TraesCS6B03G0016500	Chr6B	5031400	5035651	-	5033525	Chr6B	3877484	3881735	-	3879609	1.0	1.0	collinear
gene:TraesCS6B03G0016600	Chr6B	5267504	5271857	+	5269680	Chr6B	4120182	4124535	+	4122358	1.0	1.0	collinear
gene:TraesCS6B03G0016900	Chr6B	5275373	5277237	+	5276305	Chr6B	4127784	4129648	+	4128716	1.0	1.0	collinear
gene:TraesCS6B03G0017100	Chr6B	5277081	5279442	-	5278261	Chr6B	4129492	4131853	-	4130672	1.0	1.0	collinear
gene:TraesCS6B03G0017400	Chr6B	5286921	5287880	-	5287400	Chr6B	4139331	4140316	-	4139823	1.0	0.901	collinear
gene:TraesCS6B03G0018500	Chr6B	5432365	5434175	-	5433270	Chr6B	4284441	4286251	-	4285346	1.0	1.0	collinear
gene:TraesCS6B03G0018700	Chr6B	5530350	5532958	-	5531654	Chr6B	4382684	4385292	-	4383988	1.0	1.0	collinear
gene:TraesCS6B03G0018800	Chr6B	5556339	5559013	-	5557676	Chr6B	4408009	4410681	-	4409345	1.0	1.0	collinear
gene:TraesCS6B03G0019200	Chr6B	5580392	5588578	-	5584485	Chr6B	4432026	4440196	-	4436111	1.0	1.0	collinear
gene:TraesCS6B03G0019400	Chr6B	6025414	6031378	-	6028396	Chr6B	4781846	4787810	-	4784828	1.0	1.0	collinear
gene:TraesCS6B03G0019500	Chr6B	6041029	6053074	-	6047051	Chr6B	4797150	4809071	-	4803110	1.0	1.0	collinear
gene:TraesCS6B03G0019700	Chr6B	6077589	6087397	-	6082493	Chr6B	4833585	4843393	-	4838489	1.0	0.999	collinear
