gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	SY_Mattis_tgt_strand	SY_Mattis_tgt_midpoint	SY_Mattis_coverage	SY_Mattis_identity	segment
gene:TraesCS6B03G0327300	Chr6B	132888692	132890475	+	132889583	Chr6B	145153827	145155610	-	145154718	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B03G0327500	Chr6B	133166087	133169352	+	133167719	Chr6B	144898034	144901296	-	144899665	0.995	0.995	rearrangement:Chr6B_block2
gene:TraesCS6B03G0327600	Chr6B	133170277	133174850	+	133172563	Chr6B	144892566	144897110	-	144894838	1.0	0.996	rearrangement:Chr6B_block2
gene:TraesCS6B03G0327700	Chr6B	133174844	133177935	-	133176389	Chr6B	144889480	144892572	+	144891026	0.999	0.995	rearrangement:Chr6B_block2
gene:TraesCS6B03G0328000	Chr6B	133446583	133452848	+	133449715	Chr6B	144651521	144657779	-	144654650	0.998	0.997	rearrangement:Chr6B_block2
gene:TraesCS6B03G0328100	Chr6B	133454596	133458177	-	133456386	Chr6B	144646194	144649775	+	144647984	1.0	0.997	rearrangement:Chr6B_block2
gene:TraesCS6B03G0328300	Chr6B	133588098	133597178	-	133592638	Chr6B	144495601	144504683	+	144500142	0.999	0.995	rearrangement:Chr6B_block2
gene:TraesCS6B03G0328600	Chr6B	133858500	133865717	+	133862108	Chr6B	142993148	142998171	+	142995659	0.998	0.996	rearrangement:Chr6B_block2
gene:TraesCS6B03G0329100	Chr6B	134267533	134267900	-	134267716	Chr6B	143442605	143442972	-	143442788	1.0	0.978	rearrangement:Chr6B_block2
gene:TraesCS6B03G0329200	Chr6B	134278388	134289018	-	134283703	Chr6B	142298704	142300625	-	142299664	0.971	0.953	rearrangement:Chr6B_block2
gene:TraesCS6B03G0331400	Chr6B	134990953	134992177	-	134991565	Chr6B	141982755	141983979	+	141983367	1.0	0.998	rearrangement:Chr6B_block2
gene:TraesCS6B03G0331500	Chr6B	135070990	135074978	+	135072984	Chr6B	141907506	141911494	-	141909500	1.0	0.997	rearrangement:Chr6B_block2
gene:TraesCS6B03G0331600	Chr6B	135102784	135104992	+	135103888	Chr6B	141877423	141879639	-	141878531	1.0	0.992	rearrangement:Chr6B_block2
gene:TraesCS6B03G0331700	Chr6B	135105446	135111274	-	135108360	Chr6B	141871141	141876969	+	141874055	1.0	0.998	rearrangement:Chr6B_block2
gene:TraesCS6B03G0331800	Chr6B	135128802	135129457	-	135129129	Chr6B	141864419	141865073	+	141864746	0.998	0.998	rearrangement:Chr6B_block2
gene:TraesCS6B03G0331900	Chr6B	135134219	135137037	-	135135628	Chr6B	141856942	141859645	+	141858293	1.0	0.992	rearrangement:Chr6B_block2
gene:TraesCS6B03G0332400	Chr6B	135279163	135279765	+	135279464	Chr6B	141727776	141728375	-	141728075	0.993	0.991	rearrangement:Chr6B_block2
gene:TraesCS6B03G0333500	Chr6B	135530320	135530763	+	135530541	Chr6B	141457953	141458396	-	141458174	1.0	0.985	rearrangement:Chr6B_block2
gene:TraesCS6B03G0333900	Chr6B	135679277	135681299	+	135680288	Chr6B	141312305	141314327	-	141313316	1.0	0.997	rearrangement:Chr6B_block2
gene:TraesCS6B03G0334000	Chr6B	135682086	135685464	+	135683775	Chr6B	141308150	141311518	-	141309834	0.995	0.99	rearrangement:Chr6B_block2
gene:TraesCS6B03G0334200	Chr6B	135905534	135910763	+	135908148	Chr6B	141117647	141122874	-	141120260	0.999	0.995	rearrangement:Chr6B_block2
gene:TraesCS6B03G0334400	Chr6B	135972345	135973150	-	135972747	Chr6B	141041648	141042450	+	141042049	1.0	0.996	rearrangement:Chr6B_block2
gene:TraesCS6B03G0334600	Chr6B	136143713	136146402	+	136145057	Chr6B	140870578	140873252	-	140871915	0.992	0.988	rearrangement:Chr6B_block2
gene:TraesCS6B03G0334700	Chr6B	136147149	136148495	-	136147822	Chr6B	140868483	140869831	+	140869157	1.0	0.998	rearrangement:Chr6B_block2
gene:TraesCS6B03G0334800	Chr6B	136154614	136158325	+	136156469	Chr6B	140858697	140862357	-	140860527	1.0	0.997	rearrangement:Chr6B_block2
gene:TraesCS6B03G0334900	Chr6B	136167453	136172847	+	136170150	Chr6B	140844176	140849569	-	140846872	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B03G0335000	Chr6B	136304184	136308100	+	136306142	Chr6B	140709042	140712959	-	140711000	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B03G0335300	Chr6B	136651101	136658191	+	136654646	Chr6B	140357129	140364753	-	140360941	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B03G0335500	Chr6B	136762893	136775254	+	136769073	Chr6B	140241192	140253553	-	140247372	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B03G0335600	Chr6B	136791645	136796809	+	136794227	Chr6B	140219129	140224293	-	140221711	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B03G0356700	Chr6B	146603203	146611982	-	146607592	Chr6B	130330626	130339610	+	130335118	1.0	0.999	rearrangement:Chr6B_block1
gene:TraesCS6B03G0356800	Chr6B	146688981	146692937	+	146690959	Chr6B	130245584	130249540	-	130247562	1.0	0.997	rearrangement:Chr6B_block1
gene:TraesCS6B03G0356900	Chr6B	146694902	146709094	-	146701998	Chr6B	130229439	130243632	+	130236535	1.0	0.998	rearrangement:Chr6B_block1
gene:TraesCS6B03G0357000	Chr6B	146861411	146865737	+	146863574	Chr6B	130026082	130029800	-	130027941	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B03G0357100	Chr6B	147032055	147033636	-	147032845	Chr6B	129851602	129853184	+	129852393	1.0	0.996	rearrangement:Chr6B_block1
gene:TraesCS6B03G0358200	Chr6B	147653371	147657333	-	147655352	Chr6B	129429264	129432672	+	129430968	0.989	0.965	rearrangement:Chr6B_block1
gene:TraesCS6B03G0358300	Chr6B	148065960	148069805	+	148067882	Chr6B	128922103	128925967	-	128924035	1.0	0.993	rearrangement:Chr6B_block1
gene:TraesCS6B03G0359000	Chr6B	148110546	148111487	-	148111016	Chr6B	128880998	128881939	+	128881468	1.0	0.996	rearrangement:Chr6B_block1
gene:TraesCS6B03G0359100	Chr6B	148201442	148204853	+	148203147	Chr6B	128752639	128756059	-	128754349	0.998	0.974	rearrangement:Chr6B_block1
gene:TraesCS6B03G0359200	Chr6B	148206631	148211898	-	148209264	Chr6B	128432308	128437569	+	128434938	0.995	0.932	rearrangement:Chr6B_block1
gene:TraesCS6B03G0359700	Chr6B	148575377	148575922	-	148575649	Chr6B	127294370	127294915	+	127294642	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B03G0359800	Chr6B	148591890	148593470	+	148592680	Chr6B	127276744	127278324	-	127277534	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B03G0360300	Chr6B	148684801	148685687	-	148685244	Chr6B	127185100	127185986	+	127185543	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B03G0360800	Chr6B	148961774	148963004	-	148962389	Chr6B	126910931	126912183	+	126911557	1.0	0.997	rearrangement:Chr6B_block1
gene:TraesCS6B03G0360900	Chr6B	148970077	148970928	+	148970502	Chr6B	126903026	126903877	-	126903451	1.0	0.998	rearrangement:Chr6B_block1
gene:TraesCS6B03G0361100	Chr6B	149177424	149178075	-	149177749	Chr6B	126696492	126697143	+	126696817	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B03G0361200	Chr6B	149180811	149183643	-	149182227	Chr6B	126690878	126693712	+	126692295	0.999	0.994	rearrangement:Chr6B_block1
gene:TraesCS6B03G0361300	Chr6B	149412507	149418379	+	149415443	Chr6B	126462545	126468416	-	126465480	1.0	0.999	rearrangement:Chr6B_block1
gene:TraesCS6B03G0361500	Chr6B	149431117	149435682	+	149433399	Chr6B	126454002	126458632	-	126456317	0.989	0.984	rearrangement:Chr6B_block1
gene:TraesCS6B03G0361700	Chr6B	149441185	149443009	-	149442097	Chr6B	126446781	126448608	+	126447694	1.0	0.994	rearrangement:Chr6B_block1
gene:TraesCS6B03G0362200	Chr6B	149488278	149493010	+	149490644	Chr6B	126400317	126405050	-	126402683	0.999	0.994	rearrangement:Chr6B_block1
gene:TraesCS6B03G0362400	Chr6B	149579796	149580515	+	149580155	Chr6B	126322233	126322953	-	126322593	1.0	0.995	rearrangement:Chr6B_block1
gene:TraesCS6B03G0362500	Chr6B	149634070	149638990	+	149636530	Chr6B	126269446	126274366	-	126271906	1.0	0.998	rearrangement:Chr6B_block1
