gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity	segment
gene:TraesCS3B02G012200	Chr3B	5580174	5586213	+	5583193	Chr3B	5833653	5839411	+	5836532	1.0	0.985	rearrangement:Chr3B_block1
gene:TraesCS3B02G012300	Chr3B	5588238	5589018	+	5588628	Chr3B	5841455	5842235	+	5841845	1.0	0.997	rearrangement:Chr3B_block1
gene:TraesCS3B02G012500	Chr3B	5670628	5675430	+	5673029	Chr3B	5940423	5945224	+	5942823	0.997	0.993	rearrangement:Chr3B_block1
gene:TraesCS3B02G013100	Chr3B	5938428	5940219	+	5939323	Chr3B	6016895	6018686	-	6017790	1.0	0.988	rearrangement:Chr3B_block1
gene:TraesCS3B02G013200	Chr3B	5949070	5952480	+	5950775	Chr3B	6003429	6006839	-	6005134	1.0	0.997	rearrangement:Chr3B_block1
gene:TraesCS3B02G013300	Chr3B	5952761	5955519	-	5954140	Chr3B	6000394	6003149	+	6001771	0.998	0.995	rearrangement:Chr3B_block1
gene:TraesCS3B02G014000	Chr3B	6085506	6085867	+	6085686	Chr3B	6410563	6410927	+	6410745	1.0	0.95	rearrangement:Chr3B_block1
gene:TraesCS3B02G014100	Chr3B	6096159	6098276	-	6097217	Chr3B	6422191	6424315	-	6423253	1.0	0.978	rearrangement:Chr3B_block1
gene:TraesCS3B02G014200	Chr3B	6114654	6115024	+	6114839	Chr3B	6434485	6434855	+	6434670	1.0	0.98	rearrangement:Chr3B_block1
gene:TraesCS3B02G014300	Chr3B	6117536	6118986	+	6118261	Chr3B	6437366	6438776	+	6438071	0.961	0.957	rearrangement:Chr3B_block1
gene:TraesCS3B02G014400	Chr3B	6126328	6127544	+	6126936	Chr3B	6446115	6447338	+	6446726	1.0	0.986	rearrangement:Chr3B_block1
gene:TraesCS3B02G014500	Chr3B	6177980	6178705	-	6178342	Chr3B	6487282	6488007	-	6487644	1.0	1.0	rearrangement:Chr3B_block1
gene:TraesCS3B02G014600	Chr3B	6181350	6181663	+	6181506	Chr3B	6490651	6490964	+	6490807	1.0	1.0	rearrangement:Chr3B_block1
gene:TraesCS3B02G014700	Chr3B	6219971	6221056	-	6220513	Chr3B	6529049	6530134	-	6529591	1.0	1.0	rearrangement:Chr3B_block1
