gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity	segment
gene:TraesCS2A03G0505200	Chr2A	262294868	262296867	+	262295867	Chr2A	249804873	249806876	-	249805874	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A03G0505600	Chr2A	262366697	262367697	+	262367197	Chr2A	249724495	249725494	-	249724994	0.998	0.993	rearrangement:Chr2A_block1
gene:TraesCS2A03G0505800	Chr2A	262367581	262394709	-	262381145	Chr2A	249697487	249724611	+	249711049	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A03G0505900	Chr2A	262855209	262870895	-	262863052	Chr2A	249205123	249220810	+	249212966	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A03G0506300	Chr2A	265047108	265048254	+	265047681	Chr2A	246926030	246927176	-	246926603	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0507000	Chr2A	265667137	265679438	-	265673287	Chr2A	246263152	246275533	+	246269342	0.999	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A03G0508200	Chr2A	266532149	266533195	-	266532672	Chr2A	245390234	245391280	+	245390757	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0508300	Chr2A	266609481	266610966	-	266610223	Chr2A	245312572	245314057	+	245313314	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0508600	Chr2A	266651440	266661617	-	266656528	Chr2A	245256796	245272052	+	245264424	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0509100	Chr2A	267060327	267064374	+	267062350	Chr2A	244832159	244836206	-	244834182	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0509300	Chr2A	267064933	267068314	-	267066623	Chr2A	244828219	244831600	+	244829909	1.0	1.0	rearrangement:Chr2A_block1
