gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity	segment
gene:TraesCS7B02G002900	Chr7B	1202960	1208805	-	1205882	Chr7B	23579	29435	-	26507	0.989	0.979	collinear
gene:TraesCS7B02G003000	Chr7B	1254479	1262607	-	1258543	Chr7B	42676	50555	-	46615	0.987	0.972	collinear
gene:TraesCS7B02G003100	Chr7B	1269606	1276585	-	1273095	Chr7B	57530	64499	-	61014	0.996	0.996	collinear
gene:TraesCS7B02G003200	Chr7B	1277261	1283594	-	1280427	Chr7B	65175	71508	-	68341	1.0	1.0	collinear
gene:TraesCS7B02G003300	Chr7B	1304370	1309391	+	1306880	Chr7B	91987	97011	+	94499	1.0	0.998	collinear
gene:TraesCS7B02G003400	Chr7B	1313393	1327596	+	1320494	Chr7B	101013	115216	+	108114	1.0	1.0	collinear
gene:TraesCS7B02G003500	Chr7B	1331541	1331921	+	1331731	Chr7B	119161	119541	+	119351	1.0	1.0	collinear
gene:TraesCS7B02G003600	Chr7B	1351479	1352210	+	1351844	Chr7B	190938	191669	+	191303	1.0	1.0	collinear
gene:TraesCS7B02G003700	Chr7B	1364532	1364921	+	1364726	Chr7B	203749	204138	+	203943	1.0	1.0	collinear
gene:TraesCS7B02G003800	Chr7B	1436945	1438038	+	1437491	Chr7B	259513	260606	+	260059	1.0	0.999	collinear
gene:TraesCS7B02G003900	Chr7B	1482228	1483396	+	1482812	Chr7B	303957	305125	+	304541	1.0	0.999	collinear
gene:TraesCS7B02G004000	Chr7B	1697699	1697938	+	1697818	Chr7B	518156	518395	+	518275	1.0	1.0	collinear
gene:TraesCS7B02G004100	Chr7B	1775655	1776203	-	1775929	Chr7B	605757	606305	-	606031	1.0	0.987	collinear
gene:TraesCS7B02G004400	Chr7B	2098559	2101882	+	2100220	Chr7B	882275	885572	+	883923	1.0	0.993	collinear
gene:TraesCS7B02G004600	Chr7B	2334104	2335649	+	2334876	Chr7B	1438020	1439542	+	1438781	0.977	0.924	collinear
gene:TraesCS7B02G004700	Chr7B	2561961	2563614	-	2562787	Chr7B	1696202	1697855	-	1697028	1.0	0.997	collinear
gene:TraesCS7B02G004800	Chr7B	2749130	2750569	+	2749849	Chr7B	1882608	1884047	+	1883327	1.0	1.0	collinear
gene:TraesCS7B02G004900	Chr7B	2784380	2786335	+	2785357	Chr7B	1898639	1900594	+	1899616	1.0	1.0	collinear
gene:TraesCS7B02G005000	Chr7B	2786932	2791262	-	2789097	Chr7B	1901191	1905277	-	1903234	1.0	0.968	collinear
gene:TraesCS7B02G005100	Chr7B	2889801	2895704	-	2892752	Chr7B	2005613	2011517	-	2008565	1.0	1.0	collinear
gene:TraesCS7B02G005200	Chr7B	2911028	2919723	-	2915375	Chr7B	2026822	2035517	-	2031169	1.0	1.0	collinear
gene:TraesCS7B02G005400	Chr7B	2933018	2941833	+	2937425	Chr7B	2048811	2057626	+	2053218	1.0	1.0	collinear
gene:TraesCS7B02G005500	Chr7B	2944187	2948732	-	2946459	Chr7B	2059980	2064525	-	2062252	1.0	1.0	collinear
gene:TraesCS7B02G005600	Chr7B	3094550	3094837	-	3094693	Chr7B	2209797	2210084	-	2209940	1.0	1.0	collinear
gene:TraesCS7B02G005700	Chr7B	3142300	3151017	-	3146658	Chr7B	2257312	2266029	-	2261670	1.0	1.0	collinear
gene:TraesCS7B02G005800	Chr7B	3170935	3175101	+	3173018	Chr7B	2285574	2289740	+	2287657	1.0	1.0	collinear
gene:TraesCS7B02G005900	Chr7B	3179490	3183749	-	3181619	Chr7B	2294129	2298388	-	2296258	1.0	1.0	collinear
gene:TraesCS7B02G006000	Chr7B	3329386	3333128	+	3331257	Chr7B	2443122	2446875	+	2444998	1.0	0.991	collinear
gene:TraesCS7B02G006100	Chr7B	3340904	3342548	-	3341726	Chr7B	2454618	2456262	-	2455440	1.0	1.0	collinear
gene:TraesCS7B02G006200	Chr7B	3362838	3364583	+	3363710	Chr7B	2476729	2478474	+	2477601	1.0	0.998	collinear
gene:TraesCS7B02G006300	Chr7B	3540080	3541719	+	3540899	Chr7B	2652325	2653964	+	2653144	1.0	1.0	collinear
gene:TraesCS7B02G006400	Chr7B	3684186	3689427	+	3686806	Chr7B	2794972	2800213	+	2797592	1.0	1.0	collinear
gene:TraesCS7B02G006500	Chr7B	3695054	3696459	-	3695756	Chr7B	2805861	2807254	-	2806557	0.99	0.988	collinear
gene:TraesCS7B02G006600	Chr7B	3699820	3701864	-	3700842	Chr7B	2810542	2812752	-	2811647	1.0	0.998	collinear
gene:TraesCS7B02G006700	Chr7B	3789679	3794857	+	3792268	Chr7B	2899727	2904905	+	2902316	1.0	0.999	collinear
gene:TraesCS7B02G006800	Chr7B	3795056	3797564	-	3796310	Chr7B	2905104	2907612	-	2906358	1.0	0.998	collinear
gene:TraesCS7B02G006900	Chr7B	3846939	3849534	+	3848236	Chr7B	2956725	2959320	+	2958022	1.0	0.999	collinear
gene:TraesCS7B02G007100	Chr7B	3882349	3883686	+	3883017	Chr7B	2989949	2991286	+	2990617	1.0	0.999	collinear
gene:TraesCS7B02G007200	Chr7B	3894585	3896614	-	3895599	Chr7B	3001607	3003636	-	3002621	1.0	0.999	collinear
gene:TraesCS7B02G007300	Chr7B	4005015	4012898	+	4008956	Chr7B	3110193	3117556	+	3113874	1.0	1.0	collinear
gene:TraesCS7B02G007400	Chr7B	4093717	4099494	+	4096605	Chr7B	3197613	3203390	+	3200501	1.0	1.0	collinear
gene:TraesCS7B02G007500	Chr7B	4137615	4137818	-	4137716	Chr7B	3241258	3241461	-	3241359	1.0	1.0	collinear
gene:TraesCS7B02G007600	Chr7B	4145677	4149860	+	4147768	Chr7B	3249034	3253217	+	3251125	1.0	1.0	collinear
gene:TraesCS7B02G007700	Chr7B	4202081	4202336	-	4202208	Chr7B	3305170	3305425	-	3305297	1.0	1.0	collinear
gene:TraesCS7B02G007800	Chr7B	4312036	4318714	+	4315375	Chr7B	3417836	3424514	+	3421175	1.0	1.0	collinear
gene:TraesCS7B02G012400	Chr7B	8519789	8526697	-	8523243	Chr7B	6987546	6994443	-	6990994	0.994	0.993	collinear
gene:TraesCS7B02G012500	Chr7B	8859289	8863598	+	8861443	Chr7B	7455662	7459971	+	7457816	1.0	1.0	collinear
gene:TraesCS7B02G012600	Chr7B	8865538	8868430	-	8866984	Chr7B	7461638	7464528	-	7463083	1.0	0.998	collinear
gene:TraesCS7B02G012700	Chr7B	8880922	8889623	-	8885272	Chr7B	7477025	7486328	-	7481676	0.994	0.98	collinear
gene:TraesCS7B02G012800	Chr7B	8917144	8917597	-	8917370	Chr7B	7524605	7525058	-	7524831	1.0	0.982	collinear
gene:TraesCS7B02G012884	Chr7B	8928556	8929029	-	8928792	Chr7B	7535949	7536422	-	7536185	1.0	1.0	collinear
gene:TraesCS7B02G012900	Chr7B	8932376	8933817	-	8933096	Chr7B	7539769	7541210	-	7540489	1.0	0.998	collinear
gene:TraesCS7B02G013001	Chr7B	8988470	8988937	-	8988703	Chr7B	7595401	7595868	-	7595634	1.0	1.0	collinear
gene:TraesCS7B02G013000	Chr7B	8993313	8994132	-	8993722	Chr7B	7600242	7601061	-	7600651	1.0	0.998	collinear
gene:TraesCS7B02G013100	Chr7B	9702354	9704354	+	9703354	Chr7B	7924409	7926409	-	7925409	1.0	1.0	collinear
gene:TraesCS7B02G013200	Chr7B	9750728	9753050	+	9751889	Chr7B	8362809	8364801	+	8363805	1.0	1.0	collinear
gene:TraesCS7B02G013300	Chr7B	9754094	9760088	-	9757091	Chr7B	8365845	8371876	-	8368860	1.0	0.977	collinear
