cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr7A	6628009	11830447	Chr7A	9219277	13725458	43	0.9758372093023256
Chr7A	15305531	17513243	Chr7A	14017884	16486282	40	0.988175
Chr7A	19694147	74955432	Chr7A	17180553	71429848	651	0.994542242703533
Chr7A	77011021	149795904	Chr7A	72599104	145258397	682	0.9968372434017596
Chr7A	160757705	164867228	Chr7A	157226293	161953145	33	0.9908787878787878
Chr7A	178002849	316231457	Chr7A	173302383	311306565	689	0.9978359941944848
Chr7A	318780197	364830171	Chr7A	313794864	359483255	84	0.9991428571428572
Chr7A	367537951	393376082	Chr7A	363694357	388933327	37	0.999810810810811
Chr7A	396497557	734393981	Chr7A	392060659	726805542	2418	0.9965082712985938
Chr7A	737400895	740517251	Chr7A	729816769	732449653	33	0.9814545454545456
Chr7A	743091198	744351584	Chr7A	733506805	734463570	14	0.9633571428571428
