cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr2A	254644	812362	Chr2A	1779887	2433168	18	0.9907222222222222
Chr2A	5072908	6210368	Chr2A	7065951	8066955	40	0.9908999999999999
Chr2A	338731991	339973117	Chr2A	327362365	328609793	25	1.0
Chr2A	341776760	342646626	Chr2A	324698773	325568020	6	1.0
Chr2A	885304	245450318	Chr2A	132543	238878757	2130	0.9985089201877935
Chr2A	253743190	256655987	Chr2A	247163079	250056305	6	0.9998333333333335
Chr2A	260439994	262863052	Chr2A	253842184	256271839	8	1.0
Chr2A	265047681	267066623	Chr2A	258450545	260464870	7	1.0
Chr2A	269745498	277781081	Chr2A	263139415	271130252	16	1.0
Chr2A	279829079	286214975	Chr2A	273166500	279508624	23	0.9997826086956522
Chr2A	288400047	290885926	Chr2A	281688141	284171532	5	1.0
Chr2A	293418889	298305444	Chr2A	286699737	291605919	7	1.0
Chr2A	301588230	310989480	Chr2A	294909194	304238677	11	0.9997272727272727
Chr2A	313973952	319393694	Chr2A	307188953	312620075	7	1.0
Chr2A	322290657	328918706	Chr2A	315498675	322128641	12	0.9999166666666667
Chr2A	333879690	337895321	Chr2A	329422720	333428071	8	1.0
Chr2A	344692562	366697851	Chr2A	340425746	362982494	34	1.0
Chr2A	368718225	399870506	Chr2A	365004750	395950212	101	0.9977821782178218
Chr2A	404353227	404860525	Chr2A	400386890	400889654	4	1.0
Chr2A	409607272	490304153	Chr2A	405596797	486171605	278	0.9995503597122302
Chr2A	492634434	551591979	Chr2A	488497101	547061268	318	0.9997830188679244
Chr2A	553651491	763531066	Chr2A	549088049	758723005	2229	0.997587707492149
Chr2A	767251608	771923071	Chr2A	761880135	766933682	83	0.9991807228915661
Chr2A	775318108	787195035	Chr2A	767799291	778140176	195	0.9959076923076923
Chr2A	766491793	767013624	Chr2A	767171501	767691542	15	1.0
Chr2A	772031616	774933610	Chr2A	758895701	761771503	36	0.9973333333333334
