gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	Fielder_tgt_strand	Fielder_tgt_midpoint	Fielder_coverage	Fielder_identity	segment
gene:TraesCS3D03G0016900	Chr3D	2965361	2969762	+	2967561	Chr3D	8337891	8342402	+	8340146	0.993	0.936	collinear
gene:TraesCS3D03G0017100	Chr3D	3024974	3029545	+	3027259	Chr3D	8401338	8406345	+	8403841	0.989	0.91	collinear
gene:TraesCS3D03G0028000	Chr3D	5150285	5152919	-	5151602	Chr3D	14845357	14847970	+	14846663	0.982	0.924	collinear
gene:TraesCS3D03G0028700	Chr3D	5379183	5382995	-	5381089	Chr3D	10934713	10938462	-	10936587	0.988	0.906	collinear
gene:TraesCS3D03G0028800	Chr3D	5384693	5385410	+	5385051	Chr3D	11086643	11087362	+	11087002	1.0	0.957	collinear
gene:TraesCS3D03G0051800	Chr3D	10347697	10348291	-	10347994	Chr3D	15856864	15857459	+	15857161	1.0	0.992	collinear
gene:TraesCS3D03G0079000	Chr3D	17290685	17291541	-	17291113	Chr3D	22989159	22990015	-	22989587	1.0	1.0	collinear
gene:TraesCS3D03G0079100	Chr3D	17325812	17326668	-	17326240	Chr3D	23024286	23025142	-	23024714	1.0	1.0	collinear
gene:TraesCS3D03G0079300	Chr3D	17344865	17346337	-	17345601	Chr3D	23043347	23044819	-	23044083	1.0	1.0	collinear
gene:TraesCS3D03G0079400	Chr3D	17348668	17380973	+	17364820	Chr3D	23047150	23079456	+	23063303	1.0	1.0	collinear
gene:TraesCS3D03G0079600	Chr3D	17394377	17395503	-	17394940	Chr3D	23092854	23093980	-	23093417	1.0	1.0	collinear
gene:TraesCS3D03G0079700	Chr3D	17409870	17410325	-	17410097	Chr3D	23108348	23108803	-	23108575	1.0	1.0	collinear
gene:TraesCS3D03G0079800	Chr3D	17416348	17416803	-	17416575	Chr3D	23114826	23115281	-	23115053	1.0	1.0	collinear
gene:TraesCS3D03G0079900	Chr3D	17437752	17438210	-	17437981	Chr3D	23141130	23141588	-	23141359	1.0	1.0	collinear
gene:TraesCS3D03G0080000	Chr3D	17444037	17444957	-	17444497	Chr3D	23147408	23148328	-	23147868	1.0	1.0	collinear
gene:TraesCS3D03G0080100	Chr3D	17518115	17542633	-	17530374	Chr3D	23221488	23246007	-	23233747	1.0	0.999	collinear
gene:TraesCS3D03G0080400	Chr3D	17558001	17558765	+	17558383	Chr3D	23261400	23262145	+	23261772	0.975	0.971	collinear
gene:TraesCS3D03G0080600	Chr3D	17561064	17561612	+	17561338	Chr3D	23278608	23279156	-	23278882	1.0	1.0	collinear
gene:TraesCS3D03G0080500	Chr3D	17561064	17561612	+	17561338	Chr3D	23278608	23279156	-	23278882	1.0	1.0	collinear
gene:TraesCS3D03G0081000	Chr3D	17578395	17578850	-	17578622	Chr3D	23281734	23282189	-	23281961	1.0	1.0	collinear
gene:TraesCS3D03G0081100	Chr3D	17589009	17589802	-	17589405	Chr3D	23292361	23293154	-	23292757	1.0	0.998	collinear
gene:TraesCS3D03G0081200	Chr3D	17600072	17600527	+	17600299	Chr3D	23303433	23303888	+	23303660	1.0	0.997	collinear
gene:TraesCS3D03G0081400	Chr3D	17639392	17668062	-	17653727	Chr3D	23342712	23371383	-	23357047	1.0	1.0	collinear
gene:TraesCS3D03G0082300	Chr3D	17742624	17744343	-	17743483	Chr3D	23445926	23447645	-	23446785	1.0	1.0	collinear
gene:TraesCS3D03G0082400	Chr3D	17772573	17774200	-	17773386	Chr3D	23475896	23477523	-	23476709	1.0	0.999	collinear
gene:TraesCS3D03G0082500	Chr3D	17788157	17788906	+	17788531	Chr3D	23491480	23492229	+	23491854	1.0	0.998	collinear
gene:TraesCS3D03G0082600	Chr3D	17833408	17838485	+	17835946	Chr3D	23536763	23541841	+	23539302	1.0	1.0	collinear
gene:TraesCS3D03G0082700	Chr3D	17856218	17872881	+	17864549	Chr3D	23559591	23576262	+	23567926	1.0	1.0	collinear
gene:TraesCS3D03G0086000	Chr3D	18796563	18805910	+	18801236	Chr3D	24750672	24760020	+	24755346	1.0	1.0	collinear
gene:TraesCS3D03G0086200	Chr3D	18818848	18851211	+	18835029	Chr3D	24772959	24805324	+	24789141	1.0	1.0	collinear
gene:TraesCS3D03G0086300	Chr3D	18880448	18881629	+	18881038	Chr3D	24834571	24835752	+	24835161	1.0	1.0	collinear
gene:TraesCS3D03G0086500	Chr3D	18897357	18912712	+	18905034	Chr3D	24851494	24866846	+	24859170	0.999	0.983	collinear
gene:TraesCS3D03G0086600	Chr3D	18929551	18930507	+	18930029	Chr3D	24883778	24884734	+	24884256	1.0	1.0	collinear
gene:TraesCS3D03G0086700	Chr3D	18946582	18956321	+	18951451	Chr3D	24900815	24910548	+	24905681	1.0	0.999	collinear
gene:TraesCS3D03G0086800	Chr3D	19049713	19052333	+	19051023	Chr3D	25003379	25005999	+	25004689	1.0	1.0	collinear
gene:TraesCS3D03G0086900	Chr3D	19070437	19075841	+	19073139	Chr3D	25024105	25029509	+	25026807	1.0	1.0	collinear
gene:TraesCS3D03G0087000	Chr3D	19078299	19078673	-	19078486	Chr3D	25031965	25032339	-	25032152	1.0	1.0	collinear
gene:TraesCS3D03G0087200	Chr3D	19099302	19099875	-	19099588	Chr3D	25052974	25053547	-	25053260	1.0	1.0	collinear
gene:TraesCS3D03G0087300	Chr3D	19190134	19190308	+	19190221	Chr3D	25142914	25143088	+	25143001	1.0	1.0	collinear
gene:TraesCS3D03G0088300	Chr3D	19320683	19322303	+	19321493	Chr3D	25273135	25274615	+	25273875	0.908	0.908	collinear
gene:TraesCS3D03G0088700	Chr3D	19334083	19335935	-	19335009	Chr3D	25285134	25286986	-	25286060	1.0	1.0	collinear
gene:TraesCS3D03G0089000	Chr3D	19393423	19396275	-	19394849	Chr3D	25344505	25347357	-	25345931	1.0	1.0	collinear
gene:TraesCS3D03G0089300	Chr3D	19564496	19568017	-	19566256	Chr3D	25514733	25518254	-	25516493	1.0	1.0	collinear
gene:TraesCS3D03G0090100	Chr3D	19903323	19904689	+	19904006	Chr3D	25853681	25855047	+	25854364	1.0	1.0	collinear
gene:TraesCS3D03G0090200	Chr3D	19907622	19911403	-	19909512	Chr3D	25857979	25861760	-	25859869	1.0	1.0	collinear
gene:TraesCS3D03G0090600	Chr3D	19976984	19978569	+	19977776	Chr3D	25926343	25927928	+	25927135	1.0	1.0	collinear
gene:TraesCS3D03G0090800	Chr3D	19982184	19984800	-	19983492	Chr3D	25930813	25933429	-	25932121	1.0	1.0	collinear
gene:TraesCS3D03G0091300	Chr3D	20035230	20038422	+	20036826	Chr3D	25987703	25990895	+	25989299	1.0	1.0	collinear
gene:TraesCS3D03G0092100	Chr3D	20226391	20227295	-	20226843	Chr3D	26178423	26179327	-	26178875	1.0	1.0	collinear
gene:TraesCS3D03G0092200	Chr3D	20252996	20253397	-	20253196	Chr3D	26205031	26205432	-	26205231	1.0	1.0	collinear
gene:TraesCS3D03G0092500	Chr3D	20351605	20352438	-	20352021	Chr3D	26303641	26304474	-	26304057	1.0	1.0	collinear
gene:TraesCS3D03G0092600	Chr3D	20364077	20366187	-	20365132	Chr3D	26316114	26318229	-	26317171	0.997	0.991	collinear
gene:TraesCS3D03G0093500	Chr3D	20572007	20572804	-	20572405	Chr3D	26522879	26523676	-	26523277	1.0	1.0	collinear
gene:TraesCS3D03G0093600	Chr3D	20579254	20579718	-	20579486	Chr3D	26530118	26530582	-	26530350	1.0	1.0	collinear
gene:TraesCS3D03G0095000	Chr3D	21019119	21020208	+	21019663	Chr3D	26983763	26984852	+	26984307	1.0	1.0	collinear
gene:TraesCS3D03G0095400	Chr3D	21213997	21214317	-	21214157	Chr3D	31134464	31134784	-	31134624	1.0	1.0	collinear
gene:TraesCS3D03G0095800	Chr3D	21260500	21261032	-	21260766	Chr3D	31181037	31181569	-	31181303	1.0	1.0	collinear
gene:TraesCS3D03G0096000	Chr3D	21336911	21337662	-	21337286	Chr3D	31256952	31257701	-	31257326	1.0	1.0	collinear
gene:TraesCS3D03G0096300	Chr3D	21772332	21773589	-	21772960	Chr3D	32262244	32263501	-	32262872	1.0	1.0	collinear
gene:TraesCS3D03G0096400	Chr3D	21796592	21798779	+	21797685	Chr3D	32286504	32288691	+	32287597	1.0	1.0	collinear
gene:TraesCS3D03G0096600	Chr3D	21891750	21892811	+	21892280	Chr3D	32381666	32382727	+	32382196	1.0	1.0	collinear
gene:TraesCS3D03G0096900	Chr3D	21897618	21898567	+	21898092	Chr3D	32387534	32388232	+	32387883	1.0	0.998	collinear
gene:TraesCS3D03G0097100	Chr3D	21899382	21899525	-	21899453	Chr3D	32389048	32389191	-	32389119	1.0	1.0	collinear
gene:TraesCS3D03G0097400	Chr3D	21899899	21900150	-	21900024	Chr3D	32389565	32389816	-	32389690	1.0	1.0	collinear
gene:TraesCS3D03G0098000	Chr3D	21903478	21903990	+	21903734	Chr3D	32393144	32393656	+	32393400	1.0	1.0	collinear
gene:TraesCS3D03G0098100	Chr3D	21904153	21904512	-	21904332	Chr3D	32393819	32394178	-	32393998	1.0	0.996	collinear
gene:TraesCS3D03G0098300	Chr3D	21905997	21906647	-	21906322	Chr3D	32395126	32395776	-	32395451	1.0	1.0	collinear
gene:TraesCS3D03G0098400	Chr3D	21907250	21908670	+	21907960	Chr3D	32396379	32397799	+	32397089	1.0	1.0	collinear
gene:TraesCS3D03G0098700	Chr3D	22049282	22054560	-	22051921	Chr3D	32538463	32543741	-	32541102	1.0	1.0	collinear
gene:TraesCS3D03G0098900	Chr3D	22086168	22094049	+	22090108	Chr3D	32575349	32583235	+	32579292	1.0	1.0	collinear
