cs_chr	Chuanmai104_tgt_chr	n_anchors	Chuanmai104_mean_anchor_gap_Mb	Chuanmai104_interp_type	n_segments	Chuanmai104_mean_anchor_fraction
Chr1A	Chr1A	3637	0.162	linear	1	0.915
Chr1B	Chr1B	3848	0.173	linear	1	0.846
Chr1D	Chr1D	4331	0.114	linear	1	0.978
Chr2A	Chr2A	4912	0.158	linear	1	0.823
Chr2B	Chr2B	5452	0.147	linear	1	0.919
Chr2D	Chr2D	5527	0.117	linear	1	0.97
Chr3A	Chr3A	4896	0.153	linear	1	0.95
Chr3B	Chr3B	4920	0.167	linear	1	0.887
Chr3D	Chr3D	4800	0.128	linear	1	0.927
Chr4A	Chr4A	3497	0.201	linear	1	0.779
Chr4B	Chr4B	3584	0.188	linear	1	0.796
Chr4D	Chr4D	3526	0.145	linear	1	0.992
Chr5A	Chr5A	5102	0.139	linear	1	0.933
Chr5B	Chr5B	5097	0.14	linear	1	0.934
Chr5D	Chr5D	5375	0.105	linear	1	0.979
Chr6A	Chr6A	3686	0.166	linear	1	0.917
Chr6B	Chr6B	3843	0.188	linear	1	0.759
Chr6D	Chr6D	3882	0.122	linear	1	0.978
Chr7A	Chr7A	4953	0.149	linear	1	0.924
Chr7B	Chr7B	3624	0.207	linear	1	0.666
Chr7D	Chr7D	4950	0.126	linear	1	0.955
