cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr6B	132889583	136794227	Chr6B	140221711	145154718	30	0.9938
Chr6B	146607592	150342463	Chr6B	125554456	130335118	28	0.9923214285714285
Chr6B	185573418	206785393	Chr6B	207328411	228999503	114	0.997201754385965
Chr6B	216747540	233183930	Chr6B	180332039	197141104	71	0.9938169014084508
Chr6B	352634401	363784669	Chr6B	377782048	390264980	27	0.9986296296296295
Chr6B	367054723	375071770	Chr6B	366271734	374495861	13	0.9984615384615385
Chr6B	393616244	405619773	Chr6B	341996577	353402411	32	0.99771875
Chr6B	438515907	449326149	Chr6B	406844997	417692132	51	0.9988039215686274
Chr6B	141140	11185981	Chr6B	25340	11602088	102	0.9845882352941177
Chr6B	13747007	109698670	Chr6B	12006200	103184369	846	0.9918676122931441
Chr6B	112200748	114854793	Chr6B	105691427	108364882	7	0.9995714285714286
Chr6B	117445277	132536595	Chr6B	110866214	125216082	110	0.9921454545454543
Chr6B	137046898	146448224	Chr6B	130492028	139969190	58	0.9896379310344827
Chr6B	150857498	184521061	Chr6B	145640272	179560839	209	0.9916794258373204
Chr6B	207577753	215382207	Chr6B	198544885	206534013	46	0.9979130434782606
Chr6B	233725683	246426312	Chr6B	229677250	242248743	79	0.999518987341772
Chr6B	249274084	256302862	Chr6B	245154992	251590740	22	0.994409090909091
Chr6B	261263057	268713242	Chr6B	252456111	259879404	31	0.9976451612903227
Chr6B	271066163	271204143	Chr6B	262239541	262383878	6	0.9973333333333333
Chr6B	275888096	289129738	Chr6B	266286572	279915365	44	0.9982954545454547
Chr6B	292829101	299893030	Chr6B	283953157	291242264	24	0.9939166666666667
Chr6B	301908638	308701890	Chr6B	292431865	299263273	27	0.9964814814814815
Chr6B	310986731	313112851	Chr6B	301502343	303628052	6	0.9991666666666666
Chr6B	316442915	327439454	Chr6B	304100490	316228897	19	0.9976315789473685
Chr6B	340390557	344124960	Chr6B	318158654	323102292	5	0.999
Chr6B	348550830	349949438	Chr6B	338908654	340217058	5	0.9960000000000001
Chr6B	376074235	376711447	Chr6B	364790254	365422857	4	0.99925
Chr6B	382866904	387071487	Chr6B	358434414	363534027	6	0.9993333333333334
Chr6B	410641112	425707315	Chr6B	391245864	406169730	39	0.9969743589743589
Chr6B	452819490	460856688	Chr6B	421193598	428963802	42	0.9940000000000001
Chr6B	471560376	486984757	Chr6B	439375174	458679387	81	0.9976666666666666
Chr6B	499685333	508499992	Chr6B	474333112	483118293	44	0.9975681818181819
Chr6B	524252260	629148387	Chr6B	496057297	598739008	642	0.9972242990654205
Chr6B	631157333	635284956	Chr6B	600643493	604671779	33	0.9934545454545454
Chr6B	638657051	729308455	Chr6B	607181947	698807557	869	0.9894188722669736
Chr6B	462306415	470351073	Chr6B	429546351	437798231	48	0.9955625
Chr6B	487505961	498806667	Chr6B	483993885	495616630	49	0.9933061224489795
Chr6B	508782026	523759415	Chr6B	459161509	474051265	95	0.9991684210526316
Chr6B	729837297	731065543	Chr6B	683712291	684920695	23	0.9829565217391305
