gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity
gene:TraesCS4D03G0000100	Chr4D	409970	411319	-	410644	Chr4D	62393	63742	-	63067	1.0	1.0
gene:TraesCS4D03G0000200	Chr4D	459723	463379	+	461551	Chr4D	112389	116045	+	114217	1.0	1.0
gene:TraesCS4D03G0000300	Chr4D	463559	465496	-	464527	Chr4D	116225	118162	-	117193	1.0	1.0
gene:TraesCS4D03G0000500	Chr4D	465900	467545	-	466722	Chr4D	118566	120202	-	119384	1.0	1.0
gene:TraesCS4D03G0000700	Chr4D	475371	480193	+	477782	Chr4D	128037	132508	+	130272	1.0	1.0
gene:TraesCS4D03G0000800	Chr4D	536039	548069	+	542054	Chr4D	188191	200221	+	194206	1.0	1.0
gene:TraesCS4D03G0000900	Chr4D	603219	607023	-	605121	Chr4D	255075	258879	-	256977	1.0	1.0
gene:TraesCS4D03G0001000	Chr4D	607335	608738	+	608036	Chr4D	259191	260594	+	259892	1.0	1.0
gene:TraesCS4D03G0001200	Chr4D	610012	615059	-	612535	Chr4D	261868	266999	-	264433	0.999	0.955
gene:TraesCS4D03G0001300	Chr4D	624082	627372	+	625727	Chr4D	275732	279022	+	277377	1.0	0.998
gene:TraesCS4D03G0001400	Chr4D	658413	659236	+	658824	Chr4D	309867	310690	+	310278	1.0	1.0
gene:TraesCS4D03G0001700	Chr4D	734129	734515	+	734322	Chr4D	384630	385016	+	384823	1.0	1.0
gene:TraesCS4D03G0001800	Chr4D	757227	759482	-	758354	Chr4D	405814	408069	-	406941	1.0	1.0
gene:TraesCS4D03G0002200	Chr4D	1179628	1183031	+	1181329	Chr4D	824834	828237	+	826535	1.0	1.0
gene:TraesCS4D03G0002300	Chr4D	1192267	1194439	+	1193353	Chr4D	837467	839639	+	838553	1.0	0.999
gene:TraesCS4D03G0002500	Chr4D	1196998	1198699	-	1197848	Chr4D	842198	843899	-	843048	1.0	1.0
gene:TraesCS4D03G0002600	Chr4D	1200365	1201407	+	1200886	Chr4D	845565	846607	+	846086	1.0	1.0
gene:TraesCS4D03G0002700	Chr4D	1224901	1226574	+	1225737	Chr4D	871441	873114	+	872277	1.0	1.0
gene:TraesCS4D03G0002800	Chr4D	1233656	1234699	+	1234177	Chr4D	880249	881292	+	880770	1.0	1.0
gene:TraesCS4D03G0002900	Chr4D	1235849	1238078	+	1236963	Chr4D	882442	884671	+	883556	1.0	1.0
gene:TraesCS4D03G0003000	Chr4D	1239892	1242834	+	1241363	Chr4D	886485	889428	+	887956	1.0	1.0
gene:TraesCS4D03G0003100	Chr4D	1245411	1245824	-	1245617	Chr4D	892005	892418	-	892211	1.0	1.0
gene:TraesCS4D03G0003500	Chr4D	1279798	1281379	+	1280588	Chr4D	926676	928257	+	927466	1.0	1.0
gene:TraesCS4D03G0003700	Chr4D	1281940	1284304	+	1283122	Chr4D	928818	931182	+	930000	1.0	1.0
gene:TraesCS4D03G0003800	Chr4D	1291459	1294621	+	1293040	Chr4D	938337	941499	+	939918	1.0	1.0
gene:TraesCS4D03G0004000	Chr4D	1304418	1305152	-	1304785	Chr4D	951254	951988	-	951621	1.0	0.998
