cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr2B	10698	7912716	Chr2B	1658940	11848363	89	0.9850561797752809
Chr2B	11237488	123063253	Chr2B	12150165	128728030	1074	0.9924180633147114
Chr2B	129392470	202920401	Chr2B	129881412	201865491	544	0.9937628676470588
Chr2B	206113490	240314058	Chr2B	202428851	236951037	199	0.994170854271357
Chr2B	242536523	270216010	Chr2B	239439807	272292445	125	0.995808
Chr2B	272550652	273055488	Chr2B	274637345	275130654	7	0.9921428571428572
Chr2B	275311895	303097333	Chr2B	277444481	305184091	36	0.9997777777777779
Chr2B	308720397	318205778	Chr2B	308820914	319405423	13	0.9966153846153846
Chr2B	320343927	333044217	Chr2B	321555501	334128917	20	0.9984
Chr2B	335510269	342279112	Chr2B	336607075	343316995	9	1.0
Chr2B	346670378	361286666	Chr2B	346886641	366093125	55	0.9995636363636363
Chr2B	367683323	373498017	Chr2B	367595366	373392997	25	0.9982
Chr2B	379832912	790228259	Chr2B	379719358	788517399	2926	0.9932546138072453
Chr2B	793646563	798137117	Chr2B	789147724	794995077	24	0.9700000000000001
