cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr5A	625784	5515715	Chr5A	3352515	8324755	58	0.9903793103448276
Chr5A	9677253	62409843	Chr5A	9323820	63732894	443	0.9955959367945824
Chr5A	65256920	152899436	Chr5A	66575162	155233136	396	0.9960505050505052
Chr5A	156754150	160718182	Chr5A	158798171	162819349	13	1.0
Chr5A	163084098	182449906	Chr5A	165198219	184470724	37	0.9995945945945948
Chr5A	184871905	187078746	Chr5A	186900005	189111852	4	1.0
Chr5A	192446609	200581324	Chr5A	194493981	202679184	16	0.998875
Chr5A	204816399	224020772	Chr5A	206944756	226138830	31	0.9997096774193548
Chr5A	226098410	235234740	Chr5A	228224528	237420464	24	0.9967083333333332
Chr5A	247866626	251028605	Chr5A	249218354	254918890	8	1.0
Chr5A	259606122	428812755	Chr5A	264726824	433657576	892	0.9981793721973092
Chr5A	431918117	713328361	Chr5A	433956057	715336204	3217	0.9955194280385452
