gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity	segment
gene:TraesCS5A02G187100	Chr5A	389052380	389060906	+	389056643	Chr5A	405177291	405185378	-	405181334	0.979	0.979	rearrangement:Chr5A_block2
gene:TraesCS5A02G187200	Chr5A	389061691	389064458	-	389063074	Chr5A	405173738	405176505	+	405175121	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G187300	Chr5A	389069720	389073100	+	389071410	Chr5A	405165188	405168568	-	405166878	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G187400	Chr5A	389131980	389133955	-	389132967	Chr5A	405103832	405105807	+	405104819	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G187500	Chr5A	389153524	389154678	+	389154101	Chr5A	405082934	405084088	-	405083511	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G187600	Chr5A	389159558	389163387	+	389161472	Chr5A	405074191	405078020	-	405076105	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G187700	Chr5A	389165768	389167324	-	389166546	Chr5A	405070254	405071810	+	405071032	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G187800	Chr5A	389635768	389637484	-	389636626	Chr5A	404602523	404604239	+	404603381	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G187900	Chr5A	389713723	389715786	+	389714754	Chr5A	404532181	404534244	-	404533212	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G188000	Chr5A	389716642	389718098	+	389717370	Chr5A	404529869	404531325	-	404530597	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G188100	Chr5A	389719370	389724310	+	389721840	Chr5A	404523657	404528597	-	404526127	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G188200	Chr5A	389724313	389726710	-	389725511	Chr5A	404521257	404523654	+	404522455	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G188300	Chr5A	389763146	389764957	-	389764051	Chr5A	404483119	404484815	+	404483967	0.948	0.948	rearrangement:Chr5A_block2
gene:TraesCS5A02G188400	Chr5A	390229534	390231245	+	390230389	Chr5A	404017731	404019442	-	404018586	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G188500	Chr5A	390234284	390237986	+	390236135	Chr5A	404010990	404014692	-	404012841	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G188600	Chr5A	390242133	390244439	-	390243286	Chr5A	404004537	404006843	+	404005690	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G188700	Chr5A	390365810	390370864	-	390368337	Chr5A	403878539	403883593	+	403881066	1.0	1.0	rearrangement:Chr5A_block2
