gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	Landmark_tgt_strand	Landmark_tgt_midpoint	Landmark_coverage	Landmark_identity
gene:TraesCS7D03G0000400	Chr7D	207994	212443	-	210218	Chr7D	1762641	1767090	+	1764865	1.0	1.0
gene:TraesCS7D03G0000500	Chr7D	242065	245782	+	243923	Chr7D	1729090	1732807	-	1730948	1.0	1.0
gene:TraesCS7D03G0000900	Chr7D	337014	337852	+	337433	Chr7D	1637340	1638178	-	1637759	1.0	1.0
gene:TraesCS7D03G0001000	Chr7D	365927	369790	-	367858	Chr7D	1605270	1609134	+	1607202	1.0	0.995
gene:TraesCS7D03G0001100	Chr7D	371892	373182	-	372537	Chr7D	1601878	1603168	+	1602523	1.0	1.0
gene:TraesCS7D03G0001400	Chr7D	478186	482086	-	480136	Chr7D	1492604	1496504	+	1494554	1.0	1.0
gene:TraesCS7D03G0001900	Chr7D	706058	709008	-	707533	Chr7D	1261601	1264551	+	1263076	1.0	0.989
gene:TraesCS7D03G0002100	Chr7D	995282	1001481	-	998381	Chr7D	981014	987213	+	984113	1.0	1.0
gene:TraesCS7D03G0002300	Chr7D	1028545	1032002	-	1030273	Chr7D	950215	953672	+	951943	1.0	1.0
gene:TraesCS7D03G0002600	Chr7D	1089491	1090678	-	1090084	Chr7D	890128	891315	+	890721	1.0	1.0
gene:TraesCS7D03G0002800	Chr7D	1101311	1104311	-	1102811	Chr7D	876545	879521	+	878033	0.992	0.99
gene:TraesCS7D03G0002900	Chr7D	1138064	1151035	-	1144549	Chr7D	828795	842506	+	835650	1.0	1.0
gene:TraesCS7D03G0003200	Chr7D	1197663	1199279	-	1198471	Chr7D	780088	781704	+	780896	1.0	1.0
gene:TraesCS7D03G0003900	Chr7D	1268276	1269780	-	1269028	Chr7D	708561	710065	+	709313	1.0	1.0
gene:TraesCS7D03G0004000	Chr7D	1270782	1275797	-	1273289	Chr7D	702036	706940	+	704488	0.936	0.936
gene:TraesCS7D03G0004300	Chr7D	1318295	1332709	+	1325502	Chr7D	643991	658751	-	651371	1.0	1.0
gene:TraesCS7D03G0004400	Chr7D	1335304	1336512	+	1335908	Chr7D	640188	641396	-	640792	1.0	1.0
gene:TraesCS7D03G0004600	Chr7D	1423297	1428624	-	1425960	Chr7D	548010	553509	+	550759	1.0	1.0
gene:TraesCS7D03G0004700	Chr7D	1568149	1569787	+	1568968	Chr7D	355596	357234	+	356415	1.0	1.0
gene:TraesCS7D03G0005200	Chr7D	1622734	1623927	-	1623330	Chr7D	410276	411469	-	410872	1.0	1.0
gene:TraesCS7D03G0005300	Chr7D	1630150	1631499	-	1630824	Chr7D	417978	419327	-	418652	1.0	1.0
gene:TraesCS7D03G0005400	Chr7D	1638146	1638877	-	1638511	Chr7D	425974	426705	-	426339	1.0	1.0
gene:TraesCS7D03G0005500	Chr7D	1648975	1654512	-	1651743	Chr7D	437132	442669	-	439900	1.0	1.0
gene:TraesCS7D03G0005800	Chr7D	1673923	1675253	+	1674588	Chr7D	298096	299426	-	298761	1.0	1.0
gene:TraesCS7D03G0005900	Chr7D	1812284	1819521	+	1815902	Chr7D	165344	172576	-	168960	1.0	1.0
gene:TraesCS7D03G0006000	Chr7D	1859225	1861790	-	1860507	Chr7D	123824	126389	+	125106	1.0	1.0
