gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity	segment
gene:TraesCS5B02G000100	Chr5B	16235	21357	+	18796	Chr5B	6695163	6700275	-	6697719	1.0	1.0	collinear
gene:TraesCS5B02G000300	Chr5B	86983	88497	-	87740	Chr5B	6629929	6631443	+	6630686	1.0	0.996	collinear
gene:TraesCS5B02G000400	Chr5B	210112	215729	+	212920	Chr5B	6503072	6508689	-	6505880	1.0	0.999	collinear
gene:TraesCS5B02G000500	Chr5B	216278	219412	-	217845	Chr5B	6499395	6502523	+	6500959	0.998	0.998	collinear
gene:TraesCS5B02G000600	Chr5B	229215	233600	+	231407	Chr5B	6485340	6489591	-	6487465	1.0	0.993	collinear
gene:TraesCS5B02G000700	Chr5B	461918	462852	-	462385	Chr5B	6718327	6719261	-	6718794	1.0	1.0	collinear
gene:TraesCS5B02G000800	Chr5B	655778	658708	-	657243	Chr5B	6930124	6933054	-	6931589	1.0	1.0	collinear
gene:TraesCS5B02G000900	Chr5B	756821	758672	+	757746	Chr5B	7030078	7031931	+	7031004	1.0	1.0	collinear
gene:TraesCS5B02G001000	Chr5B	762630	764982	-	763806	Chr5B	7035889	7038241	-	7037065	1.0	1.0	collinear
gene:TraesCS5B02G001100	Chr5B	860861	865647	-	863254	Chr5B	7132479	7137028	-	7134753	1.0	1.0	collinear
gene:TraesCS5B02G001300	Chr5B	1579405	1579728	+	1579566	Chr5B	6018626	6018949	+	6018787	1.0	1.0	collinear
gene:TraesCS5B02G001400	Chr5B	1741674	1747002	-	1744338	Chr5B	4640960	4646288	+	4643624	1.0	1.0	collinear
gene:TraesCS5B02G001500	Chr5B	1748923	1752849	+	1750886	Chr5B	4635113	4639039	-	4637076	1.0	1.0	collinear
gene:TraesCS5B02G004200	Chr5B	6217631	6220820	-	6219225	Chr5B	8201299	8204488	-	8202893	1.0	1.0	collinear
gene:TraesCS5B02G004300	Chr5B	6364821	6368699	-	6366760	Chr5B	8350878	8354756	-	8352817	1.0	1.0	collinear
gene:TraesCS5B02G004400	Chr5B	6393220	6407926	+	6400573	Chr5B	8379319	8394051	+	8386685	1.0	0.993	collinear
gene:TraesCS5B02G004500	Chr5B	6418315	6422013	-	6420164	Chr5B	8404244	8407942	-	8406093	1.0	1.0	collinear
gene:TraesCS5B02G004600	Chr5B	6467080	6476016	+	6471548	Chr5B	8452970	8461398	+	8457184	1.0	1.0	collinear
gene:TraesCS5B02G004700	Chr5B	6501236	6502261	+	6501748	Chr5B	8486999	8488024	+	8487511	1.0	1.0	collinear
gene:TraesCS5B02G004900	Chr5B	6622837	6626116	+	6624476	Chr5B	8566458	8569737	+	8568097	1.0	0.999	collinear
gene:TraesCS5B02G005000	Chr5B	6645267	6648830	+	6647048	Chr5B	8588740	8592179	+	8590459	0.998	0.975	collinear
gene:TraesCS5B02G005100	Chr5B	6650056	6654556	+	6652306	Chr5B	8593148	8597162	+	8595155	0.965	0.945	collinear
gene:TraesCS5B02G005500	Chr5B	6968208	6970169	+	6969188	Chr5B	9368503	9370470	-	9369486	1.0	0.98	collinear
gene:TraesCS5B02G005600	Chr5B	6965525	6975517	+	6970521	Chr5B	11054018	11073175	+	11063596	1.0	0.99	collinear
gene:TraesCS5B02G005700	Chr5B	7021141	7026614	-	7023877	Chr5B	11117385	11122857	-	11120121	1.0	0.995	collinear
gene:TraesCS5B02G005755	Chr5B	7068359	7071536	-	7069947	Chr5B	11165229	11167590	-	11166409	0.992	0.992	collinear
gene:TraesCS5B02G005900	Chr5B	7148738	7149225	-	7148981	Chr5B	11218939	11219426	-	11219182	1.0	0.994	collinear
gene:TraesCS5B02G006000	Chr5B	7184206	7184957	-	7184581	Chr5B	11240861	11241613	-	11241237	0.998	0.987	collinear
gene:TraesCS5B02G006100	Chr5B	7304012	7304699	-	7304355	Chr5B	11404864	11405551	-	11405207	1.0	0.988	collinear
gene:TraesCS5B02G006200	Chr5B	7354948	7355435	-	7355191	Chr5B	9597687	9598175	+	9597931	1.0	0.976	collinear
gene:TraesCS5B02G006300	Chr5B	7382778	7383265	-	7383021	Chr5B	11462469	11462964	-	11462716	1.0	0.989	collinear
gene:TraesCS5B02G006400	Chr5B	7541069	7545930	-	7543499	Chr5B	11589956	11594456	-	11592206	0.965	0.963	collinear
gene:TraesCS5B02G006500	Chr5B	7706077	7709832	-	7707954	Chr5B	11716825	11720580	-	11718702	1.0	0.995	collinear
gene:TraesCS5B02G006600	Chr5B	7936224	7944965	-	7940594	Chr5B	11810504	11819510	-	11815007	1.0	0.995	collinear
gene:TraesCS5B02G006700	Chr5B	7995392	8007460	-	8001426	Chr5B	11891529	11916036	-	11903782	0.997	0.987	collinear
gene:TraesCS5B02G006800	Chr5B	8086615	8096868	+	8091741	Chr5B	12038161	12054019	+	12046090	0.993	0.983	collinear
gene:TraesCS5B02G006900	Chr5B	8171350	8176122	+	8173736	Chr5B	12124702	12129426	+	12127064	0.978	0.976	collinear
gene:TraesCS5B02G007000	Chr5B	8185879	8188188	-	8187033	Chr5B	12142005	12144703	-	12143354	1.0	0.998	collinear
gene:TraesCS5B02G007100	Chr5B	8342582	8344606	+	8343594	Chr5B	12274503	12276516	+	12275509	0.989	0.963	collinear
gene:TraesCS5B02G007200	Chr5B	8351751	8353860	+	8352805	Chr5B	12285108	12287187	+	12286147	0.987	0.975	collinear
gene:TraesCS5B02G007300	Chr5B	8374524	8379358	-	8376941	Chr5B	12307903	12312738	-	12310320	1.0	0.99	collinear
gene:TraesCS5B02G007600	Chr5B	8875269	8877667	-	8876468	Chr5B	12827843	12830274	-	12829058	1.0	1.0	collinear
gene:TraesCS5B02G007800	Chr5B	8905295	8919306	-	8912300	Chr5B	12855735	12869916	-	12862825	0.99	0.971	collinear
gene:TraesCS5B02G007900	Chr5B	8933272	8935785	-	8934528	Chr5B	12875722	12878522	-	12877122	0.954	0.916	collinear
gene:TraesCS5B02G008000	Chr5B	8936244	8937011	-	8936627	Chr5B	12878942	12879709	-	12879325	1.0	0.97	collinear
gene:TraesCS5B02G008100	Chr5B	8945172	8946074	-	8945623	Chr5B	12887610	12888503	-	12888056	0.99	0.981	collinear
gene:TraesCS5B02G008200	Chr5B	9009416	9010239	+	9009827	Chr5B	12928923	12929746	-	12929334	1.0	0.994	collinear
gene:TraesCS5B02G008300	Chr5B	9040754	9040975	+	9040864	Chr5B	13068316	13068537	+	13068426	1.0	0.99	collinear
gene:TraesCS5B02G008400	Chr5B	9044522	9047785	+	9046153	Chr5B	13072088	13075354	+	13073721	0.999	0.992	collinear
gene:TraesCS5B02G008500	Chr5B	9075440	9079212	+	9077326	Chr5B	13112672	13116293	+	13114482	1.0	0.997	collinear
gene:TraesCS5B02G008600	Chr5B	9222282	9225823	-	9224052	Chr5B	13262592	13266069	-	13264330	0.972	0.96	collinear
gene:TraesCS5B02G008700	Chr5B	9243595	9244008	+	9243801	Chr5B	13283921	13284334	+	13284127	1.0	1.0	collinear
gene:TraesCS5B02G008800	Chr5B	9261235	9263380	+	9262307	Chr5B	13301279	13303424	+	13302351	1.0	0.998	collinear
gene:TraesCS5B02G008900	Chr5B	9263459	9267479	-	9265469	Chr5B	13303503	13307523	-	13305513	1.0	1.0	collinear
gene:TraesCS5B02G009000	Chr5B	9284415	9286096	+	9285255	Chr5B	13323824	13325505	+	13324664	1.0	1.0	collinear
gene:TraesCS5B02G009100	Chr5B	9289491	9289916	+	9289703	Chr5B	13328900	13329325	+	13329112	1.0	1.0	collinear
gene:TraesCS5B02G009200	Chr5B	9298645	9299536	+	9299090	Chr5B	13338054	13338945	+	13338499	1.0	1.0	collinear
gene:TraesCS5B02G009300	Chr5B	9302014	9303513	+	9302763	Chr5B	13341423	13342922	+	13342172	1.0	1.0	collinear
gene:TraesCS5B02G009400	Chr5B	9332838	9334688	-	9333763	Chr5B	13372222	13374072	-	13373147	1.0	1.0	collinear
gene:TraesCS5B02G009500	Chr5B	9356180	9359093	+	9357636	Chr5B	13394925	13397838	+	13396381	1.0	1.0	collinear
gene:TraesCS5B02G009600	Chr5B	9416856	9418777	+	9417816	Chr5B	13455034	13456955	+	13455994	1.0	1.0	collinear
gene:TraesCS5B02G009800	Chr5B	9523414	9524244	-	9523829	Chr5B	13559318	13560148	-	13559733	1.0	1.0	collinear
gene:TraesCS5B02G009900	Chr5B	9539104	9539973	+	9539538	Chr5B	13575008	13575877	+	13575442	1.0	1.0	collinear
gene:TraesCS5B02G010000	Chr5B	9669444	9672795	-	9671119	Chr5B	13706462	13709813	-	13708137	1.0	1.0	collinear
gene:TraesCS5B02G010100	Chr5B	9807726	9816838	+	9812282	Chr5B	13844584	13853673	+	13849128	1.0	1.0	collinear
gene:TraesCS5B02G010200	Chr5B	10059659	10063814	-	10061736	Chr5B	14095673	14099720	-	14097696	1.0	0.999	collinear
gene:TraesCS5B02G010300	Chr5B	10168182	10174233	-	10171207	Chr5B	14203739	14209790	-	14206764	1.0	1.0	collinear
gene:TraesCS5B02G010400	Chr5B	10261716	10265365	-	10263540	Chr5B	14296683	14300319	-	14298501	1.0	0.999	collinear
gene:TraesCS5B02G010500	Chr5B	10346311	10347569	+	10346940	Chr5B	14381652	14382910	+	14382281	1.0	1.0	collinear
gene:TraesCS5B02G010600	Chr5B	10429378	10432090	+	10430734	Chr5B	14463931	14466643	+	14465287	1.0	0.996	collinear
